File Name,Date of Petition,Date received,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2024-P-0526-0001_Suitability_Petition_from_Lupin__Inc_.pdf,"January 26, 2024",,Lupin Inc.,Not representing another entity; the petitioner is Lupin Inc.,"505(j)(2)(C), 21 C.F.R. §§ 10.20, 10.30, 25.31","FDA authorization to submit an ANDA for Apixaban Oral Suspension, 1.25 mg/mL, differing in dosage form from the listed drug ELIQUIS Tablets","Request that FDA determine Apixaban Oral Suspension, 1.25 mg/mL, is suitable for submission in an ANDA as a change in dosage form from the RLD","The oral suspension offers equivalent dosing to ELIQUIS tablets (2.5 mg and 5 mg) and supports patients with dysphagia. The formulation improves convenience, ensures dosing accuracy, and reduces burden in assisted care settings. A bioequivalence study will be submitted, and a waiver of PREA requirements is requested based on FDA precedent and availability of alternative pediatric formulations"
FDA-2024-P-0545-0001_Suitability_Petition_from_HYMAN__PHELPS___MCNAMARA.pdf,"January 29, 2024",,"Hyman, Phelps & McNamara, P.C.",Representing an unnamed client,"505(j)(2)(C), 21 C.F.R. §§ 314.93, 10.20, 10.30, 25.31",Authorization for submission of an ANDA for a new dosage form and strength of buspirone hydrochloride,"Request that FDA determine Buspirone HCl Oral Solution, 2 mg/mL, is suitable for submission in an ANDA as a change from the RLD BUSPAR Tablets",The proposed oral solution offers flexibility for individualized dosing and is consistent with the RLD's dosing guidance. FDA previously determined that BUSPAR Tablets were not withdrawn for safety or effectiveness. A full PREA waiver is requested due to lack of therapeutic benefit in pediatric populations and availability of better alternatives such as LEXAPRO
FDA-2024-P-0666-0001_Petition_for_Stay_of_Action_from_Royal_Diamond_Imp.pdf,"January 26, 2024",,"Royal Diamond Imports, Inc.","Not representing another entity; petitioner is Royal Diamond Imports, Inc.","21 C.F.R. § 10.35, 21 C.F.R. § 10.75; Administrative Procedure Act","FDA’s December 29, 2023 Marketing Denial Order (MDO) for ENDS products under bundled PMTAs STN PM0004990",Request that FDA stay the effective date of the Marketing Denial Order for an indefinite period,"The petitioner argues that FDA violated the Administrative Procedure Act by acting arbitrarily and without proper notice, including failure to notify that scientific review had begun. Given the ongoing and lengthy administrative appeals process, a stay is necessary to prevent irreversible harm"
FDA-2024-P-0667-0001_Suitability_Petition_from_Lachman_Consultant_Servi.pdf,"February 5, 2024",,"Lachman Consultant Services, Inc.",Submitting on behalf of a client (identity not disclosed),"505(j)(2)(C), 21 C.F.R. §§ 10.20, 10.30, 314.93, 25.31",Suitability of a new strength (3 g/100 mL) of Magnesium Sulfate in Water for Injection for submission in an ANDA,"Request that FDA determine Magnesium Sulfate in Water for Injection, 3 g/100 mL (30 mg/mL), is suitable for submission in an ANDA","The proposed strength fills a gap between currently available ready-to-administer doses (1 g, 2 g, 4 g), aligning with clinical practices that often use 3 g doses. The formulation change only affects total drug content and not concentration, dosage form, route of administration, or indications. The change could reduce waste and improve dosing efficiency. PREA does not apply as the change involves only strength, not formulation or indication."
FDA-2024-P-0761-0001_Suitability_Petition_from_RegCon_Solutions_LLC.pdf,"February 21, 2024",,"Pharmobedient Consulting, LLC","Submitted by Pharmobedient Consulting, LLC; representing an unspecified client","505(j), 21 C.F.R. §§ 10.25(a), 10.30, 314.122, 314.161, 314.162, 25.31, 25.40","Status of TAVIST (Clemastine Fumarate) Tablets, 2.68 mg under NDA 017661 as discontinued in the Orange Book","Request that FDA determine whether TAVIST (Clemastine Fumarate) Tablets, 2.68 mg was withdrawn from sale for reasons of safety or effectiveness","Petitioner asserts that TAVIST was likely discontinued for commercial reasons, not safety or efficacy, and there is no known evidence suggesting safety or effectiveness concerns. The request is to allow its continued citation as a Reference Listed Drug (RLD) in ANDAs"
FDA-2024-P-0805-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"February 13, 2024",,"Hyman, Phelps & McNamara, P.C.",Representing an unnamed client,"505(j), 505(w); 21 C.F.R. §§ 10.25, 10.30, 314.122, 314.161, 314.162, 25.31",Discontinuation status of Fentanyl Citrate Injection (NDA 215870) listed in the Orange Book,"Request that FDA determine whether Fentanyl Citrate Injection, EQ 2.5 mg base/50 mL and EQ 5 mg base/100 mL, was withdrawn for reasons of safety or effectiveness",Petitioner asserts there is no known evidence suggesting safety or efficacy concerns; the product was likely discontinued for commercial reasons and should remain available as a reference listed drug for ANDA submissions
FDA-2024-P-0806-0001_Citizen_Petition_from_Center_for_Science_in_the_Pu.pdf,"February 12, 2024",,"Center for Science in the Public Interest (CSPI), American Public Health Association, Consumer Federation of America, and Consumer Reports",Not representing another entity; these are the submitting entities themselves,"5 U.S.C. § 553(e), 21 U.S.C. § 343, 21 C.F.R. § 101.11(a), 21 C.F.R. § 10.30",FDA's December 2023 draft guidance that encourages voluntary menu labeling on third-party platforms (TPPs),Request that FDA issue final guidance clarifying that its existing menu labeling regulations apply to menus from Covered Establishments posted and/or maintained on TPPs,"Consumers ordering from TPPs currently lack consistent access to calorie and nutrition information required under the ACA. Voluntary measures have proven insufficient, and the law already supports extending these requirements to menus on TPPs when controlled by Covered Establishments. Mandatory labeling would promote informed choices, improve public health, and align with FDA’s regulatory framework."
FDA-2024-P-0827-0001_Citizen_Petition_from_Aurobindo_Pharma_USA__Inc__.pdf,"February 14, 2024",,"Aurobindo Pharma USA, Inc.","Blessy Johns, US Agent for Aurobindo Pharma Limited","505(j), 21 C.F.R. §§ 10.25(a), 10.30, 314.122, 314.161, 314.162, 25.31(a), 25.15(d)","Discontinuation status of DUEXIS (Ibuprofen and Famotidine) Tablets, 800 mg and 26.6 mg, NDA 022519, in the Orange Book","Request that FDA determine whether DUEXIS (Ibuprofen and Famotidine) Tablets, 800 mg and 26.6 mg, was withdrawn for reasons of safety or effectiveness",Petitioner notes that the product appears in the discontinued section of the Orange Book and requests FDA's determination to clarify whether the withdrawal was due to safety or efficacy concerns. This determination is needed before an ANDA referring to the listed drug can be approved
FDA-2024-P-0889-0001_Suitability_Petition_from_Aurora_Pharmaceutical__I.pdf,"February 19, 2024",,"Aurora Pharmaceutical, Inc.","Not representing another entity; petitioner is Aurora Pharmaceutical, Inc.","Section 512(n)(3) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 25.15, 25.21, 25.30(h)",Approval of an abbreviated new animal drug application (ANADA) for Afoxolaner Oral Solution 4.56% w/v as a different dosage form than the reference listed Nexgard® (afoxolaner) Chewables under NADA 141-406,Request that FDA determine Afoxolaner Oral Solution 4.56% w/v is suitable for submission as an ANADA despite being a different dosage form than the reference listed drug,"The proposed product contains the same active ingredient, route of administration, indications, and dosing regimen as the RLD but is offered as a liquid solution for dogs unable to consume chewables due to allergies or palatability issues. All excipients are used in other approved oral canine products. Packaging and labeling will be designed to ensure accurate dosing and safety"
FDA-2024-P-0973-0001_Citizen_Petition_from_Robin_Webb.pdf,"March 27, 2024",,Robin Webb,Not Mentioned,21 C.F.R. 10.30,Labeling of photosensitivity associated with sulfonamide medications,"Caution, Free Radical Risk'","The petitioner provides a detailed explanation of how sulfonamide moiety medications absorb UV radiation leading to free radical formation, which in turn may generate reactive oxygen species (ROS) causing harm to various organs. The petitioner argues that this mechanism explains observed adverse effects such as skin darkening, exacerbation of conditions like lichen planus, and organ damage. Cases submitted to FDA MedWatch reportedly support this claim, showing improvement when patients switched to non-sulfonamide alternatives."
FDA-2024-P-1030-0001_Citizen_Petition_from_William_D__Drake___Redacted.pdf,"February 28, 2024",,William D. Drake,Not Mentioned,"907(a)(1)(B) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. § 10.30",Use and distribution of Certified 1R6F Kentucky Reference Cigarettes (and related variants) for research by FDA and its oversight of pesticide contamination in those products,"Request that FDA test and publicly disclose any pesticide residues found in Certified 1R6F and other Kentucky Reference Cigarettes distributed for research, notify all past and future recipients, and assess whether such residues reflect the broader U.S. commercial tobacco product supply","Petitioner argues that reference cigarettes used in tobacco research may be contaminated with unreported pesticide residues, potentially skewing decades of research data. Without testing and transparency, the validity of past and current tobacco-related research is compromised, and the public may unknowingly face risks from such contaminants. Petition also highlights the lack of FDA testing, calls for alignment with HPHC policies, and cites historical and international findings to support the need for urgent assessment."
FDA-2024-P-1058-0001_Citizen_Petition_from_Aimed_Alliance.pdf,"March 1, 2024",,Aimed Alliance,Not representing another entity; petitioner is Aimed Alliance,"21 C.F.R. § 10.30, 21 C.F.R. § 10.115, FD&C Act § 804, 21 C.F.R. § 25.30",Importation practices under alternative funding programs and the lack of clear FDA guidance on their legality,"Request that FDA issue a guidance document clarifying the legality of drug importation practices by third-party companies working with employer-sponsored health plans, including whether such entities can mandate or facilitate importation of prescription drugs on behalf of consumers, and how to report such practices","Petitioner argues that alternative funding programs are importing unapproved and misbranded drugs from foreign pharmacies on behalf of consumers, bypassing legal pathways such as personal importation and Section 804 programs. The lack of clear FDA guidance has enabled these programs to continue unchecked, potentially exposing consumers to serious health risks. Clarifying FDA’s stance would protect consumers, promote transparency, and restore regulatory accountability."
FDA-2024-P-1130-0001_Citizen_Petition_from_Valisure.pdf,"March 5, 2024",,"Valisure, LLC",Not Applicable,"21 U.S.C. §§ 331, 352, 355, 372, 374, 375; 21 C.F.R. §§ 10.20, 10.30","Sale and regulation of benzoyl peroxide (BPO) drug products, particularly in relation to benzene contamination","Issue a regulation, revise industry guidance, request a recall, and suspend sales of benzoyl peroxide products; conduct investigations; and undertake several regulatory and public health actions as detailed in the petition","Valisure detected high levels of benzene, a known human carcinogen, forming in benzoyl peroxide products when stored at elevated temperatures. They argue this poses a serious public health risk, referencing epidemiological data, FDA standards, and prior regulatory actions on contaminants such as NDMA. They highlight that BPO decomposes into benzene and request urgent regulatory action including recalls, guidance revisions, public disclosures, and stricter testing requirements."
FDA-2024-P-1131-0001_Citizen_Petition_from_Fresenius_Kabi_USA__LLC.pdf,"March 5, 2024",,"Fresenius Kabi USA, LLC","Not representing another entity; the petitioner is Fresenius Kabi USA, LLC","21 C.F.R. § 10.30, 21 C.F.R. § 314.161, 21 C.F.R. § 314.162, 21 C.F.R. § 25.31",Determination of whether Diltiazem Hydrochloride in Dextrose Injection (NDA 215252) has been withdrawn for safety or effectiveness reasons,Request that FDA determine whether Diltiazem Hydrochloride in Dextrose Injection 125 mg/125 mL and 250 mg/250 mL was withdrawn for safety or efficacy reasons,"The drug product now appears in the 'Discontinued Section' of the Orange Book. Petitioner seeks confirmation that it was not withdrawn for reasons of safety or effectiveness, which is a requirement for ANDA referencing under 21 C.F.R. § 314.161. The petition supports this by noting such withdrawals can occur for business or other non-safety-related reasons."
FDA-2024-P-1223-0001_Citizen_Petition_from_Charles_Ludlam_Redacted.pdf,"March 5, 2024",,Charles Ludlam,Not Mentioned,21 C.F.R. § 10.30,Labeling and clinical evaluation policies for Mounjaro/Zepbound and Ozempic/Wegovy,"Request that FDA (1) require additional clinical trials on lean muscle mass loss, goal weight setting, and weight maintenance; and (2) revise product labels to include findings and recommendations related to these issues","The petitioner argues that current labels lack sufficient information about risks of lean muscle mass (LMM) loss, guidance on setting ideal goal weight, and strategies for maintaining weight loss. He cites clinical trial data showing substantial LMM loss and expresses concern over off-label use, especially in elderly populations already at risk of sarcopenia. The petition calls for enhanced labeling and additional clinical trials to provide more comprehensive safety and usage guidance."
FDA-2024-P-1378-0001_Citizen_Petition_from_Organon_USA__LLC_Redacted.pdf,"March 1, 2024",,"Organon USA, LLC","Not representing another entity; the petitioner is Organon USA, LLC","Section 505 of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. § 10.30",FDA review and approval of ANDAs referencing NEXPLANON (etonogestrel implant) as the reference listed drug,"Request that FDA require ANDA applicants to (a) demonstrate bioequivalence through a full-duration in vivo pharmacokinetic study or a validated IVIVC model, and (b) conduct comparative dissolution testing (f2 test) for their generic etonogestrel implant","Organon argues that due to NEXPLANON's long-acting nature and complex drug release profile, abbreviated methods may not ensure therapeutic equivalence. Full-duration BE studies or IVIVC models are necessary to protect patient safety and ensure consistent contraceptive efficacy over the entire approved in-use period."
FDA-2024-P-1379-0001_Citizen_Petition_from_Physicians_Committee_for_Res.pdf,"March 19, 2024",,Physicians Committee for Responsible Medicine,Not Mentioned,21 C.F.R. § 10.30,"FDA's March 1, 2024, letter of enforcement discretion permitting qualified health claims about yogurt and reduced risk of type 2 diabetes","Withdraw the March 1, 2024, letter of enforcement discretion and cease exercising enforcement discretion for qualified health claims about yogurt and reduced risk of type 2 diabetes","The petitioner argues that the qualified health claims are not supported by sufficient scientific evidence. Most studies cited in the original petition had methodological limitations, lacked randomized controlled trials, and showed inconsistent results. The claims may mislead consumers into believing yogurt is effective in diabetes prevention, possibly at the expense of more effective, evidence-based lifestyle changes like adopting a plant-based diet."
FDA-2024-P-1380-0001_Citizen_Petition_from_Kohl_Harrington___Redacted.pdf,"March 4, 2024",,Kohl Harrington,Not Mentioned,"5 U.S.C. § 552; 21 C.F.R. §§ 10.30(b), 25.30, 25.34",FDA’s handling and lack of public disclosure regarding FOIA request 2020-5368,Request that FDA publish all records and response letters related to FOIA request 2020-5368 in the FDA FOIA Reading Room,"Petitioner argues that under FOIA (5 U.S.C. § 552(a)(2)(D)), records that have been requested three or more times must be made publicly available. The specific FOIA request relates to reports of illness from A+ Answers Straight Beef Formula for Dogs. The FDA reportedly responded with no records found, which the petitioner believes has broader implications regarding FDA-CVM's interpretation and communication of regulatory standards on raw pet food and Salmonella contamination."
FDA-2024-P-1403-0001_Suitability_Petition_from_Pharmobedient_Consulting.pdf,"March 20, 2024",,"Pharmobedient Consulting, LLC","Not representing another entity; the petitioner is Pharmobedient Consulting, LLC","505(j)(2)(C) of the FD&C Act; 21 C.F.R. §§ 10.20, 10.30, 314.93, 25.31","Approval of an ANDA for Dantrolene Sodium Orally Disintegrating Tablets (ODT), a different dosage form from the RLD Dantrium Capsules","Request that FDA determine Dantrolene Sodium ODT (25 mg, 50 mg, 100 mg) is suitable for submission in an ANDA","Petitioner argues that the proposed ODT formulation improves patient adherence, especially for elderly or dysphagic individuals, by allowing administration without water. The product contains the same active ingredient, route of administration, and strengths as the RLD. The petitioner also requests a pediatric study waiver, asserting no added risk to pediatric populations and no need for new efficacy/safety data."
FDA-2024-P-1440-0001_Citizen_Petition_from_pH_D_Feminine_Health__LLC.pdf,"March 22, 2024",,"pH-D Feminine Health, LLC and Vireo Systems, Inc.",Not representing another entity; petitioners are pH-D Feminine Health and Vireo Systems themselves,"21 C.F.R. §§ 10.20, 10.30; 21 U.S.C. § 321(i), § 321(g); 21 C.F.R. § 201.128; 5 U.S.C. § 551(5); 21 C.F.R. § 10.115",FDA's classification of over-the-counter (OTC) vaginal suppositories containing boric acid marketed solely with deodorant or odor-reduction claims,"Request that FDA issue guidance stating these products are 'cosmetics' and not also 'drugs.' Alternatively, if deemed 'drugs,' request (1) formal regulation classifying them as such, and (2) an enforcement discretion policy until regulation is finalized",Petitioners argue that prior FDA statements in the 1983 and 1994 Federal Register notices create a reasonable expectation that such products are cosmetics. They claim boric acid has never been approved as a drug ingredient and that current deodorant-only claims should classify the products as cosmetics under the FDCA. They further argue that reclassification to 'drugs' would require formal rulemaking under the Administrative Procedure Act and FDA Good Guidance Practices. The petition seeks clarity and regulatory consistency to prevent disruption to lawful market activities.
FDA-2024-P-1441-0001_Suitability_Petition_from_Epic_Pharma__LLC.pdf,"March 22, 2024",,"Epic Pharma, LLC","Not representing another entity; petitioner is Epic Pharma, LLC","505(j)(2)(C) of the FD&C Act; 21 C.F.R. §§ 10.20, 10.30, 314.93, 25.31",Approval of an ANDA for Leucovorin Calcium Injection in new strengths and dosage form different from the RLD,"Request that FDA determine that Leucovorin Calcium Injection (preservative-free, sterile solution) in strengths of 200 mg(base)/20 mL and 350 mg(base)/35 mL, and in a ready-to-use dosage form, is suitable for submission in an ANDA","Petitioner argues that the proposed product maintains the same concentration and labeling as the reference standards, with changes only to total drug content and dosage form (from lyophilized powder to ready-to-use solution). The change offers clinical convenience without raising safety or efficacy concerns. The petition also requests a waiver of PREA requirements, asserting the product is unlikely to benefit or be widely used by pediatric patients."
FDA-2024-P-1483-0001_Suitability_Petition_from_Hyman_Phelps_and_McNamar.pdf,"March 28, 2024",,"Hyman, Phelps & McNamara, P.C.","Hyman, Phelps & McNamara, P.C. is representing Fresenius Kabi USA, LLC","Section 505(j)(2)(C) of the FD&C Act; 21 C.F.R. §§ 10.20, 10.30, 314.93",Approval of an ANDA for a different strength and dosage form of Sugammadex Injection compared to the RLD,"Request that FDA determine that Sugammadex Injection, 400 mg/8 mL (50 mg/mL), in a single-dose vial, is suitable for submission via an ANDA referencing Bridion (Sugammadex) Injection, 200 mg/2 mL and 500 mg/5 mL","Petitioner argues the proposed product contains the same active ingredient, route of administration, and concentration (50 mg/mL) as the RLD, with only a difference in strength and container volume. The change offers logistical and clinical convenience without affecting safety or efficacy. The petitioner also requests a waiver of pediatric study requirements under PREA, asserting no meaningful pediatric use."
FDA-2024-P-1570-0001_Citizen_Petition_from_Bongards_Premium_Cheese.pdf,"March 26, 2024",,Bongards Premium Cheese,Not representing another entity; petitioner is Bongards Premium Cheese,"21 C.F.R. § 10.30; 21 C.F.R. §§ 133.169, 133.173, 133.179","Standards of Identity for Pasteurized Process Cheese, Pasteurized Process Cheese Food, and Pasteurized Process Cheese Spread",Request that FDA amend the standards of identity for the listed cheese categories to allow the use of extra virgin olive oil as an anti-sticking agent in cheese slices,"Petitioner argues that incorporating extra virgin olive oil as an anti-sticking agent will maintain product integrity during manufacturing and packaging while aligning with consumer preferences for recognizable and clean-label ingredients. This change would not alter the fundamental nature, nutritional value, or characteristics of the standardized cheese products."
FDA-2024-P-1715-0001_Citizen_Petition_from_AbbVie_Inc_.pdf,"April 3, 2024",,AbbVie Inc.,Not representing another entity; AbbVie is the petitioner and product sponsor.,"21 C.F.R. § 10.30, Federal Food, Drug, and Cosmetic Act (FDCA), Public Health Service Act (PHSA), Biologics Price Competition and Innovation Act (BPCIA), 21 C.F.R. § 312.7(a), FDCA § 502(a), 42 U.S.C. § 262(j)","Proliferation and marketing of unlicensed desiccated thyroid extract (DTE) products without INDs or BLAs, and associated promotional practices",FDA should prohibit manufacturers lacking active INDs and robust clinical development programs from commercializing unlicensed DTE products and should stop the promotion of unlicensed products with false and misleading claims,"The petitioner argues that the influx of unlicensed DTE products, lacking regulatory oversight, poses a public health risk due to narrow therapeutic margins and substandard manufacturing. AbbVie emphasizes the precedent set by FDA in similar historical contexts (e.g., PEPs and levothyroxine sodium), the necessity of IND oversight, misleading promotional practices, and confusion caused by classification systems falsely implying therapeutic equivalence among unapproved products"
FDA-2024-P-1716-0001_Suitability_Petition_from_Aurora_Pharmaceutical__I.pdf,"April 3, 2024",,"Aurora Pharmaceutical, Inc.","Not representing another entity; the petitioner is Aurora Pharmaceutical, Inc.","Section 512(n)(3) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.20, 10.30, 25.30(h)",Approval of an ANADA for a generic meloxicam oral solution differing from the RLNAD in dosage form and strength,"Request that FDA determine that a generic meloxicam oral solution, 5 mg/mL, is suitable for submission via an ANADA referencing Metacam (meloxicam) Oral Suspension (0.5 mg/mL and 1.5 mg/mL)","Aurora seeks approval for a higher strength solution (5 mg/mL) to improve dosing convenience and precision for dogs over 10 lbs. They argue this change reduces volume, enhances dose compliance, and does not alter the recommended dosage or indications. Aurora also notes there are no listed patents or marketing exclusivities for the RLNAD and that a similar petition for dosage form change was previously approved."
FDA-2024-P-1717-0001_Citizen_Petition_from_Kohl_Harrington_Redacted.pdf,"April 4, 2024",,Kohl Harrington,Not Mentioned,"5 U.S.C. § 552; 21 C.F.R. §§ 10.30(b), 25.30, 25.34",FDA’s failure to publish the final document for the CVM Key Initiative Plan 2019-2020 on the FDA FOIA Reading Room website,Request that FDA-CVM comply with FOIA law and post all documents requested through various FOIA requests pertaining to the final document for the CVM Key Initiative Plan 2019-2020 on the public FDA FOIA Reading Room website,Petitioner asserts that the final document for the CVM Key Initiative Plan 2019-2020 has been requested three or more times through FOIA and thus must be publicly disclosed under 5 U.S.C. § 552(a)(2)(D). The petition seeks compliance with this FOIA requirement by making the document available to the public electronically.
