File Name,Date of Petition,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2020-P-0511-0001_Citizen_Petition_from_Novitium_Pharma_LLC.pdf,"January 30, 2020",Novitium Pharma LLC,The petition was submitted directly by Novitium Pharma LLC and does not indicate representation of another entity,"21 C.F.R. § 10.25(a), 21 C.F.R. § 10.30, 21 C.F.R. § 314.94(a)(3)","FDA’s Orange Book designation of Valsartan (PREXXARTAN) Oral Solution, NDA #209139, as discontinued and its impact on ANDA approvals","Determine whether Valsartan (PREXXARTAN) Oral Solution, NDA #209139, was withdrawn from sale for reasons of safety or effectiveness to allow ANDA 214102 approval","The discontinuation of PREXXARTAN was reportedly due to a commercial dispute with a third-party manufacturer, not safety or effectiveness concerns. A determination confirming this would support the approval of Novitium’s ANDA for a generic version and help reduce drug prices and public healthcare costs"
FDA-2020-P-0512-0001_Citizen_Petition_from_Hyman__Phelps____McNamara_PC.pdf,"January 23, 2020","Hyman, Phelps & McNamara, P.C.",The petition was submitted on behalf of an unnamed client; the represented entity is not disclosed,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 314.93, 10.20, 10.30, 25.31(a)","FDA’s regulations governing ANDA suitability petitions, specifically whether alternative strengths of a drug product (Paclitaxel for Injectable Suspension) can be submitted via an ANDA","Approve submission of an ANDA for Paclitaxel for Injectable Suspension in new strengths of 50 mg/vial and 300 mg/vial, in addition to the approved 100 mg/vial strength under NDA 021660 (Abraxane®)","The proposed strengths maintain the same concentration, dosage form, route of administration, and active ingredient as the reference listed drug. The changes are limited to vial size to enhance dosing flexibility, reduce drug waste, and improve convenience. These modifications raise no safety or efficacy concerns and are not subject to the Pediatric Research Equity Act (PREA), making them suitable for an ANDA under a suitability petition"
FDA-2020-P-0513-0001_Citizen_Petition_from_Foley_and_Lardner_LLP_on_beh.pdf,"January 29, 2020",Foley & Lardner LLP,"Submitted on behalf of Romark Laboratories, L.C.","21 U.S.C. §§ 355(b) and 355(j); 21 C.F.R. §§ 10.30, 10.31, 314.3, 320.1(e), 25.1(g), 10.30(b)","FDA’s Draft Guidances on Nitazoxanide (tablets and oral suspension), and the bioequivalence standards for approving generic versions of ALINIA®","(1) BE studies for both tizoxanide and tizoxanide glucuronide in plasma under fasted and fed conditions, (2) BE studies with clinical endpoints regardless of formulation sameness, and (3) separate BE studies with clinical endpoints in patients with G. lamblia and with C. parvum; revise the FDA Draft Guidances to include these requirements","The petition argues that the current Draft Guidances are scientifically inadequate because they fail to measure active metabolite concentrations at the site of infection and do not account for the differences in infection pathophysiology between G. lamblia and C. parvum. Without these studies, a generic version may pose a public health risk due to ineffective treatment, particularly for the potentially fatal C. parvum infection"
FDA-2020-P-0598-0001_Citizen_Petition_from_Lachman_Consultants.pdf,"January 22, 2020","Lachman Consultant Services, Inc.","The petition was submitted directly by Lachman Consultant Services, Inc. and does not represent another entity","Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.25(a), 10.30, 25.31; Section III.C.2 and III.C.3 of FDA’s draft guidance 'Referencing Approved Drug Products in ANDA'","FDA’s designation of the reference standard (RS) for Prochlorperazine Maleate Tablets USP, 10 mg, and the availability of that RS for bioequivalence studies","Designate Prochlorperazine Maleate Tablets USP, 10 mg (A040268) by Jubilant Cadista Pharmaceuticals Inc., as a new reference standard for ANDA purposes","The currently designated RS by Sandoz is not sufficiently available in the market to conduct in vivo bioequivalence studies. Jubilant Cadista’s product is the highest marketed version and meets the necessary criteria to serve as an alternative RS, enabling development and approval of generic products"
FDA-2020-P-0599-0001_Citizen_Petition_from_Foley___Lardner__LLP__on_beh.pdf,"February 4, 2020",Foley & Lardner LLP,"Submitted on behalf of Romark Laboratories, L.C.","21 U.S.C. §§ 355(b), 355(j); 21 C.F.R. §§ 10.30, 10.31, 314.3, 320.1(e), 25.1(g)",FDA’s Draft Guidances on Nitazoxanide (tablets and oral suspension) and bioequivalence standards for ANDAs citing Alinia®,"(1) conducts BE studies for tizoxanide and tizoxanide glucuronide in plasma under fasted and fed conditions, (2) conducts BE studies with clinical endpoints regardless of Q1/Q2 sameness, and (3) conducts separate BE studies with clinical endpoints in patients with G. lamblia and with C. parvum; also revise the Draft Guidances to include these requirements","The current FDA Draft Guidances do not sufficiently ensure bioequivalence at the site of action because they overlook the contribution of tizoxanide glucuronide, do not account for clinical efficacy against both G. lamblia and C. parvum (which differ in infection site and disease severity), and ignore differences in manufacturing that affect drug activity. Inadequate testing may risk public safety, especially in cases of potentially fatal C. parvum infections"
FDA-2020-P-0624-0001_Citizen_Petition_from_Reguliance__LLC_on_behalf_of.pdf,"February 4, 2020",Reguliance LLC,"Submitted on behalf of Medichem, S.A.","21 C.F.R. §§ 314.93, 10.30, 10.20; Section 505(j) of the Federal Food, Drug, and Cosmetic Act","FDA’s rules governing ANDA suitability petitions, specifically regarding the acceptance of a new 800 mg tablet strength for Rufinamide","Declare that Rufinamide 800 mg film-coated tablets are suitable for submission as an abbreviated new drug application (ANDA), using Banzel (Rufinamide) Tablets NDA 021911 as the reference listed drug (RLD)","The 800 mg tablet strength is consistent with the RLD’s dosing recommendations, enhances patient compliance by reducing pill burden, and poses no new safety or efficacy concerns. The product is pharmaceutically equivalent in terms of active ingredient, dosage form, route of administration, and therapeutic use. The tablet design also meets FDA size recommendations for generic drugs"
FDA-2020-P-0678-0001_Citizen_Petition_from_Fresenius_Kabi_USA__LLC_.pdf,"February 6, 2020","Fresenius Kabi USA, LLC","The petition was submitted directly by Fresenius Kabi USA, LLC and does not represent another entity","21 C.F.R. §§ 10.30, 314.161, 314.162, 25.31","FDA’s listing of Dextrose 70% (70 gm/100 mL in plastic containers, NDA 017521) in the Discontinued Section of the Orange Book",Determine whether Dextrose 70% (NDA 017521) was withdrawn from sale for reasons of safety or effectiveness,"Fresenius Kabi seeks to confirm that the product was not withdrawn for safety or efficacy reasons, which would allow its use as a reference listed drug for an ANDA submission. The product's discontinuation may have been for business reasons, and a determination is required before ANDA approval can proceed"
FDA-2020-P-0698-0001_Citizen_Petition_from_Physicians_Committee_for_Res.pdf,"February 10, 2020",Physicians Committee for Responsible Medicine,The petition was submitted directly by the Physicians Committee for Responsible Medicine and does not represent another entity,21 C.F.R. § 10.30; 21 C.F.R. § 525.30,"FDA labeling requirements for erectile dysfunction (ED) drugs, specifically the absence of warnings regarding the underlying cardiovascular causes of ED and the benefits of diet and lifestyle interventions","Require ED drug manufacturers to include a label on all product packaging stating that erectile dysfunction is caused by artery disease, which this drug does not cure, and that a plant-based diet, exercise, stress management, and smoking cessation can improve or reverse the condition","Erectile dysfunction is strongly associated with cardiovascular disease, sharing common risk factors and underlying mechanisms such as atherosclerosis. ED drugs temporarily address symptoms without treating root causes. Evidence from scientific studies shows that lifestyle changes can prevent, improve, or reverse both cardiovascular disease and ED, leading to better long-term outcomes and reduced healthcare costs"
FDA-2020-P-0725-0001_Citizen_Petition_from_GBUK_Group_Ltd.pdf,"February 11, 2020",GBUK Group Ltd.,The petition was submitted directly by GBUK Group Ltd. and does not represent another entity,'Deciding When to Submit a 510(k) for a Change to an Existing Device',FDA’s labeling requirements mandating that medical devices be supplied with adequate directions for use,Remove the requirement for directions for use to be supplied with the medical devices and accessories listed in premarket submission K170371,"The devices are prescription-only, intended for professional use, and their usage is considered commonly known within the medical field. Required labeling elements such as device use, route of administration, and single-use instructions are already present on the packaging. Removing printed directions would reduce material waste without compromising safety or effectiveness"
FDA-2020-P-0734-0001_Citizen_Petition_from_GBUK_Group_Ltd.pdf,"February 11, 2020",GBUK Group Ltd.,The petition was submitted directly by GBUK Group Ltd. and does not represent another entity,'Deciding When to Submit a 510(k) for a Change to an Existing Device',FDA’s requirement that medical devices be supplied with adequate directions for use,Remove the requirement for supplying directions for use with the medical devices and accessories listed in premarket submission K170900,"The devices are prescription-only, for professional use, and their functions are well-known in clinical settings. All relevant usage instructions are included in the labeling, including symbols for sterility, single use, and intended neuraxial route. The visual design (e.g., yellow color coding) aligns with industry standards for neuraxial use and helps prevent misuse. Eliminating printed directions will reduce environmental waste without impacting safety or effectiveness"
FDA-2020-P-0745-0001_Citizen_Petition_from_Fox_Rothschild_LLP.pdf,"February 11, 2020",Fox Rothschild LLP,"Submitted on behalf of an unspecified petitioner, with a request made to the FDA regarding reference standard designation for Teva Pharmaceuticals USA Inc.",'Referencing Approved Drug Products in ANDA Submissions',"FDA’s designation of ANDA 074761 (held by Mylan Pharmaceuticals Inc.) as the reference standard for Ketorolac Tromethamine Tablets, 10 mg, which is commercially unavailable","Designate ANDA 074754 (held by Teva Pharmaceuticals USA Inc.) as the new reference standard for Ketorolac Tromethamine Tablets, 10 mg","The current reference standard is not commercially available, which obstructs ANDA development. Teva’s version (ANDA 074754) leads the U.S. market in unit sales and is one of only two marketed products. FDA guidance allows for a new RS designation under such circumstances to maintain market competition and access"
FDA-2020-P-0763-0001_Citizen_Petition_from_Clark_Anderson.pdf,"February 12, 2020","Clark L. Anderson, M.D.",The petition was submitted personally by Dr. Clark L. Anderson and does not represent another entity,"Federal Food, Drug, and Cosmetic Act; 21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34 (environmental impact exclusions)","FDA’s approval of tolvaptan (NDA 204441) for treatment of autosomal dominant polycystic kidney disease (ADPKD), approved April 23, 2018",Revoke FDA approval of tolvaptan for treatment of ADPKD,"The petitioner argues that the clinical studies supporting tolvaptan’s approval were flawed, misleading, and failed to demonstrate true therapeutic benefit. He asserts that the FDA review was superficial and unduly relied on sponsor conclusions. Further, the drug poses serious risks that led to stringent usage restrictions by both FDA and EMA, suggesting it is too dangerous and ineffective to remain approved"
FDA-2020-P-0813-0001_Citizen_Petition_from_Unichem_Pharmaceuticals__USA.pdf,"February 13, 2020","Unichem Pharmaceuticals (USA), Inc.",Submitted on behalf of Unichem Laboratories Limited,"21 C.F.R. §§ 10.25(a), 10.30, 314.161; Federal Food, Drug, and Cosmetic Act (FD&C Act)","FDA’s current listing of TENEX® (Guanfacine Hydrochloride) Tablets, 1 mg and 2 mg, NDA 019032, in the Orange Book and its availability for use as a reference listed drug","Determine whether TENEX® (Guanfacine Hydrochloride) Tablets, 1 mg and 2 mg, NDA 019032 held by Promius Pharma LLC, were withdrawn from the market for reasons of safety or effectiveness","A determination is needed to confirm if TENEX® was withdrawn voluntarily for business reasons or due to safety or effectiveness concerns. This decision affects whether it can be referenced in future ANDA submissions, which impacts generic drug market entry"
FDA-2020-P-0893-0001_Citizen_Petition_from_Fisher_Wallace_Laboratories_.pdf,"February 20, 2020","Fisher Wallace Laboratories, Inc.",The petition was submitted directly by Fisher Wallace Laboratories and is not stated to represent another entity,"21 C.F.R. § 10.30; 21 C.F.R. §§ 860.132, 860.123, 882.5800; Section 513 and 515 of the Federal Food, Drug, and Cosmetic Act","FDA’s Final Order of December 20, 2019, requiring PMA for CES devices intended to treat depression and imposing special controls for treatment of anxiety and insomnia","Withdraw the Final Order and convene a new Neurological Devices Panel to consider all valid scientific evidence (including direct current CES data), or alternatively, reissue the order with CES devices reclassified to class II with reasonable special controls","The petitioner argues that FDA's Final Order was based on a flawed panel process that excluded valid scientific data from direct current CES devices, misrepresented device risks, and imposed burdensome requirements without justifying them based on actual safety concerns. They highlight that CES devices have a long history of low risk, and FDA’s inconsistent treatment (e.g., more lenient standards for ECT) suggests bias and procedural misconduct. The petitioner claims that a scientifically and procedurally valid reassessment is necessary to ensure fair regulatory treatment"
FDA-2020-P-0945-0001_Citizen_Petition_from_Dr__Ernest_C__Chisena_and_Dr.pdf,"February 25, 2020",Dr. Ernest C. Chisena and Dr. Jahangir S. Rastegar,The petition was submitted personally by the named individuals and does not represent another entity,"21 C.F.R. §§ 10.30, 25.30, 25.31, 25.32, 25.33, 25.34; Federal Food, Drug, and Cosmetic Act",FDA’s approval of the Exogen Ultrasound Bone Healing System (LIPUS) under PMA P900009 based on studies asserting it enhances fracture healing,"Re-evaluate the approval of LIPUS devices by requiring Exogen-Bioventus to prove that ultrasound, and not soft tissue pressure, is the causal mechanism enhancing fracture healing","The petitioners argue that the clinical studies supporting LIPUS failed to control for or measure soft tissue pressure, which may be the actual factor responsible for accelerated healing. They cite basic science and animal studies, clinical experience, and recent negative trials questioning LIPUS efficacy, suggesting that increased soft tissue pressure, not ultrasound, could explain healing benefits. Clarifying the actual mechanism is critical for optimizing patient care"
FDA-2020-P-0947-0001_Citizen_Petition_from_Hyman__Phelps_and_McNamara__.pdf,"February 24, 2020","Hyman, Phelps & McNamara, P.C.",The petition was submitted on behalf of an unspecified client; the represented entity is not disclosed,"Section 505(j) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.20, 10.30, 314.3, 25.31","FDA’s Orange Book listing for Neostigmine Methylsulfate Injection Solution, NDA 203629, lacking designations as a Reference Listed Drug (RLD) and Reference Standard (RS)",Amend the Orange Book to designate NDA 203629 (Neostigmine Methylsulfate Injection Solution) as both a Reference Listed Drug and a Reference Standard,"Without RLD and RS designations, NDA 203629 is shielded from generic competition despite being a single-source drug. The petitioner argues that such designations are appropriate and necessary for facilitating ANDA submissions, and that FDA guidance allows either controlled correspondence or a citizen petition as valid mechanisms to request these changes"
FDA-2020-P-0978-0001_Citizen_Petition_from_Valisure__LLC_.pdf,"March 2, 2020",Valisure LLC and ValisureRX LLC,The petition was submitted by Valisure on its own behalf and does not represent another entity,"21 U.S.C. §§ 331, 351, 352, 355, 372, 374, 375; 21 C.F.R. §§ 10.20, 10.30, 25.30","FDA’s oversight of metformin contamination with N-Nitrosodimethylamine (NDMA) and current regulatory practices around testing, recalls, and guidance",1) Request recall of metformin batches containing NDMA above acceptable limits; 2) Conduct investigations under FDCA §§ 702 and 704; 3) Inform the public under § 705; 4) Revise guidance FY20-058-DPA-S to improve detection methodology; 5) Issue regulations requiring batch-level chemical testing of drug products,"Valisure detected NDMA, a probable human carcinogen, in multiple batches of metformin using improved LC-HRMS methods. Some batches exceeded FDA’s acceptable daily intake by over 10 times. Valisure argues that FDA’s current testing protocols may underestimate NDMA levels, and that lack of batch-level oversight enables contaminated products to reach patients. Independent testing and stricter regulatory actions are necessary to ensure pharmaceutical safety"
FDA-2020-P-0983-0001_Citizen_Petition_from_grBiosystems_Inc_.pdf,"February 26, 2020",grBiosystems Inc.,The petition was submitted directly by grBiosystems Inc. and does not represent another entity,"21 C.F.R. § 355.70(a), § 355.70(c); 21 C.F.R. § 10.30; 21 C.F.R. Part 20",FDA’s requirement for biological testing of fluoride dentifrices using animal caries reduction models under § 355.70(a),Grant permission to use the Featherstone laboratory pH cycling model as an alternative to the animal testing requirement for fluoride dentifrices,"grBiosystems, which opposes animal testing on ethical grounds, seeks to use the Featherstone pH cycling model as a validated in vitro alternative. This model has been shown to provide equivalent accuracy to the rat caries model, fulfilling the regulatory criteria under § 355.70(c). It demonstrates proportional fluoride response, performance of clinically validated formulations, and sensitivity to reduced fluoride activity, supporting its robustness and relevance"
FDA-2020-P-1003-0001_Citizen_Petition_from_John_J__Coleman___M_A___M_S_.pdf,"February 25, 2020","Dr. John J. Coleman, M.A., M.S., Ph.D.",The petition was submitted personally by Dr. John J. Coleman and does not represent another entity,"21 C.F.R. § 10.30; FDA's 1997 'Convenience Kits Interim Regulatory Guidance'; Federal Food, Drug, and Cosmetic Act § 510(k); 21 C.F.R. § 25.34",FDA’s 1997 policy that exempted fever thermometers (as part of 'convenience kits') from premarket clearance,"Initiate rulemaking procedures to require premarket clearance for all fever thermometers sold over-the-counter in the U.S., including certification of device technology, accuracy, and safety","The petitioner highlights the proliferation of poorly regulated, inaccurate infrared thermometers—particularly those manufactured overseas—and the critical role these devices play during public health emergencies like COVID-19. He argues that the exemption from regulatory oversight established in 1997 is outdated and insufficient for ensuring public safety, given changes in the marketplace and technology"
FDA-2020-P-1016-0001_Citizen_Petition_from_CellTrion__Inc_.pdf,"March 3, 2020","Celltrion, Inc.","The petition was submitted by Celltrion, Inc., represented by Edgar Sanchez Palacios (US Agent)","Section 505(j) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.25(a), 10.30, 25.31(a), 25.15(d); FDA Draft Guidance (January 2017) on Referencing Approved Drug Products in ANDA Submissions",FDA’s current reference standard designation for Ropinirole Hydrochloride Extended-Release Tablets (Requip XL 2 mg) listed in the Orange Book,"Designate Ropinirole Hydrochloride Extended Release Tablets, 2 mg, ANDA 201576 (Dr. Reddy’s Laboratories Ltd) as the new reference standard","The currently designated RS (Requip XL 2 mg) is unavailable in the market, as confirmed by pharmacies, labeling updates, NDC directory absence, and IQVIA data. This unavailability prevents the petitioner from conducting in vivo bioequivalence studies necessary for post-approval supplements. Dr. Reddy’s product is the market leader and is therapeutically equivalent, making it a suitable RS replacement"
FDA-2020-P-1052-0001_Citizen_Petition_from_National_Tobacco_Reform_Init.pdf,"March 6, 2020",National Tobacco Reform Initiative (NTRI),"The petition was submitted directly by NTRI, an informal organization, and does not represent another entity","21 C.F.R. § 10.30; 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34; Family Smoking Prevention and Tobacco Control Act; Food, Drug, and Cosmetic Act; Public Law 111–31",FDA/CTP’s implementation of its 2017 comprehensive nicotine-focused tobacco regulatory strategy and the current regulatory framework governing nicotine and tobacco products under the Tobacco Control Act,"Adopt a science-based, flexible regulatory framework based on a continuum of risk across nicotine products; modernize the Tobacco Control Act; implement nicotine product standards; allow innovation in lower-risk alternatives; convene national stakeholder dialogues; and promote public education on nicotine risks and benefits","The petition argues that the current tobacco regulatory framework is outdated, overly burdensome, and biased toward maintaining cigarette dominance while hindering access to lower-risk alternatives. It calls for urgent FDA/CTP action to reduce smoking-related diseases and deaths by modernizing the statute, supporting innovation, regulating based on relative risk, and engaging diverse stakeholders in civil dialogue to craft evidence-based solutions"
FDA-2020-P-1065-0001_Citizen_Petition_from_B__Braun_Medical_Inc_.pdf,"March 10, 2020",B. Braun Medical Inc.,The petition was submitted directly by B. Braun Medical Inc. and does not represent another entity,"21 C.F.R. §§ 10.25(a), 10.30; 21 C.F.R. § 25.31",FDA’s omission of therapeutic equivalence (TE) ratings for B. Braun’s NDA 505(b)(2) injectable drug products in the Orange Book,Add the therapeutic equivalence code 'AP' to all B. Braun injectable drug products listed in Appendix 1 of the petition within the Orange Book,"The listed products are injectable solutions or powders for solution with no known or suspected bioequivalence issues. FDA’s own Orange Book guidelines allow for assignment of TE codes, including 'AP', for such products. TE ratings are critical for market competitiveness and generic substitution, and a citizen petition is the appropriate channel for requesting such designations"
