File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Status of Review,Review Comments
FDA-2010-P-0027-0001_Lachman_Consultant_Services__Inc____Citizen_Petiti.pdf,"Printed January 12, 2010; Stamped January 13, 2010",,"Lachman Consultant Services, Inc.",Filed on behalf of an undisclosed client,21 CFR 10.30; 21 CFR 314.161,Withdrawal of Actonel (risedronate sodium) 75 mg from market,Determine whether Actonel 75 mg Tablets were withdrawn for reasons of safety or effectiveness,"The product was approved on April 16, 2007 and listed in the Orange Book.
- It now appears in the discontinued section (first noted in Supplement 05, May 2009).
- There is no public indication that the innovator (Procter & Gamble) is currently marketing it.
- Under FDA regulations (314.161 & 314.162), a determination is required before approving ANDAs referencing such a product.
- The petitioner asserts that this discontinuation requires a formal safety/efficacy determination.",,
FDA-2010-P-0028-0001_Parnell_Technologies_Pty___Ltd____Citizen_Petition.pdf,"Printed January 11, 2010; Stamped January 14, 2010",,Parnell Technologies Pty Ltd,"Submitted by Fenella Cochrane, Regulatory Director, on behalf of company",21 CFR § 10.30; Section 512(n)(3) of the FDCA,Suitability for ANADA submission for Gonabreed (gonadorelin 100 µg/mL),Allow submission of ANADA for Gonabreed (different strength of approved RLD Cystorelin®),"The proposed product is bioequivalent to the RLD in terms of dose (100 µg per animal vs. 86 µg), route of administration (parenteral), and clinical use (in dairy cattle).
- Product labeling would be identical in indications and precautions, differing only in dose volume (1 mL vs. 2 mL).
- Gonadorelin in the proposed product is the same salt form as in Cystorelin® and is chemically and functionally equivalent.
- The concentration difference does not pose safety or effectiveness issues.
- An environmental assessment is not required, as the product will be used under veterinary supervision in terrestrial species",,
FDA-2010-P-0045-0001_Richard_F__Edlich__M_D___Ph_D___et_al___Citizen_Pe.pdf,"Stamped January 19, 2010",,"Richard F. Edlich, M.D., Ph.D. and co-signers","Filed individually and supported by 11 co-authors, including healthcare workers",21 CFR 10.30,Presence of the 'Medical Glove Powder Report' on the FDA website,Remove the 'Medical Glove Powder Report' from FDA’s website,"The petition argues that the FDA's glove powder report is outdated (last peer-reviewed citation from 1997) and ignores the Citizen Petition to ban cornstarch on medical gloves submitted earlier by 12 health professionals.
- The FDA report omits recent peer-reviewed findings, presents inaccurate market data from 1996, and lacks mention of serious health risks (e.g., latex allergies, surgical complications).
- The report has not been effectively disclosed to the scientific community (its revision date is not shown on printed copies).
- The petitioners cite environmental and economic impacts, including decreased allergic reactions and cost savings due to avoided complications from cornstarch-related injuries and infections",,
FDA-2010-P-0050-0001_Public_Citizen_Health_Research_Group___Citizen_Pet.pdf,"January 20, 2010 printed and stamped",,Public Citizen Health Research Group,"Signed by Sidney Wolfe, MD",21 U.S.C. § 355(e)(3); 21 CFR 10.30,FDA's continued market approval of Savella (milnacipran),Immediate removal of Savella from the U.S. market,"Lack of efficacy: Trials showed only marginal benefit (7–9% improvement vs. placebo), with no statistically significant pain relief when measured alone.
- Manipulated trial protocol: Sponsors modified trial criteria mid-process and post-hoc to attain statistical significance.
- Severe safety concerns, including:
  • Suicidal ideation
  • Cardiovascular risks (increased blood pressure and heart rate)
  • Liver toxicity and renal risks
  • Withdrawal and dependency symptoms
  • Risks in pregnancy, breastfeeding, and reproductive issues
  • GI disorders and serotonin syndrome
- EU Rejection: The European Medicines Agency denied approval of Savella for fibromyalgia on July 23, 2009, citing the same concerns",,
FDA-2010-P-0051-0001_Lachman_Consultant_Services__Inc____Citizen_Petiti.pdf,"Printed January 19, 2010; Stamped January 20, 2010",,"Lachman Consultant Services, Inc.",Filed on behalf of an undisclosed client,21 CFR 10.30; 21 CFR 314.161,Market status of Actonel with Calcium (risedronate sodium and calcium carbonate),Determine whether Actonel with Calcium was withdrawn for safety or effectiveness reasons,"The product has been moved to the discontinued section of the Orange Book.
- It is unclear when the discontinuation occurred or whether it was due to safety or efficacy concerns.
- A formal FDA determination is needed before any ANDA (Abbreviated New Drug Application) citing this product may proceed.
- The petitioner notes that per FDA precedent, not marketing a product can be interpreted as withdrawal from sale",,
FDA-2010-P-0052-0001_Richard_F__Edlich__M_D___Ph_D___et_al___Citizen_Pe.pdf,"Stamped January 14, 2010",,"Richard F. Edlich, M.D., Ph.D., and 11 healthcare professionals",Filed individually by Dr. Edlich and supported by 11 co-signers,21 CFR 10.30,Use of cornstarch powder on medical gloves,Ban cornstarch powder from medical gloves due to its cancer-promoting properties,"Cancer Risk: Cites research (e.g., by van den Tol et al.) showing that cornstarch promotes tumor growth in the peritoneum after surgical trauma.
- Health Hazards: Cornstarch linked to complications such as peritonitis, infertility, surgical adhesions, delayed wound healing, and latex allergies in both patients and healthcare providers.
- Economic and Environmental Impact: Banning powdered gloves could reduce healthcare costs from complications and prevent environmental contamination.
- Ethical Grounds: Honors injured and deceased healthcare professionals and patients harmed by cornstarch on gloves.
- Precedent: Notes that FDA already banned talc on condoms due to cancer risks—argues a similar rationale applies to cornstarch in gloves",,
FDA-2010-P-0059-0001_Aurobindo_Pharmaceuticals__Ltd____EAS_Consultant_G.pdf,"Printed and stamped January 21, 2010",,Aurobindo Pharmaceuticals Limited,"Submitted by EAS Consulting Group, LLC (signed by Charles 'Chris' Celeste, Director of Regulatory Information)","21 CFR 10.30, 21 CFR 314.161, 21 CFR 314.162, 21 CFR 25.31","Determination whether Actonel with Calcium (Copackaged) (Risedronate Sodium and Calcium Carbonate), NDA 021823, was withdrawn for safety or effectiveness",Determine whether Actonel with Calcium was voluntarily withdrawn for safety or efficacy reasons,"The product now appears in the discontinued section of the FDA’s Orange Book.
- Per FDA regulations, before an ANDA can be approved referencing a discontinued product, the agency must determine whether it was withdrawn for safety or efficacy reasons.
- The petitioner seeks this determination to proceed with regulatory processes for generic versions",,
FDA-2010-P-0060-0001_Virgilian__LLC____Citizen_Petition.pdf,"January 21, 2010 both printed and stamped",,"Virgilian, LLC","Not Represented (submitted by Israel N. Rabinowitz, Ph.D., Managing Partner)","Not explicitly cited; references CFR Title 21, Part 25-30; HACCP and GMP practices",Establishment of a standard of identity for almond fruit juice,Establish a standard of identity for single strength almond fruit juice at 11° Brix,"Almond is botanically a fruit, part of the Rosaceae family (alongside apple, peach, apricot, plum).
- Almond fruit juice is produced similarly to prune juice, which is also extracted from dried fruit.
- The extraction process is based on patent no. 6,716,465.
- Almond fruit juice has comparable °Brix (11°) to other fruit juices (e.g., apple, peach, apricot).
- Production uses existing California juice facilities, meeting HACCP and GMP standards.
- The juice introduces new food identity, so further clarification and data may be warranted",,
FDA-2010-P-0069-0001_Foley___Lardner__LLP___Citizen_Petition.pdf,"Printed January 6, 2010; Read January 27, 2010 (written)",,Foley & Lardner LLP,"Representing Kremers Urban, LLC (submitted by David L. Rosen, B.S. Pharm., J.D.)","21 U.S.C. § 355(g); 21 CFR § 10.30, 21 CFR § 10.115",Approval and guidance procedures for highly potent pharmaceutical products,Restrict ANDA/NDA approval of highly potent products without strict controls; develop draft guidance and convene Advisory Committee,"Highly potent drugs (e.g., cytotoxics, oncologics, immunologics) pose significant health and environmental risks even at trace levels.
- Cross-contamination and cGMP failures are well-documented in FDA warning letters and literature.
- Past FDA and EMEA guidance are limited or non-binding; no finalized rules exist.
- The petitioner stresses the need for dedicated facilities, validated cleaning, employee training, and risk management frameworks.
- Industry needs clarity, consistency, and enforceable standards to align with public health and safety needs",,
FDA-2010-P-0072-0001_Arent_Fox__LLP___Citizen_Petition.pdf,"Printed January 27, 2010; Stamped January 28, 2010",,Arent Fox LLP,"Not representing another entity; submitted by Wayne H. Matelski, Attorney at Arent Fox LLP","21 CFR 10.20, 10.30, 314.93; FDCA Section 505(j)(2)(C)",Suitability of filing an ANDA for a new dosage form of Lidocaine Hydrochloride and Epinephrine Injection,"Declare that a 1.7 mL dental cartridge of Lidocaine Hydrochloride 2% and Epinephrine 1:200,000 is suitable for submission under an ANDA","The proposed product differs from the RLD only in dosage form and scope of indication.
- The active ingredients and their concentrations are identical to those in the RLD.
- The 1.7 mL dental cartridge form is already common and preferred in the dental community.
- The proposed product falls within the scope of a previous DESI evaluation (DESI 763) and a 1971 Federal Register notice confirming effectiveness of lidocaine with epinephrine for local anesthesia.
- Filing the petition is a precaution in case FDA requires explicit approval for this variation under 505(j)(2)(C)",,
FDA-2010-P-0076-0001_Boehringer_Ingelhein_Roxane_Laboratories__Inc____C.pdf,,,"Boehringer Ingelheim Roxane Laboratories, Inc.","Not represented by external counsel; submitted by Thomas Murphy, President and COO",21 CFR 10.30; FDCA Section 505-1,Development and implementation of Risk Evaluation and Mitigation Strategies (REMS) for mycophenolate mofetil,Ensure generic companies are included in REMS program development and implementation and are not subjected to unreasonable financial burdens,Brand companies excluded generics from the development of REMS programs while demanding disproportionate cost-sharing; FDA should ensure fair inclusion and cost structure,,
FDA-2010-P-0081-0001_Jim_Bates__Truth_in_Labeling_Coalition____Citizen_.pdf,"Printed and stamped February 12, 2010",,Truth in Labeling Coalition,Not Represented (submitted by Jim Bates on behalf of the coalition),"57 Fed. Reg. 22984 (1992), Docket No. 92N-0139",Policy on not requiring labeling of genetically engineered (GE) foods,Revoke 1992 FDA policy and require labeling of genetically engineered foods,"Scientific Basis: GE foods involve DNA manipulation with potential unpredictable effects, distinct from traditional breeding. Referenced concerns include Bt-toxin concentration and altered allergenic potential.
- Health Risks: Includes references to toxicity studies (e.g., MON810, MON863, NK603 corn), a past epidemic linked to L-tryptophan contamination, and long-term uncertainty of GE food safety.
- Environmental Impact: Risk of transgene contamination, impact on biodiversity (e.g., bee colony collapse), and herbicide use.
- Consumer Rights: Emphasizes the public’s right to know and freedom of choice; references international labeling standards (EU, Japan, Australia).
- Public Support: Lists endorsements from dozens of co-ops, businesses, and organizations supporting mandatory labeling",,
FDA-2010-P-0082-0001_Actavis_Elizabeth__LLC__Alston___Bird_LLP____Citiz.pdf,"Printed and stamped February 5, 2010",,Actavis Elizabeth LLC,Submitted by Alston & Bird LLP,"21 U.S.C. § 355, 21 C.F.R. Part 314, 21 C.F.R. § 10.30",ANDA approval process for extended-release morphine sulfate drug products,"Require specific bioequivalence testing procedures for ANDAs referencing KADIAN, including Tmax and dosage-specific comparator studies","Pharmacokinetic Differences
KADIAN has a unique gradual-ascending and gradual-descending plasma profile not shared by other morphine products. Different pellet formulations are used across KADIAN's dosage strengths, affecting drug release.

Therapeutic Implications
FDA’s current standards may allow approval of generics that are not therapeutically equivalent to KADIAN, risking patient safety and efficacy.

Dose-Dumping Risks
Co-ingestion with alcohol could cause uncontrolled drug release.
In vitro and in vivo testing submitted by Actavis showed KADIAN has a low risk of alcohol-induced dose-dumping, while others (e.g., AVINZA) showed greater risk.


Precedent and Regulatory Guidance
Cites previous citizen petitions (e.g., Sanofi-aventis, McNeil) urging the FDA to adopt more nuanced bioequivalence metrics.
References FDA’s own guidance recommending T<sub>max</sub> as a pharmacokinetic measure.",,
FDA-2010-P-0086-0001_Hyman__Phelps___McNamara__P_C____Citizen_Petition.pdf,"Printed and stamped February 12, 2010",,"Hyman, Phelps & McNamara, P.C.",Not Representing Another Entity (filed by Robert A. Dormer),"Section 505(j)(2)(C) of the FDCA; 21 C.F.R. §§ 10.20, 10.30, 314.93",ANDA suitability determination for docetaxel injection concentrate in lyophilized powder form,Declare a different initial dosage form and strength of docetaxel suitable for ANDA submission and waive PREA requirements,"The proposed product uses the same active ingredient, concentration, and route of administration as the RLD.
- Offers a non-polysorbate 80 alternative to reduce risk of hypersensitivity reactions.
- The 200 mg strength aligns with dosing instructions in RLD labeling and reduces the need for multiple vials.
- The new diluent component (Macrogol 15 hydroxystearate) is included in upcoming USP/NF monograph, used in injectable products globally.
- No safety or effectiveness concerns arise, as the diluted solution is comparable to the RLD.
- Pediatric studies are unnecessary because Taxotere® is not indicated for pediatric use, and likely has a PREA waiver for those indications",,
FDA-2010-P-0087-0001_Sandoz__Inc____Citizen_Petition.pdf,"Printed February 9, 2010; Stamped February 12, 2010",,Sandoz Inc.,Not Represented,"Section 505 of the FDCA, 21 U.S.C. § 355; 21 C.F.R. § 314.94(a)(8)(iv), § 314.127(a)(7)",ANDA labeling carve-outs related to LYRICA® (pregabalin),Prevent approval of ANDAs for pregabalin that omit seizure or pain indications protected by patents,"Carving out labeling sections (such as §5.4 ""Suicidal Behavior and Ideation"" and §5.5 ""Peripheral Edema"") would remove critical safety warnings that apply to all indications, not just those carved out.
- The Medication Guide contains warnings (e.g., risk of suicidal thoughts and edema) that are not indication-specific, and carving them out would cause confusion and pose risks to patient safety.
- Uniformity of warnings is crucial for prescribers and patients; altered labeling would lead to inconsistent safety messaging.
- Prior FDA decisions (e.g., Rapamune® and Altace® cases) support rejecting labeling carve-outs when patient safety is compromised.
- Regulatory precedent and interpretation of 21 C.F.R. § 314.127(a)(7) show that FDA can and should deny ANDAs with incomplete labeling if they make the generic product less safe",,
FDA-2010-P-0096-0001_OncoTherapies_Limited___Citizen_Petition.pdf,"Printed February 15, 2010; Stamped February 18, 2010",,OncoTherapies Limited,Not Represented,"Section 505(j)(2)(C) of the FDCA, 21 CFR 10.30, 21 CFR 314.93, 21 CFR 25.31",ANDA suitability for a ready-to-use solution of Gemcitabine Hydrochloride,"Declare proposed Gemcitabine Hydrochloride Injection, 10 mg/mL, suitable for ANDA","The proposed product uses the same active ingredient, strength (200 mg and 1 g), and indications as the RLD.
The change from powder to solution is intended to simplify drug administration by eliminating the need for reconstitution
All inactive ingredients are the same except mannitol, which is unnecessary in solution form; sodium acetate is retained as buffer
Pediatric waiver requested due to lack of substantial pediatric use, supported by CDC data
Environmental and economic assessments excluded or waived under relevant provisions",,
FDA-2010-P-0105-0001_National_Chicken_Council__NCC____Citizen_Petition.pdf,"Printed and stamped February 19, 2010",,National Chicken Council (NCC),Not Represented,"21 CFR § 118.4(e); 21 U.S.C. §§ 342(a)(4), 371(a); 42 U.S.C. §§ 243, 264, 271",Refrigeration requirements in the Final Rule on Salmonella prevention in eggs,"Amend 21 C.F.R. § 118.4(e) to exempt surplus hatching eggs sold for use in egg products from refrigeration requirements, or
- Re-open the comment period or re-propose the rule solely with respect to the refrigeration of surplus hatching eggs","The refrigeration requirement is incompatible with hatchery conditions (e.g., eggs stored at ~65°F, not 45°F).
- Imposing refrigeration would compromise hatchability, rendering the eggs unusable for hatching and devaluing them.
- Broiler companies received ~$5M in 2008 from sales of surplus eggs to breakers—revenue that would be lost.
- No clear public health benefit is demonstrated, as egg products are already required to undergo 5-log SE reduction treatment under the Egg Products Inspection Act.
- The requirement was not a logical outgrowth of the Proposed Rule, violating APA notice requirements.
- FDA relied on a single, unidentified comment to justify the requirement, with no supporting evidence or industry consultation",,
FDA-2010-P-0111-0001_Warner_Chilcott_Company__LLC___Citizen_Petition.pdf,"Printed February 22, 2010; Stamped February 23, 2010",,"Warner Chilcott Company, LLC",Not Represented,"Section 505(q) of FDCA, 21 CFR §§ 10.20, 10.30",Approval process and bioequivalence guidance for mesalamine delayed-release tablets,"The petitioner requests that FDA:
1. Issue a product-specific bioequivalence guidance for mesalamine delayed-release tablets.
2. Require ANDAs to demonstrate bioequivalence using:
 - Clinical efficacy endpoint studies
 - Comparative pharmacokinetic studies (fed and fasted conditions)
 - Rigorous in vitro dissolution testing","Mesalamine acts locally, so systemic pharmacokinetics are unreliable indicators of efficacy
FDA has previously agreed that clinical efficacy studies are necessary for bioequivalence of such locally acting drugs
Systemic exposure variability and the possibility of increased toxicity with generics necessitate PK comparisons
In vitro dissolution testing is vital to ensure proper drug release in variable pH environments of ulcerative colitis patients
Warner Chilcott emphasizes no waiver should be granted for bioequivalence testing of either Asacol (400 mg) or Asacol HD (800 mg), as they are not formulation proportional",,
FDA-2010-P-0112-0001_Alaunus_Pharmaceutical_LLC_Patrick_Foster___Citize.pdf,"Printed February 12, 2010; Stamped February 24, 2010",,Alaunus Pharmaceutical LLC,Not Represented (submitted by Patrick Foster),"Section 505(j)(2)(C) of FDCA, 21 CFR §§ 10.20, 10.30, 314.93","ANDA suitability for Oxytocin Injection, USP in a 100 mL vial","The petitioner requests FDA approval of a Suitability Petition allowing the submission of an ANDA for Oxytocin Injection, USP – 1000 USP Units/100 mL vial (10 USP Units/mL), which differs from the RLD only in package size","The only difference is the larger vial size: 100 mL vs. 30 mL; active ingredient strength remains the same (10 USP Units/mL).
Intended for hospital pharmacies or centralized compounding centers, improving efficiency
No expected change in safety, efficacy, or use, since formulation, preservative (chlorobutanol), pH, and route of administration are identical to the RLD.
Claims FDA must approve such petitions unless new investigations are required to establish safety or effectiveness",,
