File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Status of Review,Review Comments
FDA-2018-P-0269-0001_Citizen_Petition_from_Arent_Fox_LLP.pdf,1/16/2018,,Arent Fox LLP,Representing an unnamed client.,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 C.F.R. §§ 10.20 and 10.30(b)(3) (Citizen Petition procedural and economic impact requirements)
- 21 C.F.R. § 25.31 (categorical exclusion from environmental assessment)
- 21 C.F.R. § 25.40 (environmental assessment provision)","FDA’s policy on designating Reference Standards (RSs) for ANDA submission, particularly when the currently designated RS (Derma-Smoothe/FS) is unavailable due to long-term backorder
","FDA should designate ANDA No. A201759 / Fluocinolone Acetonide 0.01% Topical Oil (Scalp Oil), owned by Identi Pharmaceuticals Inc., as the new Reference Standard (RS) in the Orange Book, replacing Derma-Smoothe/FS (NDA 019452)
","- Derma-Smoothe/FS is unavailable due to long-term backorder, with no anticipated return.
- The petitioner’s client cannot obtain enough product to perform required bioequivalence testing.
- The Identi product is therapeutically equivalent and is the market leader in units sold.
- Replacing the RS would enable generic ANDA filings
",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0322-0001_Petition_for_Stay_of_Action_from_Commonwealth_Bran.pdf,1/19/2018,"Letterhead and stamp dated January 19, but digital heading reflects January 23.","Commonwealth Brands, Inc. (CBI)
",Not mentioned.,"- 21 C.F.R. § 10.35 (Petition for stay of action)
- 21 C.F.R. § 10.75 (Supervisory review)
- 21 U.S.C. § 387j(a)(2)(B) (Substantial equivalence of tobacco products)
- 5 U.S.C. §§ 551, 558(c) (Administrative Procedure Act)","Issuance of Not Substantially Equivalent (NSE) orders dated January 4, 2018, by the FDA's Center for Tobacco Products (CTP) for seven Substantial Equivalence (SE) Reports submitted by CBI
","Immediate and indefinite stay of the seven NSE orders to allow CBI to pursue supervisory review under 21 C.F.R. § 10.75 without irreparable harm
","- Products have been marketed provisionally since 2011 under the FDCA.
- The SE Reports demonstrated substantial equivalence in all material respects.
- FDA issued NSE orders without proper notice and opportunity to respond, violating the Administrative Procedure Act and Due Process Clause.
- Irreparable harm from immediate withdrawal from the market.
- FDA failed to respond to earlier stay request (Jan 10, 2018).
- Sound public policy and administrative fairness support the stay, and no urgent public health interest outweighs it
",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0327-0001_Citizen_Petition_Fresenius_KabiUSA__LLC.pdf,1/22/2018,,"Fresenius Kabi USA, LLC",Not mentioned.,"- 21 C.F.R. § 10.30 (Citizen petition procedures)
- 21 C.F.R. § 314.161 (FDA determination on withdrawn drug products)
- 21 C.F.R. § 314.162 (Listing and delisting of approved drugs)
- 21 C.F.R. § 25.31 (Environmental Impact—categorical exclusion)","FDA’s listing of Mitomycin (NDA 050450) in the “Discontinued Section” of the Orange Book, which affects its eligibility for ANDA submissions
","FDA should determine whether Mitomycin (NDA 050450, 5 mg/vial and 20 mg/vial), held by Bristol Laboratories Inc., was withdrawn from sale for reasons of safety or efficacy
","- Mitomycin is listed in the Discontinued Section of the Orange Book.
- FDA must determine whether the drug was withdrawn for safety/efficacy reasons or for business reasons, as required before an ANDA can be approved.
- Fresenius Kabi seeks this determination to support ANDA referencing",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0339-0001_Citizen_Petition_from_Hahn_Loeser___Parks_LLP.pdf,1/19/2018,"Letterhead dated January 19, but stamp reflects January 23.",Hahn Loeser & Parks LLP,Not mentioned.,"- FDC Act § 505(j)(2)(C) (Suitability petition for ANDA submission)
- 21 C.F.R. §§ 10.20 and 10.30 (Citizen petition procedures)
- FDC Act § 505B (Pediatric Research Equity Act)
- 21 C.F.R. § 25.31 (Environmental impact categorical exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact provision)","FDA’s regulation of suitability determinations for ANDA submissions that differ in strength from the listed drug product (i.e., change from 25 mg or 100 mg/vial to 200 mg/vial for Bendamustine Hydrochloride)","FDA should declare that Bendamustine Hydrochloride for Injection, 200 mg/vial is suitable for submission in an ANDA, based on reference to TREANDA (25 mg/vial and 100 mg/vial) approved under NDA 022249
","- Proposed product is quantitatively and qualitatively the same as the listed drug when reconstituted.
- 200 mg strength offers greater convenience for typical dosing needs and reduces need for multiple vials, minimizing risk of medication errors and cytotoxic exposure.
- No other changes in labeling, dosage form, or administration",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0343-0001_Citizen_Petition_from_Fish___Richardson_PC.pdf,1/23/2018,,"Fish & Richardson P.C.
","Representing Iroko Pharmaceuticals, LLC
","- 505(j)(4)(C)(i) of the FDCA
- 505(j)(4)(G) of the FDCA
- 505(q) of the FDCA
- 21 C.F.R. §§ 10.30, 10.31, 314.127, 314.92(a)(1), 314.94(a)(5), 314.94(a)(8), 314.127(a)(3), 314.127(a)(7), 314.95(3)(b), 320.1(c), 314.108","FDA’s potential approval of Abbreviated New Drug Application (ANDA) No. 210299 submitted by Apotex Inc. for a generic version of ZORVOLEX®
","Request for the FDA to refuse approval of ANDA No. 210299 by Apotex Inc. because:
- The active ingredient (diclofenac sodium) is not the same as that in the RLD (diclofenac free acid)
- The labeling is not the same as that approved for ZORVOLEX®","- Diclofenac sodium is a different active ingredient from diclofenac free acid due to differences in chemical structure and physical properties (solubility, bioavailability, GI permeability)

- Labeling differences create safety concerns and confusion, as the RLD label explicitly warns against interchangeability with salt forms like diclofenac sodium",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0345-0001_Citizen_Petition_from_Macleods_Pharmaceuticals_Lim.pdf,1/23/2018,,Macleods Pharmaceuticals Limited,Not mentioned.,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR §§ 10.25(a), 10.30, 314.93 (Citizen petition and ANDA standards)
- 21 CFR §§ 25.31(a), 25.15(d) (Environmental impact categorical exclusion)","FDA’s designation of Furadantin® (NDA# N009175) as the reference standard (RS) for Nitrofurantoin Oral Suspension in the Orange Book, despite limited commercial availability","Request FDA to designate approved ANDA #A201679 (Nitrofurantoin Oral Suspension, 25 mg/5 mL by Amneal Pharmaceuticals) as the new reference standard (RS) for ANDA submissions
","- Furadantin® (RLD) is not readily available for bioequivalence testing due to limited distribution.
- Amneal’s product is the market leader and therapeutically equivalent.
- FDA guidance allows selecting a new RS under such conditions",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0345-0007_Withdrawal_of_Citizen_Petition.pdf,11/12/2020,"Date was incorrectly identified by ChatGPT, but date has been manually adjusted. ",Macleods Pharmaceuticals Limited,Not mentioned.,Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

","The Reference Listed Drug (RLD) is now available in the Orange Book, making the petition to designate RS unnecessary. Bioequivalence testing and ANDA filing can now proceed using the RLD listed
",FALSE,
FDA-2018-P-0564-0001_Citizen_Petition_from_Panera_LLC.pdf,1/18/2018,,"Panera, LLC
",Not mentioned.,"- 21 U.S.C §§ 401, 403, 371 (FDCA Sections)
- 21 CFR 160.100, 160.105, 160.110, 160.115, 160.140, 160.145, 160.150, 160.180, 160.185, 160.190 (Egg-related standards)
- 21 CFR 101.4(b)(10)-(12) (Ingredient labeling)
- 21 CFR 130.5(b) (Standard of identity)
- 21 CFR 25.32 (Environmental Impact exclusion)","The absence of a formal definition for the term “egg” under 21 CFR 160.100 and the permissive labeling of processed egg products as “egg,” “egg whites,” or “egg yolks” under 21 CFR 101.4","- Amend 21 CFR 160.100 to define “egg” as a food made from a cracked shell egg without additives or further processing, except for pathogen control (e.g., pasteurization).
- Amend 21 CFR 101.4 to prohibit processed egg products containing additives from being labeled simply as “egg,” “egg whites,” or “egg yolks”","- Current regulations lack clarity and allow processed egg products with additives (e.g., preservatives, emulsifiers) to be labeled simply as “egg,” misleading consumers.
- Panera uses real shell eggs and wants transparency and fairness in product naming.
- A clear standard would support honest labeling and consistent use in retail and foodservice.
- Suggested definition aligned with 9 CFR 590.1 under the Egg Inspection Act",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0597-0001_Citizen_Petition_from_the_Alliance_for_Natural_Hea.pdf,2/7/2018,,"Alliance for Natural Health USA (ANH-USA)
",Not mentioned.,"- 21 C.F.R. §§ 10.20, 10.30 (Citizen Petition procedures)
- 21 C.F.R. § 25.30 (Environmental Impact categorical exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact clause)
- Sections 503A and 503B of the Federal Food, Drug, and Cosmetic Act (Compounding provisions)","FDA’s appointment of the Pew Charitable Trusts as a voting member of the Pharmacy Compounding Advisory Committee (PCAC)
","Remove the Pew Charitable Trusts from its voting position on the PCAC, due to conflict of interest
","- Pew has partnered with PhRMA and BIO, groups with vested pharmaceutical interests opposed to compounded drugs.
- Signed a joint letter with PhRMA (June 12, 2017) advocating positions financially benefiting drug companies.
- Co-sponsored Congressional briefings that pushed anti-compounding narratives.
- Other PCAC members with potential conflicts are non-voting, while Pew is a voting member, making its conflict more serious.
- Pew’s involvement undermines the impartiality and credibility of PCAC",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0598-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__PC.pdf,2/7/2018,,"Hyman, Phelps & McNamara, P.C.
","Representing United Therapeutics Corporation (UTC)
","- 21 U.S.C. §§ 355(a), 355(j), 355(b)(2) (FDCA sections)
- 21 C.F.R. § 10.30 (Citizen petition procedure)
- 505(q) of the FDCA
- 21 C.F.R. § 25.31(c) (Environmental Impact categorical exclusion)","FDA's potential approval of NDA or ANDA referencing Sodium Bicarbonate Injection, USP products (particularly from manufacturer Cumberland Pharmaceuticals Inc.) without adequate data to support approval routes
","- FDA should refuse approval of any NDA or ANDA for Sodium Bicarbonate Injection, USP that does not meet applicable regulatory requirements.
- Require any applicant to submit a full NDA (not an ANDA or 505(b)(2)) unless the applicant demonstrates its product is pharmaceutically equivalent to an RLD","- Products currently on market are unapproved or lack data on equivalence, sterility, or stability.
- No ANDA or 505(b)(2) product should be approved unless it shows pharmaceutical equivalence and meets FDA’s own technical and regulatory standards.
- Improper approval undermines FDA’s authority and poses safety risks",FALSE,"Missing in original spreadsheet, so completed in full here. Representation status was incorrectly identified by ChatGPT."
FDA-2018-P-0599-0001_Citizen_Petition_from_National_Pediculosis_Associa.pdf,2/6/2018,,"National Pediculosis Association, Inc. (NPA)
",Not mentioned.,"510(k) medical device clearance (FDA K981250); general reference to FDA policy and website standards. No citation of 505(q) or 21 C.F.R. 10.30
","The petition comments on the FDA’s public education materials and website content regarding lice treatment options, specifically their emphasis on chemical remedies and lack of comparable attention to combing and the LiceMeister comb
","The NPA requests the FDA to:
• Update its website and educational materials to better emphasize combing as a treatment option.
• Acknowledge that not all lice combs are equivalent.
• Mention the LiceMeister® comb by name, similar to how chemical treatments are branded","- The LiceMeister comb was cleared as a 510(k) device for lice detection and removal.
- Research shows combing is more effective and safer than chemical treatments, especially for children.
- FDA materials currently downplay the effectiveness of combing and overlook the risks of chemical treatments (e.g., lindane).
- Environmental concerns about pesticide use and its effects on water systems and public health.
- Inclusion of combing aligns with FDA’s 2018 policy goal to empower consumers with informed health decisions",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0614-0001_Citizen_Petition_from_GeneYork_Pharmaceuticals_Gro.pdf,2/7/2018,,"GeneYork Pharmaceuticals, LLC
",Not mentioned.,"- 21 C.F.R. § 10.25(a) (General filing procedures)
- 21 C.F.R. § 10.30 (Citizen petition)
- 21 C.F.R. § 314.122 (Reference Listed Drug availability)
- 21 C.F.R. § 25.24(c)(1) (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact)","FDA’s current designation of HEXADROL (NDA 014694, Organon USA Inc.) as the Reference Listed Drug (RLD), and Luitpold’s product (ANDA 087440) as the Reference Standard (RS) for dexamethasone sodium phosphate injection
","FDA should designate ANDA 084916 (owned by Fresenius Kabi USA, Inc.) as an alternate Reference Standard (RS) for HEXADROL, to support generic drug development
","- Both the current RLD (HEXADROL) and RS (Luitpold) products are no longer commercially available, making it difficult to develop a generic product.
- Fresenius Kabi’s ANDA 084916 product is pharmaceutically equivalent (same ingredient, dosage form, strength) and holds over 80% of market share, making it the most accessible and practical RS.
- Ensuring access to an available RS aligns with the Hatch-Waxman Act’s goal of facilitating affordable generics",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0625-0001_Citizen_Petition_from_Made_in_the_USA_Foundation.pdf,2/1/2018,"Letterhead dated February 1, but stamp reflects February 8.","Made in the USA Foundation
",Not mentioned.,"- 19 U.S.C. § 1304
- 19 C.F.R. §§ 134.1(d), 134.25, 134.46
- 21 U.S.C. §§ 331, 352
- 21 C.F.R. § 201.1",The absence of a requirement for country-of-origin labeling on prescription drug packaging sold in pharmacies,"The petitioner requests that the FDA initiate a rulemaking proceeding to require that:
1) All prescription drugs dispensed by pharmacies state their country of origin in at least 12-point font.
2) Labels referring to the U.S. (e.g., “USA”) must disclose the actual country of origin in type at least as large.
3) Failure to comply may result in criminal prosecution","- To ensure transparency and protect consumers from misleading labeling.
- Federal law already requires country-of-origin labeling for imported goods, and this should extend to prescription drugs.
- FDA inspections of foreign manufacturing facilities are infrequent, particularly in India and China, from where 80% of U.S. prescription drugs are sourced.
- The change would reduce the carbon footprint and promote U.S. drug manufacturing.
",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0664-0001_Citizen_Petition_from_Prinston_Pharmaceutical_Inc_.pdf,2/9/2018,,"Prinston Pharmaceutical Inc.
",Not mentioned.,"- 21 C.F.R. §§ 10.25(a), 10.30 (Citizen petition submission procedures)
- 21 C.F.R. § 25.31 (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact)
- Reference to Section 505(j) of the FD&C Act","The FDA’s current designation of ANDA 079195 as the Reference Standard (RS) for Rocuronium Bromide Injection, which is allegedly not available in sufficient quantities for comparative analysis","Prinston requests that FDA designate ANDA 091115 (held by TAMARANG SA) as the new Reference Standard (RS) for Rocuronium Bromide Injection, 50 mg/5 mL and 100 mg/10 mL
","- The currently designated RS (ANDA 079195) is not sufficiently available for in vivo bioequivalence testing.
- FDA guidance allows RS designation changes when distribution is limited.
- ANDA 091115 is commercially available and has greater market share.
- This change would facilitate market competition and help avoid potential drug shortages",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0664-0004_Withdrawal_from_Prinston_Pharmaceutical_Inc.pdf,3/13/2019,,"Prinston Pharmaceutical Inc.
",Not mentioned.,Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

","Not provided in the withdrawal request; the letter simply states the intent to withdraw without explanation
",FALSE,
FDA-2018-P-0670-0010_Withdrawal_from_Sean_Griffin.pdf,7/19/2019,"Date was incorrectly identified by ChatGPT, but date has been manually adjusted. ",Sidley Austin LLP,"Representing Paragon Bioteck, Inc.",Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

","Not mentioned (no rationale or reason is provided for the withdrawal)
",FALSE,
FDA-2018-P-0673-0001_Citizen_Petition_from_Justice_for_Jake.pdf,11/13/2017,"Signature dated November 13, but stamp reflects February 8.","Justice for Jake (Board of Directors)
",Not mentioned.,"- Section 355(e) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.30
- §360bbb-2 of U.S.C. (Classification of products)
- §811 Part C (5)
- Controlled Substances Act of 1970","Classification of Alprazolam as a Schedule IV drug under the Controlled Substances Act
","Reschedule alprazolam from Schedule IV to Schedule II and conduct a study on its control in relation to the opioid crisis
","- Alprazolam is involved in a significant portion of opioid overdose deaths (e.g., ~25% of overdoses involving opioids like hydrocodone, oxycodone, methadone).
- 1 in 3 opioid overdose deaths involves an anti-anxiety drug; 90% of these involve alprazolam.
- Recreational use is rising, with 125,000 hospital visits per year.
- Liquid formulations linked to suicides and fatalities.
- Pharmacy controls are lax (e.g., imprecise counting, refills).
- Environmental data from a 2013 study shows overdose deaths involving benzodiazepines like alprazolam have increased 5x since 1996.
- Petition argues alprazolam's abuse and danger justify placement in Schedule II
",FALSE,"Missing in original spreadsheet, so completed in full here."
