File Name,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Date of Petition
FDA-2013-P-0148-0001_Crowell_and_Moring_LLP_Citizen_Petition.pdf,Crowell & Moring LLP,No representation of another entity explicitly mentioned; the firm submitted on its own behalf,"21 U.S.C. § 301 et seq. (FDCA), 21 C.F.R. § 10.30, 21 C.F.R. § 25.31(a)",FDA’s adoption and Orange Book listing of the strength for Lovaza (omega-3-acid ethyl esters) Capsules,"Amend the strength listing for Lovaza to identify only the amount of active ingredient per administration unit (either 0.9GM or 900MG), removing reference to product weight, excipients, or inactive ingredients","Petitioner argues that FDA’s current listing deviates from the established regulatory framework where strength identifies only the active ingredient per administration unit, leading to inconsistency with thousands of other Orange Book listings, public FDA guidance, and the Lovaza labeling and drug listings; correction is necessary for regulatory consistency and clarity.","Printed February 6, 2013; Stamped Same Date both printed and stamped"
FDA-2013-P-0163-0001_Teva_Womens_Health_Inc_Citizen_Petition.pdf,"Teva Women's Health, Inc.","Teva Women's Health, Inc. is a subsidiary representing Teva Pharmaceutical Industries Ltd.","21 C.F.R. § 10.30, 21 U.S.C. § 355(j), 21 C.F.R. § 884.5360, 21 C.F.R. § 310.502(a)(8)",Approval of Abbreviated New Drug Applications (ANDAs) referencing ParaGard T 380A intrauterine copper contraceptive,"(1) comparative clinical trials establishing bioequivalence, (2) identical labeling to ParaGard, and (3) identical physical components to ParaGard","Justifications include that ParaGard acts locally with mechanisms not fully understood, copper and non-copper components contribute to efficacy, and minor changes could significantly affect safety and efficacy; therefore, clinical trials, identical labeling, and device component identity are necessary to ensure generic equivalence and public health protection","Printed February 11, 2013; Stamped Same Date both printed and stamped"
FDA-2013-P-0170-0001_Clinipace_Worldwide_Citizen_Petition.pdf,Clinipace Worldwide,No,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. § 10.20; 21 C.F.R. § 10.30; 21 C.F.R. § 314.93; 21 C.F.R. § 25.31",FDA’s regulation allowing submission of abbreviated new drug applications (ANDAs) for strengths different from reference listed drugs (RLDs),"The petitioner requests FDA to declare that hydroxychloroquine sulfate tablets in 100 mg, 300 mg, and 400 mg strengths are suitable for submission and review under an ANDA referencing Plaquenil (hydroxychloroquine sulfate) 200 mg tablets as the RLD.","The petitioner justifies the request by explaining that the proposed new strengths will provide convenient alternative dosing options for both adults and pediatric patients, match labeled dosing flexibility outlined in the RLD, and do not raise new safety or efficacy issues since they align with already approved dosing regimens; also, no new active ingredient, indication, dosage form, dosing regimen, or route of administration is involved, making Pediatric Research Equity Act (PREA) obligations inapplicable.","Printed Printed February 11, 2013; Stamped Stamped February 12, 2013"
FDA-2013-P-0198-0001_Takeda_Pharmaceuticals_USA_Inc_Citizen_Petition.pdf,"Takeda Pharmaceuticals U.S.A., Inc.",Not Mentioned,"21 U.S.C. 355, 21 C.F.R. 10.30",Approval of abbreviated new drug applications (ANDAs) referencing DEXILANT (dexlansoprazole) delayed-release capsules,"Refrain from approving any ANDA referencing DEXILANT unless it includes data showing bioequivalence using partial AUC metrics in addition to conventional metrics (AUC₀₋ₜ, AUC₀₋∞, and Cₘₐₓ).","The petitioner argues that DEXILANT is a dual delayed-release product with biphasic pharmacokinetics and that the existing FDA draft guidance does not require partial AUC metrics necessary to ensure therapeutic equivalence of generics. Without additional metrics such as pAUC₀₋₂ₕ and pAUC₂₋₁₀ₕ, a generic may not truly replicate the dual-release profile essential for safety and efficacy.","Printed February 15, 2013; Stamped Same Date both printed and stamped"
FDA-2013-P-0199-0001_Richard_M_Karcich_Citizen_Petition_Redacted.pdf,Richard M. Karcich,No,"General Principles of Software Validation; Final Guidance for Industry and FDA Staff Section 6.1, FDA Quality System Regulations, Medical Device Directive, ISO 13485, ISO 14971, IEC 62366, IEC 62304","FDA's current regulatory approach to software validation for medical devices, which leaves validation practices largely at the discretion of device manufacturers",Request for FDA to issue new regulations or amend existing regulations to require measurement of code change activity and test activity as a mandatory part of software fault management for medical device software,"Petitioner argues that current FDA regulations result in inadequate accountability and allow software faults to escape detection, leading to patient risk. By adopting mandatory measurement practices, device manufacturers can better manage software safety and reliability, detect faults early, and prevent life-threatening failures such as those implicated in Class I medical device recalls.","Printed Stamped February 15, 2013; Stamped nan"
FDA-2013-P-0203-0001_Merchant_Gould_PC_Citizen_Petition.pdf,Merchant & Gould P.C.,Representing an unnamed client,"21 C.F.R. §§ 10.20, 10.30, 314.99(b), 314.94(a)(9)(iii), 314.127(a)(8)(ii)(B), 314.90, 505(j) of the FDCA",Enforcement of the requirement for identical inactive ingredients in parenteral drug products under 21 CFR 314.94(a)(9)(iii) and 314.127(a)(8)(ii)(B),Request to waive enforcement of the requirement that the ANDA for Voriconazole for Injection 200 mg/vial have identical inactive ingredients to the reference listed drug (Vfend®); specifically to allow use of hydroxypropyl β-cyclodextrin instead of sulfobutyl ether β-cyclodextrin sodium,"Petition argues that the substituted excipient (hydroxypropyl β-cyclodextrin) is safe, has similar pharmacokinetics and toxicity profile to the original excipient, and that the change would not affect the safety or efficacy of the drug product; also, historical precedent exists where FDA approved similar requests for changes in inactive ingredients in parenteral drugs","Printed Printed February 15, 2013; Stamped Stamped February 19, 2013 "
FDA-2013-P-0204-0001_Chrai_Associates_Inc_on_behalf_of_Square_Pharmaceu.pdf,"Chrai Associates, Inc. on behalf of Square Pharmaceuticals Ltd.","Chrai Associates, Inc. representing Square Pharmaceuticals Ltd.","21 C.F.R. § 10.30, Section 101 of the Generic Drug User Fee Amendments of 2012 (GDUFA)",FDA’s implementation of the Generic Drug User Fee Act (GDUFA) requiring annual Finished Dosage Form (FDF) facility fees for manufacturers with pending ANDAs,"The petitioner requests that FDA amend, clarify, or revise the GDUFA regulation to require a one-time FDF facility fee payment upon ANDA approval or commercialization instead of annual fees before approval; and requests that FDA exempt the client from paying annual FDF facility fees until a decision on the petition is made.","The petitioner argues that charging annual facility fees before product approval imposes an unfair financial burden on small or first-time foreign manufacturers without U.S. market revenue, contradicts fairness principles compared to PDUFA practices, and may stifle entry of generic products. They propose a one-time fee model similar to European practices to cover necessary FDA regulatory expenses.","Printed Printed February 13, 2013; Stamped Stamped February 14, 2013"
FDA-2013-P-0217-0001_Center_for_Science_in_the_Public_Interest_Citizen_.pdf,Center for Science in the Public Interest (CSPI),Not Mentioned,"21 C.F.R. § 10.30, 21 C.F.R. § 184.1854, 21 C.F.R. § 184.1857, 21 C.F.R. § 184.1859, 21 C.F.R. § 184.1865, 21 C.F.R. § 184.1866, 21 U.S.C. § 321(s), 21 U.S.C. § 348(a), 21 C.F.R. § 170.3(i), 21 C.F.R. § 170.30, 21 C.F.R. § 170.6(c), 21 C.F.R. § 170.300, 21 C.F.R. § 184.1(b)(2), 21 C.F.R. § 181.1(b)","GRAS status of added sugars (sucrose, high-fructose corn syrup, corn sugar, invert sugar, corn syrup) and their regulation in beverages and foods","Initiate rule-making to limit safe levels of sucrose and HFCS in beverages, amend Nutrition Facts to specify 'added sugars', set lower targets for added sugars in foods, conduct public education campaigns, and work with industry to reduce added sugars","Overconsumption of added sugars contributes to obesity, cardiovascular disease, diabetes, gout, dental caries, and poor nutrition; evidence since original GRAS determinations shows current consumption levels are unsafe, necessitating regulatory action to protect public health","Printed Printed February 13, 2013; Stamped Stamped February 20, 2013"
FDA-2013-P-0219-0001_International_Isotopes_Inc_I3_Citizen_Petition.pdf,"International Isotopes, Inc.",No,Not explicitly cited beyond referencing suitability petition standards; general reliance on FDA suitability petition regulations (21 C.F.R. § 314.93 implied),"Approval of ANDA suitability petition to allow change in strength and formulation of sodium iodide I-131 oral solution and kit components relative to the reference listed drug (HICON, NDA 021305)",Approve a suitability petition permitting an increase in the strength of sodium iodide I-131 solution from 250–1000 mCi/mL to 500–3500 mCi/mL and a change in formulation buffer components for a proposed generic product,"The proposed increase in strength will reduce the number of capsules required for dosing, simplify preparation by healthcare providers, maintain the same therapeutic agent and intended use as the reference listed drug, and the new formulation with dilute sodium hydroxide and sodium thiosulfate effectively preserves radiochemical purity without impacting patient safety or efficacy.","Printed Printed February 15, 2013; Stamped Stamped February 21, 2013"
FDA-2013-P-0228-0001_Douglas_Barasatian_Citizen_Petition_Redacted.pdf,Douglas Barasatian,No,"Federal Food, Drug, and Cosmetic Act; 21 C.F.R. § 25.31(a); 21 C.F.R. § 10.30(b)","GRAS (Generally Recognized as Safe) status of Bleached White Flour and associated bleaching agents (e.g., chlorine dioxide, benzoyl peroxide)",Remove Bleached White Flour and all chemical bleaching agents used in its production from the GRAS list and prevent its sale into the U.S. food system.,"The petitioner argues that bleaching flour introduces toxic chemicals such as Alloxan, which can destroy pancreatic cells and potentially cause diabetes. He references historical cases, scientific studies, and international regulatory differences (e.g., Europe’s ban on bleached flour) to support the claim that chemically bleached flour may be contributing to higher rates of chronic diseases in the U.S. compared to Europe.","Printed Printed February 16, 2013; Stamped Stamped February 21, 2013"
FDA-2013-P-0235-0001_Wess_E_Sharpe_Lantos_Technologies_Citizen_Petition.pdf,Wess Eric Sharpe,No,"Section 510(k) of the Federal Food, Drug, and Cosmetic Act",FDA's classification order (K121326) classifying Lantos Technologies' 3D Ear Scanner as a Class I device,Reconsider and reclassify the Lantos 3D Ear Scanner as a Class II device under product code ETY,"The petitioner argues that the Lantos 3D Ear Scanner includes a fluid-filled membrane that can create pressure within the ear canal, posing potential safety risks such as tympanic membrane rupture. This feature aligns more closely with devices classified as Class II under code ETY, rather than Class I devices under code ERA, and therefore requires stricter regulatory scrutiny to ensure patient safety.","Printed Printed February 25, 2013; Stamped Stamped February 26, 2013"
FDA-2013-P-0241-0001_Foley_Lardner_LLP_Citizen_Petition.pdf,Foley & Lardner LLP,No representation of another entity explicitly mentioned,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.30, 314.93, 314.161",Determination whether Cytoxan for Injection (original lyophilized powder form under NDA 12-142) was withdrawn for reasons of safety or effectiveness,"FDA should determine that Cytoxan for Injection (lyophilized powder under NDA 12-142) was not withdrawn from the market for safety or effectiveness reasons, allowing filing of an ANDA referencing the product","The petitioner states that the discontinuation of the lyophilized product was voluntary and for commercial reasons, not due to safety or efficacy issues. Previous FDA determinations found no safety/efficacy concerns for related Cytoxan formulations, and a new ANDA would enhance market competition and drug supply stability.","Printed Printed February 26, 2013; Stamped Stamped February 27, 2013"
FDA-2013-P-0247-0001_Novartis_Pharmaceuticals_Corporation_Citizen_Petit.pdf,Novartis Pharmaceuticals Corporation,No representation of another entity; submitted directly by Novartis Pharmaceuticals Corporation,"21 U.S.C. § 301 et seq. (Federal Food, Drug, and Cosmetic Act), 21 C.F.R. § 10.30, 21 U.S.C. §§ 355(j)(2)(A)(i), (v), 21 C.F.R. § 314.94(a)(8)(iv), 21 C.F.R. § 314.127(a)(7), 21 C.F.R. § 25.31(a)",Approval of ANDAs for zoledronic acid IV infusion products with carve-outs omitting protected safety and efficacy information from Reclast labeling,Request that FDA not approve any ANDA for a zoledronic acid IV infusion product that omits protected safety information from Reclast labeling and only approve ANDAs that include all protected safety information,"Omitting protected labeling would remove critical safety information necessary for safe use of zoledronic acid in treating Paget's disease patients, rendering generic versions less safe than Reclast; FDA precedents require complete labeling where omissions would impact safety across indications.","Printed Printed March 1, 2013; Stamped Stamped March 4, 2013"
FDA-2013-P-0280-0001_RJ_Reynolds_Tobacco_Company_American_Snuff_Company.pdf,"R.J. Reynolds Tobacco Company, American Snuff Company, LLC, and Santa Fe Natural Tobacco Company, Inc.",No,"Section 919 of the Federal Food, Drug, and Cosmetic Act; Family Smoking Prevention and Tobacco Control Act; 21 C.F.R. §§ 10.25, 10.30; 7 U.S.C. § 518d",FDA's method of assessing and collecting user fees for tobacco product manufacturers and importers based on market share calculations,"FDA should promulgate a regulation to ensure that no tobacco manufacturer or importer is assessed user fees greater than their actual market share percentage, requiring all manufacturers and importers to submit market sales volume data to FDA","Current market share calculations omit certain manufacturers, causing compliant companies to pay fees greater than their fair share. FDA must correct this by identifying all manufacturers/importers and including their sales volumes to ensure accurate fee assessments, especially as FDA assumes full responsibility for assessments post-2014 and expands jurisdiction to additional tobacco products.","Printed Printed March 6, 2013; Stamped Stamped March 7, 2013"
FDA-2013-P-0283-0001_Hyman_Phelps_McNamara_PC_Citizen_Petition.pdf,"Hyman, Phelps & McNamara, P.C.",Not Mentioned,"Federal Food, Drug, and Cosmetic Act (FDC Act); 21 C.F.R. § 10.30; FDC Act § 505(o)(4); 21 C.F.R. § 201.57; 21 C.F.R. § 201.56; 21 C.F.R. § 201.100; 21 C.F.R. § 202.1; 21 U.S.C. § 352(a); 21 U.S.C. § 321(n); FDC Act § 505-1","Safety concerns regarding C1 Esterase Inhibitors (Human) for the treatment of hereditary angioedema (HAE), specifically relating to risks of thromboembolic complications, infections, and device-related risks.",(1) Add boxed warnings to C1-INH products; (2) Require a REMS program; (3) Modify labeling to contraindicate use in patients with thrombosis risk; (4) Require medical supervision for use with venous access devices; (5) Require postmarketing studies.,"The petitioner argues that studies and postmarket data reveal serious risks of thrombosis and infection with C1-INH products, that current labeling and warnings are inadequate, and that increased measures are needed to ensure patient safety and informed healthcare provider decision-making.","Printed March 8, 2013; Stamped Same Date both printed and stamped"
FDA-2013-P-0291-0001_Fukushima_Fallout_Awareness_Network_Citizens_for_H.pdf,"Fukushima Fallout Awareness Network (including Ecological Options Network, Beyond Nuclear, and Citizens for Health)",No separate legal representation; these organizations are co-submitters,"21 U.S.C. §§ 321(s), 331(a), (c), & (g), 342, 346, 348, 371; 21 C.F.R. 25.30(a), (h), (j), & (k); 21 C.F.R. 25.32(a), (m), & (n)","FDA’s standards and regulatory response related to radionuclide contamination (specifically Cesium 134/137) in food, dietary supplements, and drugs following the Fukushima disaster","prohibit sale of food, dietary supplements, and drugs contaminated with more than 5 Bq/kg Cesium 134/137; require systematic testing and labeling; maintain a public database with contamination levels; prevent dilution tactics; and conduct environmental testing","Cesium 134/137 contamination poses a bioaccumulative and biomagnifying long-term health risk, no safe threshold for radiation exists according to the BEIR VII report, Fukushima continues releasing significant radiation, U.S. testing is inadequate, and consumers deserve transparency and tools to manage their exposure.","Printed Stamped March 12, 2013; Stamped nan"
FDA-2013-P-0299-0001_Trigen_Laboratories_BioKey_Inc_Citizen_Petition.pdf,"Trigen Laboratories, Inc.","BioKey, Inc. is representing Trigen Laboratories, Inc. for the petition",21 C.F.R. 10.30; 21 C.F.R. 314.94; 21 C.F.R. 25.31,FDA's designation of the Reference Listed Drug (RLD) for Bisoprolol Fumarate Tablets in the Orange Book,"Amend the Orange Book to designate a second Reference Listed Drug (RLD) for Bisoprolol Fumarate Tablets, specifically products from Sandoz and/or Mylan","TEVA Women's Zebeta® Tablets, the current RLD, are not commercially available, causing delays in the ANDA submission process; Sandoz and Mylan's products are available and meet bioequivalence standards.","Printed Printed March 4, 2013; Stamped Stamped March 13, 2013"
FDA-2013-P-0303-0001_Tedor_Pharma_Inc_Citizen_Petition.pdf,Tedor Pharma Inc.,No representation of another entity mentioned,"21 CFR §10.20, 21 CFR §10.30, 21 CFR §314.161, 21 CFR §25.31(a)",Whether Metadate® ER 10 mg (Methylphenidate Hydrochloride) Tablets (ANDA 040-306) was voluntarily withdrawn for safety or effectiveness reasons,"FDA to determine that Metadate® ER 10 mg Tablets were withdrawn for reasons unrelated to safety or effectiveness, thus allowing the filing of an ANDA for a generic version",The drug was moved to the 'Discontinued' section of the Orange Book and is unavailable in the market; the petitioner believes it was discontinued for commercial reasons rather than safety or efficacy concerns and seeks a formal determination to proceed with a generic ANDA.,"Printed Printed March 6, 2013; Stamped Stamped March 13, 2013"
FDA-2013-P-0323-0001_Cititzen_Petition_from_Rapid_Precision_Testing_Lab.pdf,Rapid Precision Testing Laboratories,No representation of another entity mentioned,"21 CFR Parts 201, 310, and 352; 58 FR 28195",FDA's ongoing review of GRASE sunscreen active ingredients and sunscreen labeling and effectiveness testing regulations,"Amend approval and formally withdraw approval of Dioxybenzone, Oxybenzone, Trolamine salicylate, Homosalate, and Octisalate as sunscreen active ingredients; reassess and amend SPF test methodology to prescreen for anti-inflammatory effects that falsely inflate SPF values","Scientific evidence showing that listed sunscreen agents act as anti-inflammatories masking erythema without preventing UV damage, concerns about misleading SPF values, potential systemic absorption risks, and possible contribution to rising skin cancer rates despite sunscreen use.","Printed Printed March 15, 2013; Stamped Stamped March 18, 2013"
FDA-2013-P-0335-0001_Foley_Lardner_LLP_Citizen_Petition.pdf,Foley & Lardner LLP,"Foley & Lardner LLP is submitting on behalf of a client, though the client's specific name is not mentioned in the text provided","Section 505 of the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 355); 21 CFR 10.20; 21 CFR 10.30; 21 CFR 314.94; 21 CFR 320.1; 21 CFR 320.23-24; 21 CFR 25.31",FDA’s bioequivalence requirements outlined in the October 2011 Guidance for Nilutamide,"Amend the FDA's Guidance for Nilutamide to allow a single-dose, two-way crossover study in normal healthy male volunteers under specific safeguards, rather than requiring steady-state studies in patients",The proposed alternative study design minimizes risk because adverse events like hepatic injury and pneumonitis are rare and associated with chronic rather than acute exposure; similar safeguards are accepted for comparable drugs like flutamide and bicalutamide.,"Printed Printed March 14, 2013; Stamped Stamped March 15, 2013"
