File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Comments by RA
FDA-2019-P-2537-0001_Citizen_Petition_from_Allergan_Holdings_Unlimited_.pdf,"May 23, 2019",,Allergan Holdings Unlimited Company (“Allergan”),"Petition signed by Thomas F. Poché, Ph.D., Vice-President & Assistant General Counsel, Allergan. No indication that Allergan files on behalf of another company or client.","21 U.S.C. § 355 (FD&C Act)
• 21 U.S.C. § 355(j) (ANDA provisions)
• 21 C.F.R. Part 10 (citizen-petition rules)
• 21 C.F.R. § 10.31 (certification)
• 21 C.F.R. § 25.31 (environmental categorical exclusion)",FDA’s handling of generic copies of VIBERZI® (eluxadoline) tablets — specifically the draft bioequivalence guidance and any decision to receive or approve ANDAs that reference VIBERZI without adequate clinical-endpoint and abuse-potential data.,"Allergan asks FDA to: 1. Publish a revised draft guidance requiring clinical-endpoint studies for generic VIBERZI; 2. Refuse to receive/approve any ANDA lacking comparative clinical-endpoint evidence; 3. Refuse any ANDA whose active ingredient is not the same Form Alpha polymorph (or, if different, lacks data ruling out greater abuse potential); 4. Seek public comment on criteria FDA uses when generic oral drugs may raise abuse- or scheduling-related concerns.","Scientific & clinical grounds
• Local site of action, low permeability & high PK variability mean plasma PK cannot assure bioequivalence; only clinical-endpoint studies suffice.
• Polymorphic form matters: Form Alpha was chosen for stability and low solubility; other forms could alter dissolution, efficacy, or abuse potential.
• Controlled-substance risk: Using a different polymorph or excipient profile could increase extraction, intranasal use, or diversion; therefore FDA must review abuse data or require an Eight-Factor analysis.",
FDA-2019-P-1679-0074_Supplement_from_Braeburn_Inc.pdf,"August 22, 2019",,"Braeburn, Inc. ","Filed “on behalf of Braeburn, Inc.” by Scott M. Lassman, Counsel (Lassman FDA Law, PLLC)",21 C.F.R. § 10.30(g) • 21 U.S.C. § 360bb(a)(1) • 21 C.F.R. § 316.20(a) • 21 C.F.R. § 316.3(b)(11) • 21 C.F.R. § 316.3(b)(14)(i) • 21 C.F.R. § 316.29,The grant of orphan-drug designation (ODD) to Sublocade™ (buprenorphine extended-release) injection without a new ODD request.,Revoke Sublocade’s orphan-drug designation immediately under 21 C.F.R. § 316.29.,"Statutory requirement: A drug cannot receive ODD unless a sponsor submits a new designation request before its NDA (21 U.S.C. § 360bb(a)(1); 21 C.F.R. § 316.20(a)). 2. Regulatory interpretation: FDA regulations define a “drug” for ODD purposes as the specific drug product, not just the active moiety; therefore Sublocade is distinct from Subutex and was never covered by the 1994 Subutex ODD. 3. Because Indivior never filed a request for Sublocade, its ODD was unlawfully granted and must be revoked.",
FDA-2019-P-1560-0001_Citizen_Petition_from_Hyman__Phelps___McNamara_on_.pdf,"April 1, 2019",,"Xellia Pharmaceutical ApS and Xellia Pharmaceuticals USA, LLC.","Petition filed by Hyman, Phelps & McNamara P.C. (law firm); signed by Kurt R. Karst, Counsel to Xellia.","21 C.F.R. §§ 10.25(a), 10.30 (citizen-petition rules)
• FD&C Act § 505(b)(2)
• 21 C.F.R. § 314.3(b) (therapeutic-equivalence definitions)
• 21 C.F.R. § 314.94(a)(9)(iii) (“non-exception excipient” rule)
• 21 C.F.R. § 314.94(a)(8)(iv) (permitted labeling differences)
• 21 C.F.R. § 25.31 (categorical environmental exclusion)","FDA’s Orange-Book listing and therapeutic-equivalence (TE) coding of Xellia’s Vancomycin Injection 500 mg/100 mL and 1 g/200 mL; specifically, the absence of a TE Code for the products approved under NDA 211962.",Assign an “AP” TE Code (injectable aqueous solution) in the Orange Book to Xellia’s Vancomycin Injection 500 mg/100 mL and 1 g/200 mL so the products will qualify for exemption or refund of future PDUFA program fees.,"Why the AP rating is warranted—
• Xellia’s and Baxter’s Vancomycin Injection products are pharmaceutical equivalents (identical strength, dosage form “solution,” and IV route).
• FDA already determined bioequivalence when approving NDA 211962; thus the products meet all TE-code criteria (21 C.F.R. § 314.3(b)).
• Label differences (a boxed warning about PEG 400/NADA excipients) stem only from permissible excipient changes and are allowable under § 314.94(a)(8)(iv).
• Without a TE Code, Xellia would incur unnecessary PDUFA program fees, despite the product being interchangeable with Baxter’s reference drug, so an AP rating is needed for regulatory parity and cost relief.",
FDA-2019-P-0114-0001_Citizen_Petition_from__Pfizer_Innovative_Health_Gl.pdf,"January 3, 2019",,"Pfizer Inc., through its division Pfizer Innovative Health (Global Regulatory Affairs)",No external representation. Petition is submitted directly by Pfizer.," Section 505(j) of the FDCA
• 21 C.F.R. §§ 314.94(a)(9)(iv), 320.24
• 505(q) mentioned as the petition is certified as such
• 21 C.F.R. § 10.30 (citizen petition process)","FDA’s potential acceptance or approval of any ANDA referencing Toviaz® (fesoterodine fumarate) extended-release tablets that lacks adequate in vivo bioequivalence studies, including for both 4 mg and 8 mg strengths.","FDA should:
• Decline to accept or approve any ANDA referencing Toviaz® that does not include in vivo BE studies demonstrating bioequivalence to both 4 mg and 8 mg strengths.
• Revise or withdraw current draft bioequivalence guidance to ensure it requires in vivo studies at both strengths.","• Fesoterodine exhibits nonlinear pharmacokinetics; systemic exposure does not scale linearly between 4 mg and 8 mg.
• Different strengths cannot be reliably bridged using in vitro methods alone.
• Risk of inaccurate bioequivalence conclusions if only one strength is tested.
• Clinical significance: Toviaz is used in a sensitive patient population; failure to establish BE could compromise safety and efficacy.",
FDA-2019-P-5887-0001_Citizen_Petition_from_Upfield_US_Inc_.pdf,"December 13, 2019",,Upfield US Inc. and its affiliates (“Upfield”),"Petition signed directly by Kyra Lindemann, Head of Corporate Affairs & Communications, North America, Upfield; no outside counsel or other represented party is indicated.","• FD&C Act §§ 401 & 701(e) (21 U.S.C. §§ 341, 371(e))
• 21 C.F.R. § 166.110 (margarine standard of identity) — plus specific sub-paragraphs § 166.110(a), (b)(1), (b)(2) etc.
• 21 C.F.R. § 130.5(b) (general SOI criteria)
• 21 C.F.R. § 25.32(a) (categorical environmental exclusion)",Existing standard of identity for margarine (21 C.F.R. § 166.110) and FDA’s policy on allowable ingredients & labeling for that standard.,"Amend § 166.110 to: 1️⃣ allow additional optional ingredients (e.g., nutrient fortification, algal oils, potassium chloride); 2️⃣ update nutrition criteria; and 3️⃣ modernize nomenclature (“smooth, semisolid” instead of “plastic,” remove “oleomargarine”). Details are provided in Appendix A.","Upfield states that the amendments will: 1️⃣ Modernize the SOI by removing confusing terms and permitting innovation; 2️⃣ Encourage healthier products aligned with plant-based nutrition guidance; 3️⃣ Meet consumer expectations for plant-based, sustainable foods; and 4️⃣ Promote honesty & fair dealing by clarifying labeling and ingredient flexibility.",
FDA-2019-P-5440-0001_Citizen_Petition_from_Diane_Kramer_Redacted.pdf,Not explicitly stated,,Diane Kramer (individual petitioner),None. Diane Kramer submits the petition personally; no law firm or organization is involved.,"• 21 C.F.R. § 10.23(2) – general citizen petition provision
• 21 C.F.R. Part 25 (Environmental Impact), specifically §§ 25.30, 25.31, 25.32, and 25.34
• Notably absent are drug-specific statutes like 505(q) or 505(b)(2)","Current FDA labeling of Provigil (modafinil), which does not include an indication for treatment of multiple sclerosis (MS)–related fatigue.","Petitioner requests the FDA to issue a new indication for Provigil (modafinil) to include treatment of multiple sclerosis-related fatigue, and revise labeling accordingly.","• Multiple studies show modafinil improves MS-related fatigue (citations include Rammohan et al., Zifko et al., Brown et al.).
• Petition cites expert opinions from the National Multiple Sclerosis Society.
• Argues FDA recognition would improve access, insurance coverage, and allow providers more effective treatment options.
• Asserts that 200 mg/day is a well-tolerated, effective dose for MS patients.",
FDA-2019-P-3424-0001_Citizen_Petition_from_Medical_Research_Collaborati.pdf,"July 16, 2019",,"Medical Research Collaborative, Inc.",Not Mentioned. The petition is submitted directly by the organization; no attorney or representative entity is cited.,"• 21 C.F.R. § 10.30 (citizen petition)
• 21 C.F.R. § 312.305 (Expanded Access for Individual Patients)
• 21 U.S.C. § 360bbb (FDCA Sec. 561 - Expanded Access)
• 42 U.S.C. § 1395y(b)(2)(A)(ii) (Medicare secondary payer statute)
• HIPAA Privacy Rule (42 U.S.C. § 1320d et seq.)","Current process, communication practices, and delays related to Expanded Access (EA) for investigational drugs. Also questions FDA’s failure to respond timely to patients/clinicians seeking EA.","Petitioner asks FDA to:
1. Affirm patients’ right to access experimental drugs under EA law
2. Mandate real-time responses from FDA to patient requests for EA
3. Require pharmaceutical companies to post EA policies on their websites
4. Direct FDA to create an easily accessible EA portal for patients and providers
5. Publish data on EA usage, denial reasons, and review timelines","• Terminal patients face systemic barriers to EA access due to unclear procedures, delayed FDA responses, and lack of pharma cooperation.
• Asserts lack of transparency, inconsistent communication, and administrative hurdles violate patient rights.
• Invokes statutory language of the FDCA and constitutional rights (e.g., access to potentially lifesaving treatment).
• Cites Right to Try Act, patient advocacy cases, and the need for urgency in terminal illness contexts.",
FDA-2019-P-3156-0001_Citizen_Petition_from_Medical_Research_Collaborati.pdf,"June 29, 2019",,"Medical Research Collaborative, Inc. (MRC)",Not Mentioned. The petition is submitted directly by MRC; no legal firm or representative named.,"• 21 C.F.R. § 10.30 (citizen petition regulation)
• 21 U.S.C. § 355 (New Drug Application process)
• 21 C.F.R. § 312.305 (Expanded Access for individual patients)
• HIPAA – 42 U.S.C. § 1320d et seq.
• Freedom of Information Act (FOIA), 5 U.S.C. § 552","MRC is commenting on FDA’s approval process and review of new drug applications (NDAs), including public disclosure practices around safety and clinical data for investigational drugs, and Expanded Access (EA) policy.","MRC requests FDA to:
1. Require disclosure of patient narratives and full clinical data once a drug is approved.
2. Mandate NDA sponsors to release certain safety data publicly.
3. Create a database of adverse-event narratives accessible via FOIA.
4. Clarify and enforce procedures related to Expanded Access (EA).","• Transparency: Full access to clinical narratives allows independent analysis and supports informed medical decision-making.
• Patient rights: Greater disclosure empowers patients, especially those seeking EA options.
• Public safety: Hiding key adverse events delays detection of harm.
• Legal basis: FDA already has authority under FOIA and FDCA to compel release of safety information, especially once a drug is approved.",
FDA-2019-P-5394-0001_Citizen_Petition_from_Consumer_Healthcare_Products.pdf,"November 14, 2019",,Consumer Healthcare Products Association (CHPA),Not Mentioned,"21 U.S.C. § 321(ff)(3)
- 21 U.S.C. § 379aa-1
- 21 C.F.R. § 190.6
- 21 C.F.R. § 25.30(h)
- 21 C.F.R. § 10.30(b)(3)
- Section 553(b) of the Administrative Procedure Act",Current prohibition on marketing CBD as a dietary supplement due to its prior investigation as a drug. The petition addresses lack of a legal marketing pathway for CBD in supplements.,"Promulgate regulation to declare hemp-derived CBD lawful in dietary supplements
- Allow NDI (New Dietary Ingredient) submissions for CBD
- Maintain strict enforcement for CBD as a drug
- Increase enforcement on misleading/fraudulent CBD product claims
- Monitor CBD safety through existing adverse event systems","Intense consumer demand and unregulated market
- Public interest in safe, legal access
- FDA has discretion to allow CBD in supplements by regulation
- Reputable manufacturers need regulatory certainty
- Enforcement necessary for safety and quality
- Monitoring tools already exist",
FDA-2019-P-0916-0001_Suitability_Petition_from_Schafer_Veterinary_Consu.pdf,"Printed February 21, 2019; Stamped February 25, 2019",,Felix Pharmaceuticals Pvt. Ltd.,"Schafer Veterinary Consultants, LLC, represented by James H. Schafer, D.V.M., acting as US Agent for Felix Pharmaceuticals Pvt. Ltd.","Section 512(n)(3) of the Federal Food, Drug and Cosmetic Act
- 21 C.F.R. § 25.30(h)
- 21 C.F.R. § 25.21","Filing of an Abbreviated New Animal Drug Application (ANADA) for a generic chewable tablet version of praziquantel, different in dosage form from the approved pioneer product (DRONCIT® Tablets by Bayer Healthcare LLC)",Approval to file an ANADA for a compressed chewable tablet of praziquantel differing from the pioneer compressed tablet dosage form,"Proposed dosage form change (compressed chewable tablet)
- Same route of administration
- Excipients are already approved for use in dogs
- Bioequivalence expected
- No adverse effect on safety or effectiveness anticipated",
FDA-2019-P-5121-0009_Supplement_from_Aquestive_Therapeutics_Inc_Arent_F.pdf,"December 4, 2019",,"Aquestive Therapeutics, Inc.","Represented by Arent Fox LLP, specifically by John R. Fleder and Leah S. Roush","• 21 C.F.R. § 10.30 (citizen petition rule)
• 21 U.S.C. § 355 (FDCA § 505)
• 21 U.S.C. § 355(j) (ANDA provision)
• 21 C.F.R. Part 320 (bioequivalence regulations)",FDA’s draft and potential final guidance on bioequivalence standards for generic versions of Suboxone® (buprenorphine/naloxone) sublingual film,"Aquestive requests FDA to:
• Require in vivo bioequivalence studies using all four PK metrics (AUC0–t, AUC0–∞, Cmax, and tmax)
• Require studies to be done using two dosage strengths (8 mg/2 mg and 2 mg/0.5 mg)
• Reject any ANDA that fails to comply with these standards","• Bioequivalence for sublingual film products is complex and sensitive to formulation and PK variability
• FDA’s own review data shows significant inter-product variability in tmax and Cmax
• Narrow therapeutic index and potential for abuse/addiction requires precise bioequivalence control
• Aquestive argues public health requires these enhanced testing standards to ensure safety and efficacy",
FDA-2019-P-5151-0078_Letter_from_GlaxoSmithKline_GSK_Williams_and_Conno.pdf,"May 22, 2020",,GlaxoSmithKline LLC (GSK),"Williams & Connolly LLP, submitted by Joseph J. Bial and David A. Forkner on behalf of GSK","• 21 U.S.C. § 355 (FDCA §505)
• 21 C.F.R. Part 314 (NDA and ANDA regulations)
• 21 C.F.R. § 10.30 (citizen petition process)
• 505(q) (mentioned in context of petition docket)",The petition comments on FDA’s consideration of ANDA approvals for fluticasone propionate/salmeterol inhalation powder (generic Advair Diskus®) and on a pending citizen petition regarding the standards for therapeutic equivalence and labeling of such generics.,The document itself is a comment on an existing petition; GSK urges FDA to not approve ANDAs that fail to fully meet GSK’s asserted standards for demonstrating therapeutic equivalence for fluticasone/salmeterol DPI products.,"• GSK claims significant variability in performance characteristics (e.g., emitted dose, particle size distribution) between generic versions and the reference product (Advair Diskus).
• Concerns over patient safety, efficacy, and interchangeability if generics with materially different performance characteristics are approved.
• FDA should require full demonstration of therapeutic equivalence including device similarity and labeling parity.",
FDA-2019-P-5266-0001_Citizen_Petition_from_James_Grote__Redacted_.pdf,"November 6, 2019",,James Grote,Not Mentioned – Petition submitted individually by James Grote,"• 21 C.F.R. §§ 10.25(a) and 10.30 (Citizen Petition provisions)
• Environmental exclusions under 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34
• 21 C.F.R. § 25.40 (environmental assessment)","Whether certain ANDAs (040063, 088606, 084476) have been withdrawn voluntarily or for safety/effectiveness reasons",FDA should disclose whether the listed drugs under the above ANDAs were withdrawn voluntarily or for reasons of safety or effectiveness,Petitioner states no withdrawal notification could be found in the Federal Register and suggests grouping related inquiries into one petition to save agency time.,
