File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2014-P-0142-0003_Citizen_Petition_Interim_Response_from_FDA_CDER_to.pdf,7/22/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"21 CFR 10.30(e)(2) – Regulation permitting the FDA to issue interim responses to citizen petitions when additional time is required to reach a decision.
","The petition requested that FDA determine whether the discontinued Protonix I.V. formulation was withdrawn for reasons of safety or efficacy and to allow submission of an ANDA referencing it. FDA has not reached a decision because the matter involves complex issues requiring extensive review.



",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0142-0004_Letter_from_FDA_CDER_to_AAC_Consulting_Group_and_E.pdf,11/28/2016,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 U.S.C. § 355(j) (FD&C Act Section 505(j)) – governs ANDAs
- 21 CFR 314.94(a)(9)(iii) – inactive ingredient requirements for parenteral drugs
- 21 CFR 314.127(a)(8)(ii)(B) – refusal to approve ANDAs due to inactive ingredient differences
- 21 CFR 314.122(a) and 314.161(a)(1) – withdrawal of listed drugs for safety/effectiveness reasons","- Safety Concerns: The original formulation of Protonix I.V. was discontinued due to risks posed by particulate matter, which could cause serious complications (e.g., infection, respiratory distress, organ failure) if not filtered properly.
- Failure to Consistently Use In-line Filter: Studies showed that a significant percentage of pharmacists (13%) and nurses (5%) failed to use the required in-line filter, exposing patients to particulate contamination.
- Adverse Events: FDA received 81 medication error reports, 71 of which were related to failure or improper use of the in-line filter.
- Labeling Ineffectiveness: FDA concluded that labeling was insufficient to mitigate risk from non-use of in-line filters.
- Reformulated Product Is Safer: A newer version of Protonix I.V. eliminated the particulate issue and filter requirement, and is already approved and available.
- Waiver Denied: FDA rejected the request to waive the requirement to match inactive ingredients of the RLD (Reference Listed Drug) because the original formulation was discontinued for safety reasons",FALSE,
FDA-2014-P-0143-0003_Citizen_Petition_Interim_Response_from_FDA_CDRH_to.pdf,7/14/2014,,Center for Devices and Radiological Health (CDRH),Interim Response,"- 21 CFR 10.30(e)(2) – Interim response provision for citizen petitions
- 21 U.S.C. § 301 et seq. – Federal Food, Drug, and Cosmetic Act","The petition raises complex regulatory issues concerning the classification of Personal Sound Amplification Products (PSAPs) versus hearing aids. FDA has not resolved the matter and indicates the review is ongoing. No action will be taken until a decision is reached.



",FALSE,
FDA-2014-P-0143-0008_Interim_Response_from_FDA_CDRH_to_Gail_Gudmundsen_.pdf,1/11/2016,,Center for Devices and Radiological Health (CDRH),Interim Response,"- 21 U.S.C. § 301 et seq. – Federal Food, Drug, and Cosmetic Act
- 21 CFR 801.120 – Labeling requirements for over-the-counter devices
- 21 CFR 801.122 – Labeling requirements for prescription devices
- Executive Order 13563 – Requiring retrospective analysis of existing regulations (cited in relation to petitioner’s request)
- 21 CFR 10.30(e) – Regulation permitting interim responses to citizen petitions","- The petition included multiple requests: to withdraw the 2013 Draft Guidance on PSAPs and hearing aids, refrain from actions on non-device products, cease redefining hearing aids, and conduct a retrospective regulatory review.
- FDA indicated that most of these requests fall within the scope of public comments invited on the Draft Guidance.
- The FDA is also considering recommendations from broader initiatives by PCAST (President's Council of Advisors on Science and Technology) and the Institute of Medicine (IOM).
- FDA reopened the Draft Guidance comment period until May 6, 2016 and planned a public workshop on hearing aid GMPs.
- The agency invited the petitioner to submit comments to the draft guidance docket and withdraw the petition if those comments fully represent her concerns.",FALSE,
FDA-2014-P-0143-0009_Final_Response_from_FDA_CDRH_to_Gail_Gudmundsen_Re.pdf,10/23/2021,,Center for Devices and Radiological Health (CDRH),Dismissed (moot); denied in the alternative,"- 21 CFR 10.30(e)(2)(ii) and (e)(2)(iii) – Grounds for denial or dismissal of citizen petitions
- 21 CFR 801.420 and 801.421 – Hearing aid regulations
- 21 CFR 874 Subpart D – ENT devices
- Section 520(q) of the FD&C Act (21 U.S.C. § 360j(q)) – OTC hearing aids definition and requirements
- Executive Order 13563 – Retrospective regulatory review","- Congress, through the FDA Reauthorization Act of 2017 (FDARA), directed FDA to create a category for over-the-counter (OTC) hearing aids, explicitly exempting them from 21 CFR 801.420 and 801.421.
- FDA issued a proposed rule on October 20, 2021, implementing this mandate and initiating updated labeling and exemption regulations (86 FR 58150).
- FDA also issued a new draft guidance superseding the 2013 Draft Guidance, clarifying definitions of devices vs. PSAPs (86 FR 58192).
- Because the rulemaking and guidance updates already address the concerns raised, FDA deemed the petition moot, and further found no additional justification to grant the requests",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0144-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,7/17/2015,,Center for Drug Evaluation and Research (CDER),Denied,"• FD&C Act § 505(j) (21 U.S.C. 355(j)) • FD&C Act §§ 505(j)(2)(A), (j)(4), (j)(8)(B)(i), (j)(8)(C), (j)(4)(H) • 21 CFR 314.3, 314.94(a), 314.127(a) (various subsections) • 21 CFR 320.1(e), 320.22(d)(2), 320.23(b), 320.24 (and (b)(3)-(6)), 320.25(a)(1) • Public Law 98-417 (Hatch-Waxman Amendments)	","Key reasons FDA denied the petition 1. Revised BE Guidance Already Addresses Issues – Since the 2010 draft, FDA reevaluated bioequivalence methods for locally-acting GI drugs and issued a revised draft guidance; petitioner’s requested changes are therefore unnecessary. 2. Adequate BE Pathways Identified – For Q1/Q2-identical generics, dissolution + fed PK (M3 metabolite) tests are sufficient; non-Q1/Q2 products add a CIC clinical-endpoint study. 3. No Need for Additional IBS-C or OIC Studies – Same site/mechanism (ClC-2 channels) allows extrapolation from a single well-designed CIC study; additional trials would expose hundreds of subjects without added scientific value. 4. Safety Profile Concerns Unfounded – Generic sponsors must meet existing formulation-sameness and adverse-event reporting rules; statistical BE limits (80-125 % CI) guard against clinically meaningful exposure differences. 5. Requested Endpoint Change Not Scientifically Superior – Week-1 spontaneous-bowel-movement count is the most sensitive endpoint to detect formulation differences; whole-period SBM frequency adds no precision.	",FALSE,"Used o3 model instead of standard as standard model could not handle the volume of information and consistently gave inaccurate data across the board. Note that it took several minutes, but much more accurate (at least based off of a quick skim)."
FDA-2014-P-0158-0003_Interim_Response_Letter_from_FDA_CDRH_to_H__Christ.pdf,7/22/2014,,Center for Devices and Radiological Health (CDRH),Interim Response,"- 21 CFR 10.30(e)(2) – Regulation allowing the FDA to issue interim responses to citizen petitions when a final decision has not been made.
- 21 U.S.C. § 301 et seq. – Federal Food, Drug, and Cosmetic Act (referenced in relation to the definition of ""device"")","- The petition requested that FDA: (1) refrain from administrative action on non-device consumer products like PSAPs; (2) withdraw the 2013 draft guidance on “Regulatory Requirements for Hearing Aid Devices and PSAPs”; and (3) cease expanding the definition of ""hearing aids.""
- FDA noted the petition raises issues requiring further review and analysis, hence the interim response
",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0158-0004_Interim_Response_from_FDA_CDRH_to_H__Christopher_S.pdf,1/11/2016,,Center for Devices and Radiological Health (CDRH),Interim Response,"- 21 CFR 10.30(e)(2) – Interim response provision for citizen petitions
- 21 U.S.C. § 301 et seq. – Federal Food, Drug, and Cosmetic Act (definition and scope of “device”)
- 81 FR 786 – Reopening of Draft Guidance comment period (Jan 7, 2016)
- 81 FR 784 – Announcement of GMP public workshop for hearing aids (Jan 7, 2016)","- The petition requested that FDA withdraw the 2013 Draft Guidance on PSAPs, refrain from taking action against non-device products (such as PSAPs), and halt expansion of the definition of hearing aids.
- FDA stated these topics fall within the scope of the Draft Guidance, which is still under review.
- FDA noted external initiatives such as those by PCAST and IOM are influencing policy development.
- The Agency reopened the Draft Guidance comment period and invited the petitioner to submit comments and potentially withdraw the petition.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0159-0005_Interim_Response_Letter_from_FDA_CDRH_to_Etymotic_.pdf,7/22/2014,,Center for Devices and Radiological Health (CDRH),Interim Response,"- 21 CFR 10.30(e)(2) – Regulation allowing for interim responses to citizen petitions
- 21 U.S.C. § 301 et seq. – Federal Food, Drug, and Cosmetic Act
- 21 CFR 801.420 and 801.421 – Regulations pertaining to hearing aids
- Executive Order 12866 – Regulatory planning and review
- Executive Order 13563 – Retrospective analysis of existing rules","- The petitioner requested withdrawal of the 2013 Draft Guidance on PSAPs, non-enforcement of FDA regulations on non-device consumer products, revocation of hearing aid labeling regulations, administrative discretion until revocation, and regulatory impact and retrospective analyses under two Executive Orders.
- FDA acknowledged the petition’s scope and stated that further internal analysis is needed before making a final decision.
- The Agency committed to responding once a final decision has been reached. ",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0159-0012_Second_Interim_Response_from_FDA_CDRH_to_Etymotic_.pdf,1/11/2016,,Center for Devices and Radiological Health (CDRH),Interim Response,"- 21 CFR 10.30(e)(2) – Provision for interim responses to citizen petitions
- 21 U.S.C. § 301 et seq. – Federal Food, Drug, and Cosmetic Act (device definition and scope)
- 21 CFR 801.420 and 801.421 – Labeling regulations for hearing aids
- Executive Order 12866 – Regulatory planning and review
- Executive Order 13563 – Retrospective review of regulations
- 81 FR 786 and 81 FR 784 – Reopened comment period and GMP workshop notice","- The petition requested that FDA: (1) withdraw the 2013 Draft Guidance on PSAPs; (2) refrain from regulating non-device consumer products; (3) revoke hearing aid labeling regulations; (4) suspend enforcement of those regulations; and (5) conduct regulatory impact and retrospective analyses.
- FDA stated that most requests fall within the scope of the Draft Guidance’s public comment process, which was reopened until May 6, 2016.
- FDA encouraged the petitioner to submit comments to the docket and suggested that if the comments address the concerns, the petitioner may withdraw the petition",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0159-0014_Final_Response_from_FDA_CDRH_to_Etymotic_Research_.pdf,10/23/2021,,Center for Devices and Radiological Health (CDRH),Dismissed (moot); denied in the alternative,"- 21 CFR 10.30(e)(2)(ii) and (e)(2)(iii) – Grounds for denial or dismissal of citizen petitions
- 21 CFR 801.420 – Hearing aid labeling requirements
- 21 CFR 801.421 – Conditions for sale of hearing aids
- 21 CFR 874 Subpart D – ENT device rules
- 21 CFR Part 808 – Federal preemption rules
- 21 U.S.C. § 360j(q) – Section 520(q) of the FD&C Act (OTC hearing aids)
- 21 U.S.C. § 321 – Definition of devices
- Executive Orders 12866 and 13563","- Since the petition was filed, Congress enacted the FDA Reauthorization Act of 2017 (FDARA), mandating that FDA establish an OTC hearing aid category exempt from 21 CFR 801.420 and 801.421.
- FDA issued a proposed rule on October 20, 2021 to implement this category and update related regulations, including repealing the sale conditions and amending labeling requirements (86 FR 58150).
- Also on Oct 20, 2021, FDA released a new draft guidance to replace the 2013 draft, clarifying definitions of PSAPs and hearing aids (86 FR 58192).
- These developments addressed the issues raised in the petition, rendering it moot.
- Alternatively, FDA found no remaining basis to grant the petition under applicable legal standards.",FALSE,
FDA-2014-P-0181-0007_Citizen_Petition_Interim_Response_from_FDA_CFSAN_t.pdf,8/11/2014,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"- 21 CFR 10.30(e) – Provision permitting the issuance of an interim response when the agency cannot respond to a petition within 180 days
","- The petition requested that FDA confirm the legal classification of BLIS K12™, which is marketed as a dietary supplement but is on FDA’s “Red List” as an unapproved new drug.
- FDA cited resource limitations and issue complexity as reasons for the delay in issuing a final decision.",FALSE,
FDA-2014-P-0181-0009_Letter_from_CFSAN_to_Kotchen___Low.pdf,9/2/2016,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Partially Approved / Partially Denied,"- 21 CFR 10.30(e)(3) – Grounds for granting a petition in part
- 21 U.S.C. § 321(g)(1)(B) – Definition of drug
- 21 U.S.C. § 352 – Misbranding provisions
- 21 U.S.C. § 360(i) – Registration and listing of drug establishments
- 21 U.S.C. § 331(a) – Prohibited acts (distribution of adulterated or misbranded drugs)
- 21 U.S.C. § 321(ff) – Definition of dietary supplement
- 21 U.S.C. § 350b(d) – New dietary ingredient (NDI) notifications
- 21 CFR Part 207 – Drug establishment registration and listing","- The FDA granted the petition “insofar as we are confirming” that the statements made about BLIS K12™ at the time rendered it a drug under section 201(g)(1)(B) of the FD&C Act.
- FDA also denied the request to consider BLIS K12™ a dietary ingredient, concluding that it is not a dietary ingredient and thus not a dietary supplement
- FDA confirmed that marketing claims for BLIS K12™ constituted therapeutic claims, meaning it was promoted for prevention or treatment of disease (e.g., sore throats, ear infections, respiratory tract infections).
- Because of these claims, BLIS K12™ was a drug under the FD&C Act, regardless of being labeled a dietary supplement.
- BLIS K12™ is a raw ingredient and not itself a dietary supplement or dietary ingredient, and therefore not subject to NDI provisions.
- BLIS K12™ does not fall within any category of dietary ingredients (e.g., vitamin, mineral, herb, or amino acid), nor is it a conventional food ingredient
",FALSE,
FDA-2014-P-0196-0003_Letter_from_FDA_CDER_to_Lannett_Company__Inc_.pdf,4/3/2019,"No date recognized by ChatGPT, but found in signature line.",Center for Drug Evaluation and Research (CDER),Approved,"- 21 U.S.C. § 355(j)(2)(C) – FD&C Act section governing approval of ANDA for a different strength
- 21 CFR 314.93 – Petition process for ANDAs requesting a change in drug strength
- 21 CFR 314.93(e)(1) – Approval criteria for such petitions
- 21 CFR 314.94(a)(3)(iii) – Petition reference in ANDA
- 21 CFR 314.931 – Implementing regulation for 505(j)(2)(C) petitions","- The proposed 1 mg strength is consistent with the listed drug’s dosing recommendations.
- The route of administration, use, and dose are the same as the reference product.
- The change in strength does not pose safety or effectiveness concerns.
- If bioequivalence is demonstrated, the new strength is expected to have the same therapeutic effect.
- No new investigations are necessary to demonstrate safety or effectiveness for the proposed strength",FALSE,
FDA-2014-P-0205-0006_Citizen_Petition_Partial_Approval_and_Denial_Respo.pdf,3/22/2016,,Center for Drug Evaluation and Research (CDER),Partially Approved / Partially Denied,"- 21 U.S.C. § 355(o)(4) – FD&C Act: Authority to require labeling changes
- 21 CFR § 201.56 – Prescription labeling content and format
- 21 CFR § 201.57 – Labeling requirements (e.g., boxed warnings, precautions)
- FDA Guidance for Industry:
    - “Safety Labeling Changes – Implementation of Section 505(o)(4)”
    - “Warnings and Precautions, Contraindications, and Boxed Warning Sections”","- Granted in part: FDA agreed to require safety labeling changes for immediate-release (IR) opioid analgesics.
- Denied in part: Rejected petitioner’s analyses and request for full labeling parity with ER/LA opioids.
- New Safety Information: IR opioids pose serious risks including misuse, addiction, neonatal withdrawal, overdose, and death.
- Supporting Studies: Cassidy et al., Johnson et al., Patrick et al., and others showed high rates of abuse and health risks.
- Regulatory Authority: FDA acted under FD&C Act § 505(o)(4) to require labeling changes.
- FDA’s Position: Petitioner’s data analyses were inadequate, but broader concerns justified action.",FALSE,
FDA-2014-P-0206-0003_Citizen_Petition_Interim_Response_from_FDA_CDER_to.pdf,8/5/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Allows FDA to issue an interim response when a final decision cannot be made within the standard timeframe
","- The petition requested that FDA require 2-hour pain free response rates to be included in prescribing information for acute migraine medications, in addition to current headache relief metrics.
- FDA explained that the petition raises complex issues that require extensive review and analysis, which prevented a final decision at the time
",FALSE,
FDA-2014-P-0206-0005_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,12/14/2015,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- FD&C Act Sections 505(b)(1), 505(c)(1)(A), and 505(d)
- 21 CFR 314.125(b)
- 21 CFR Part 201, including §§ 201.56(a)(1) and 201.56(a)(2)","- FDA concluded that while 2-hour pain-free response rates are a desirable endpoint in clinical trials, they are not required for labeling.
- Currently approved treatments already meet the standard of “substantial evidence of effectiveness.”
- The inclusion of 2-hour pain-free data in product labeling is not mandated because:
- Current labeling provides essential scientific info needed for safe and effective use.
- Cross-study comparisons of 2-hour pain-free rates would not be scientifically valid.
- Complete pain freedom is a desirable endpoint, but pain relief remains a meaningful and clinically significant benefit.
- FDA issued guidance recommending 2 co-primary endpoints for clinical trials: 2-hour pain freedom and relief from the most bothersome migraine-associated symptom.",FALSE,
FDA-2014-P-0209-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,7/3/2014,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 U.S.C. § 355(b)(1) – NDA requirements
- 21 U.S.C. § 355(j)(2)(A) – ANDA requirements
- 21 CFR 314.94(a)(7) – Bioequivalence data requirements for ANDAs
- 21 CFR 314.125(b) – Refusal to approve NDAs
- 21 CFR 314.127(a) – Refusal to approve ANDAs
- FD&C Act Section 505(j) and 505(b)(2)","- No evidence that esomeprazole materially contributes to gastric protection: The petition failed to demonstrate that releasing esomeprazole before naproxen provides a meaningful protective effect against NSAID-induced gastric injury.
- Bioequivalence (BE) standards are sufficient: The petitioner argued that BE studies comparing the proposed generic with Vinovo would not capture the safety benefits of esomeprazole. FDA disagreed and maintained that BE requirements and existing product-specific guidances are appropriate.
- Lack of justification for requiring new studies: FDA concluded that no new clinical studies are necessary under Section 505(j) unless compelling evidence justifies deviation from standard BE requirements.
- ANDA with different release profile may still be approvable: FDA clarified that if an ANDA contains naproxen formulated differently (e.g., outside the enteric-coated core), the application may still be approved if BE and safety are demonstrated using current guidance.
- Scientific review rejected theoretical risks raised by petitioner: FDA rejected the claim that altering the naproxen release timing would increase risk of gastrointestinal injury. ",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0230-0003_Citizen_Petition_Approval_Response_from_FDA_CDER_t.pdf,8/13/2014,,"Center for Drug Evaluation and Research (CDER)
",Approved,"- 21 U.S.C. § 355(j) – Abbreviated new drug application (ANDA) submissions for generics
- 21 CFR 314.3(b) – Definitions, including ""listed drug""
- 57 FR 17950 at 17958 (April 28, 1992) – Final rule establishing ANDA requirements and RLD designation policy","- Rescula is the only approved drug product that contains the active ingredient unoprostone isopropyl.
- No other therapeutically equivalent drugs are approved or listed.
- Without designation as an RLD, generic competition would be blocked due to inability to file ANDAs referencing it.
- Therefore, based on FDA policy and precedent, Rescula was designated as an RLD to support future ANDA submissions",FALSE,
FDA-2014-P-0231-0004_Citizen_Petition_Response_Letter_from_FDA_CDRH__to.pdf,8/14/2014,,"Center for Devices and Radiological Health (CDRH)
","Other (Request for Additional Information)
","- 21 CFR 890.3930(b) – Classification regulation for wheelchair elevators
- Section 510(m)(2) of the FD&C Act – Regarding exemption of class II devices
- Section 510(k) of the FD&C Act – Premarket notification requirements
- 21 CFR 890.3930(a)(2) – Conditions for exemption","- FDA found the petition insufficient to evaluate whether premarket notification is unnecessary for reasonable assurance of safety and effectiveness.
- The petition did not adequately define whether exemption applies to a specific device or the full device category.
- Risks associated with instability of portable wheelchair lifts were not adequately addressed.
- Existing safety standards cited (ASME A18.1 and 49 CFR 38.125) either exclude portable lifts or are limited in scope.
- The FDA requested clarification on testing standards and whether the device had prior FDA clearance or pre-amendments status. ",FALSE,
FDA-2014-P-0245-0003_Interim_Response_Letter_from_FDA_CDER_to_Sugar_Ass.pdf,,"Date was incorrectly identified by ChatGPT, but no date apparent through a quick skim.",Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation permitting the FDA to issue an interim response when it cannot resolve a petition within the statutory timeframe
","- The FDA acknowledged receipt of the petition, which requested amendments to labeling regulations to clarify terms like “sugar” and “sugars” and adjust nutrient content claims related to sweeteners.
- The agency cited other priorities and limited resources as the reason for not reaching a timely decision.
- FDA committed to completing the review and considering regulation amendments “as warranted and in the context of other program priorities.”",FALSE,
FDA-2014-P-0258-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,7/16/2014,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 CFR 201.57(c)(6)(i) – Warnings and Precautions section content
- 21 CFR 201.80(e) – Warnings section for prescription drugs
- Section 505(o)(4) of the FD&C Act – Safety labeling changes authority
- FDA’s “Guidance for Industry on Warnings and Precautions, Contraindications, and Boxed Warnings Sections of Labeling”","- The petition requested FDA to require boxed warnings and other communications regarding the cardiovascular risks of testosterone products.
- FDA reviewed multiple studies cited in the petition (Basaria, Xu, Vigen, Finkle, Shores) and found significant limitations in design, execution, and interpretation of results.
- Common issues included:
- Small sample sizes and low event rates (Basaria)
- High heterogeneity and non-standard definitions of outcomes (Xu)
- Limited follow-up, insufficient baseline data, confounders (Vigen, Finkle)
- Inclusion of symptomatic and elderly populations without proper risk stratification (Shores)
- FDA concluded that current evidence was inconclusive regarding the risk of cardiovascular events due to testosterone use.
- A more thorough evaluation of ongoing trials and additional data is required before regulatory action such as labeling changes can be justified .",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0259-0006_Interim_Response_from_FDA_CFSAN_to_Sabra_Dipping_C.pdf,9/10/2014,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation allowing interim responses when decisions cannot be made within the required timeframe
","- The petition requested the FDA establish a new standard of identity for “Vegetable or Legume Dips, Spreads and Related Products,” including hummus.
- FDA explained it was unable to reach a decision due to competing agency priorities and limited resources.
- FDA committed to continuing its review and considering regulatory amendments as warranted.",FALSE,
