File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Review Comments
FDA-2010-P-0045-0038_Memo_and_Combined_Responses_to_Dr_Edlich_Citizen_P.pdf,"April 4, 2018",,CDRH,"Granted in Part / Denied in Part:
- Granted: Ban on powdered medical gloves, removal of glove powder report, final decisions on several older petitions
- Denied: Requests for new regulatory guidelines and reclassification of certain devices (rendered moot by ban)",81 FR 15173; 81 FR 91722,"FDA considered Dr. Edlich’s petitions and the data he submitted as part of the rulemaking process.
- The agency issued a final rule on December 19, 2016 banning powdered surgeon's gloves, powdered patient examination gloves, and absorbable glove powder, thus achieving the main aims of the petitions.
- FDA removed the ""Medical Glove Powder Report"" from its website as part of this action.
- FDA denied the request to establish new procedural guidelines for petition responses, citing existing adequate rules (21 C.F.R. 10.30).
- Reclassification requests were denied as moot due to the ban effectively removing those products from the market",
FDA-2010-P-0050-0004_Interim_Response_to_Health_Research_Group_Public_C.pdf,"Stamped July 14, 2010 and July 15, 2010",,CDER,Interim Response,21 CFR 10.30(e)(2),"The petition requests the FDA to remove Savella (milnacipran) from the market, citing questionable clinical efficacy and potentially serious risks.
- FDA has not yet completed its evaluation due to the complexity of the issues involved, necessitating extensive review and analysis by agency officials",
FDA-2010-P-0050-0006_Petition_Denial_Final_Agency_Response.pdf,"Stamped July 3, 2016",,CDER,Denied,Section 505(e)(2) of the FDCA,"🧪 Clinical Trial Design & Analysis
Savella (milnacipran hydrochloride) was approved based on two rigorous, randomized, double-blind, placebo-controlled trials (Study 031 and Study 02).

FDA found the statistical analyses, including the use of composite endpoints and post hoc analysis methods, to be valid and appropriate. The agency explained that the same imputation method for both studies increased data reliability and comparability.

📊 Study Endpoints
Composite endpoints (pain reduction, physical function, and patient global assessment) were deemed suitable due to fibromyalgia being a syndrome with multiple symptoms.

The FDA concluded that statistically significant results were achieved when evaluating these combined endpoints.

💊 Benefit-Risk Profile
FDA stated the benefits of Savella outweigh its risks.

The agency cited updates to product labeling with enhanced safety information and postmarketing safety analyses that supported continued marketing.

🛑 Rebuttal to Petitioner’s Claims
FDA addressed concerns about changing study protocols, exclusion of severely depressed patients, and efficacy thresholds.

The agency rebutted the claim that the benefit was marginal (7–9%) and provided context for interpreting composite endpoint success.

🔍 Safety Monitoring
The agency acknowledged known safety issues, including elevated blood pressure and heart rate, but noted these were class effects typical of SNRIs and managed through updated labeling.",
FDA-2010-P-0051-0003_FDA_CDER_to_Lachman_Consultant_Services__Inc____Le.pdf,"Printed July 7, 2010; Stamped July 12, 2010",,CDER,Approved,"21 CFR 314.161, 21 CFR 314.162","The FDA reviewed its records and found no evidence that the drug was withdrawn due to safety or efficacy issues.
- The petitioner provided no data indicating withdrawal for such reasons.
- FDA independently evaluated postmarketing data and literature and found no reason to support a safety or efficacy withdrawal.
- Therefore, the drug remains listed in the Orange Book under the Discontinued Drug Product List allowing continued ANDA referencing",
FDA-2010-P-0052-0020_Memo_and_Combined_Responses_to_Dr_Edlich_Citizen_P.pdf,"April 4, 2018",,Center for Devices and Radiological Health (CDRH),"Partially Granted and Partially Denied
- Granted: Ban on powdered medical gloves (surgical and examination), removal of the “Medical Glove Powder Report,” recognition of petitions filed, and effective ban in IVF labs.
- Denied: Requests to establish new procedural guidelines for citizen petition handling, and device reclassification as it was deemed moot",81 FR 15173; 81 FR 91722,"FDA issued a final rule banning powdered surgeon’s gloves, powdered patient examination gloves, and absorbable powder for lubricating a surgeon’s glove based on scientific and legal findings.
- FDA considered information provided in Dr. Edlich’s petitions in developing this rule.
- The ban made several requests moot (e.g., powder removal, reclassification).
- FDA cited that existing regulations already govern petition responses (21 C.F.R. 10.30), and thus denied the request for new guidelines.
- FDA had already issued an interim response and completed required administrative steps.",
FDA-2010-P-0056-0012_Center_for_Device_and_Radiological_Health__to_Rich.pdf,"August 26, 2010",,Center for Devices and Radiological Health (CDRH),Other (Panel Hearing Notification),Not Mentioned,Notified petitioner of upcoming panel meeting to discuss scientific issues raised in the dental amalgam classification petition,
FDA-2010-P-0056-0029_Citizen_Petition_Closure_Memo_from_CDRH_dated_4_10.pdf,"April 10, 2018",,Center for Devices and Radiological Health (CDRH),Closed due to death of petitioner,"21 CFR § 10.30(b)(3), 21 CFR § 10.30(e)(3)","Petitioner Dr. Richard Edlich passed away in 2013, and co-signors lacked proper contact info; FDA closed the docket",
FDA-2010-P-0059-0004_FDA_CDER_to_EAS_Consulting_Group___LLC___Letter.pdf,"Printed July 7, 2010; Stamped July 12, 2010",,Center for Drug Evaluation and Research (CDER),Denied the implication of withdrawal due to safety or effectiveness; FDA concluded the product was not withdrawn for those reasons.,"21 CFR 314.161, 21 CFR 314.162","The FDA reviewed its records and found no evidence that the product Actonel with Calcium (risendronate sodium and calcium carbonate copackaged) Tablets, 35 mg/500 mg was withdrawn from the market for safety or effectiveness concerns.
- The petitioner (EAS Consulting on behalf of Aurobindo Pharmaceuticals) did not provide any data indicating such concerns.
- The FDA independently evaluated literature and postmarketing data and found no adverse information.
- The product will remain in the “Discontinued Drug Product List” of the Orange Book.",
FDA-2010-P-0069-0007_FDA_CDER_to_Foley___Lardner_LLP___Petition_Denial.pdf,"Stamped July 21, 2010",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355(d)(3), 21 CFR 314.50(d)(1), 21 CFR 314.94(a)(9), 21 CFR parts 210 and 211, 21 CFR 10.115","FDA concluded that existing statutory requirements, CGMP regulations, and guidance are sufficient to ensure the safe production of highly potent pharmaceutical products.
- FDA emphasized that CGMP violations cited in warning letters do not justify new regulations or guidance.
- Responsibility for worker safety and environmental protection falls under OSHA and EPA, not FDA.
- Requests for advisory committee meetings and drug classification lists lacked supporting evidence and were deemed unnecessary.
- FDA reserves the possibility of future guidance but saw no urgent need based on the petition",
FDA-2010-P-0072-0007_Arent_Fox_LLP___Petition_Withdrawal.pdf,"March 22, 2010",Stamped date that is no legible ,Division of Dockets Management,Withdrawn by Petitioner,Not Mentioned,Petition was voluntarily withdrawn by the submitting law firm (Arent Fox LLP) on behalf of the petitioner,
FDA-2010-P-0076-0006_Interim_Response_to_Roxane_Laboratories__Inc_.pdf,"Stamped August 2, 2010 and August 5, 2010",,Center for Drug Evaluation and Research (CDER),Interim Response — Decision Pending,21 CFR 10.30(e)(2),"The petition raised complex issues requiring extensive review and analysis by FDA officials.
- The FDA had not yet reached a conclusion and issued the interim response in accordance with regulatory requirements.",
FDA-2010-P-0081-0008_Interim_Response_to__Jim_Bates__Truth_in_Labeling_.pdf,"Stamped June 30, 2010 and May 30, 2012",,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response — Decision Pending,21 CFR 10.30(e)(2),"Due to competing agency priorities and limited resources, the FDA has not been able to respond within the first 180 days",
FDA-2010-P-0081-0009_Citizen_Petition_Denial_Response_from_FDA_CFSAN_to.pdf,"Stamped November 19, 2015",,Center for Food Safety and Applied Nutrition (CFSAN),Denied,"21 CFR 10.30, FDCA 21 U.S.C. 343(a)(1), 321(n)","FDA found no basis for concluding that bioengineered foods differ from conventional foods in any material way that would require labeling.
- The agency reaffirmed that it is not aware of any information showing that foods derived by genetic engineering differ from other foods in any meaningful or material way.
- FDA emphasized that requiring labeling based on the method of production, without a material difference, would be inconsistent with the FD&C Act.
- Voluntary labeling is permitted and guidance was previously issued for such labeling.
- FDA reviewed scientific evidence and concluded that genetically engineered ingredients do not pose greater health or safety risks than traditionally bred foods.",
FDA-2010-P-0082-0023_FDA_CDER_to_Donald_E__Segal_and_Julie_Tibbets__Als.pdf,"Stamped July 19, 2010",,Center for Drug Evaluation and Research (CDER),Granted in part and denied in part,"21 CFR parts 320, 314.127(a)(8), FDCA Section 505(j)","✅ Granted Portions:
In Vitro Dissolution Testing for Dose-Dumping:
Required for all strengths referencing Kadian to mitigate risks of alcohol-induced dose-dumping, especially in light of historical issues like Palladone withdrawal.
(Pages 8–9)

Bioequivalence Across Pellet Formulations:
Required for ANDAs referencing 10 mg, 100 mg, and 200 mg strengths of Kadian, as each uses different pellet formulations.
(Pages 9–10)

❌ Denied Portions:
Additional Pharmacokinetic Parameters (e.g., Tmax, AUCpR, partial AUC):
FDA found no clear evidence linking these metrics to therapeutic effect or safety in extended-release morphine. Existing standards using Cmax and AUC are deemed sufficient.
(Pages 6–8)

Mandatory In Vivo Dose-Dumping Studies:
Denied as not always necessary; such studies are only required if in vitro testing shows elevated risk.
(Page 9)

🧠 Additional Notes:
FDA found no clinically significant difference in Tmax between Kadian and other formulations like Avinza.

Cited lack of evidence to warrant changes to bioequivalence requirements beyond established statistical parameters.",
FDA-2010-P-0086-0011_FDA_CCDER_to_Hyman__Phelps___McNamara__P_C____Peti.pdf,,"Two dates stamped over each other. I think one says Jan 20, 2011",Center for Drug Evaluation and Research (CDER),"Denied
The FDA rejected the ANDA suitability petition due to safety and regulatory concerns regarding inactive ingredient changes in parenteral formulations","21 CFR 314.94(a)(9)(iii), 314.127(a)(8)(ii)","The petitioner proposed to change the diluent of the reference drug (Taxotere) from PS80 to Macrogol 15 hydroxystearate, an excipient not previously approved in any parenteral drug product by FDA.
- Under 21 CFR 314.94(a)(9)(iii), parenteral ANDAs must include the same inactive ingredients in the same concentration as the reference listed drug, with very limited exceptions (e.g., for preservatives, buffers, antioxidants).
- Since Macrogol 15 hydroxystearate is neither of these and lacks prior approval in injectable products, the proposed formulation raises serious safety and efficacy concerns.
- The FDA cited its prior decision in Docket No. FDA-2009-P-0272, where it rejected any docetaxel formulation differing in PS80 content from Taxotere.
- Therefore, the agency would not accept the proposed ANDA for review",
FDA-2010-P-0087-0004_FDA_CDER_to_Sandoz__Inc____Petition_Denial.pdf,"Stamped July 30, 2010 and August 3, 2010",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355(j), 21 CFR 314.94(a)(8)(iv), 21 CFR 314.127(a)(7), Purepac Pharm. Co. v. Thompson","Carve-outs of protected indications from labeling (related to either seizures or pain) are permissible under FDA regulations if they do not make the generic product less safe or effective for the remaining conditions of use.
- The FDA determined that labeling changes could be made to omit patent-protected uses while retaining necessary safety information (e.g., suicide risk, peripheral edema).
- Section 5.4 and 5.5 of LYRICA’s labeling (regarding suicidal behavior and peripheral edema) can be retained with minor edits that do not disclose protected indications.
- The FDA cited prior precedents and legal interpretations (e.g., Purepac, Torpharm, Bristol Myers Squibb v. Shalala) to support their authority to permit carve-outs.
- Overall, the agency concluded that permitting carve-outs would not render the generic products less safe or effective than LYRICA for the remaining approved uses.",
FDA-2010-P-0089-0013_FDA_CDER_Interim_Response_to_Center_for_Tobacco_Re.pdf,"Stamped August 4, 2010 and August 6, 2010",,Center for Drug Evaluation and Research (CDER),Interim Response — Decision Pending,21 CFR 10.30(e)(2)," The petition involved significant issues regarding how the FDA should regulate, review, and label nicotine replacement therapy (NRT) medications.
- These issues required extensive review and analysis by agency officials.
- As a result, FDA issued an interim response under regulatory guidelines until a final decision could be made",
FDA-2010-P-0089-0019_FDA_CDER_to_Center_for_Tobacco_Regulation_Litigati.pdf,"Stamped April 1, 2013",,Center for Drug Evaluation and Research (CDER),"The FDA provided a mixed response — some parts of the petitions were granted, while others were denied","21 CFR Part 10, Section 918 of the Family Smoking Prevention and Tobacco Control Act","FDA provided detailed reasoning for each element of the petition. Key points include:

Insufficient Evidence: Many requests (e.g., for new indications, concomitant use, or claims of relative safety) lacked adequate scientific support. Literature cited did not justify regulatory changes without additional clinical trials (see pages 7–12).

Scientific Standards: Labeling changes require data from sponsors and rigorous review, not just citizen petitions (pages 5, 7, 23).

Population Risk Considerations: The FDA declined to support claims that OTC NRT is broadly safer for all populations (e.g., CVD, pregnancy, adolescents) without clinical validation (pages 16–21).

Regulatory Integrity: Decisions about labeling and indications must be based on well-controlled studies and regulatory standards, not opinion or advocacy alone.

Support for Smoking Cessation: FDA granted requests supporting trial design, regulatory flexibility, and access expansion (e.g., smaller packages, broader retail access) as part of its commitment to help people quit smoking (pages 24–26, 29–30).",
FDA-2010-P-0091-0122_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"Stamped June 12, 2015",,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 201.57, 21 U.S.C. § 355","The FDA provided the following key justifications for denying the petition:

Existing Labeling Already Adequate: Current benzodiazepine labeling already includes warnings for physical dependence, withdrawal, and long-term use. FDA believes these are sufficient for safe use.

Lack of Scientific Basis for 2–4 Week Limit: The requested universal duration limit was deemed overly restrictive and unsupported by clinical data, especially for chronic conditions like generalized anxiety disorder or panic disorder.

Rejection of “Protracted Withdrawal” Syndrome: The FDA’s literature review did not support the existence of a scientifically recognized ""protracted withdrawal"" syndrome.

Individualized Tapering: Tapering schedules must be tailored to individual patients; no one-size-fits-all approach could be mandated, and the proposed method lacked scientific support.

Boxed Warnings Unjustified: While physical dependence is acknowledged, evidence did not meet the threshold for a boxed warning, which is reserved for risks that may lead to death or serious injury.

No Need for Mandatory Outreach or Website Updates: Information is already publicly accessible through FDA websites and DailyMed; manufacturer compliance with additional web presence is not required",
FDA-2010-P-0092-0004_FDA_CDER_to_Leydig__Voit___Mayer__Ltd____Petition_.pdf,"Stamped August 13, 2010",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 355(j), Section 505(q) of the FDCA","FDA’s key reasons for denying the petition include:

No Final Determination on ANDA: FDA had not yet decided whether Paddock’s ANDA would be approved, and therefore was not required to make a premature determination on a specific element of the application (i.e., dosage form) under §505(q)

Procedural Protections: The agency emphasized that ANDA review involves a structured process that includes notifying applicants of deficiencies and allowing them to respond or request hearings. The petition's request to resolve a specific issue outside of that framework was inconsistent with these statutory protections

Interpretation of §505(q): FDA does not interpret §505(q) to require a final decision on isolated technical elements (like dosage form classification) before a complete ANDA review is concluded

Regulatory Integrity: The FDA highlighted the need to avoid rendering piecemeal decisions that could compromise the integrity of the drug review process.",
FDA-2010-P-0111-0016_FDA_CDER_to_Shire_Pharmaceutical_Inc__Petition_Den.pdf,"Stamped November 8, 2019",,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.33, 21 CFR 10.30, FDCA Section 505(j)","The FDA denied the petition based on the following key points:

Request Did Not Meet Criteria for Reconsideration: The petitioner sought clarification and more detail about FDA's 2010 response but did not present new evidence that had not already been reviewed or considered. The petition therefore failed under §10.33(d) and §10.33(e)

Request Was Not to Reverse the Decision: FDA noted that the request essentially asked for elaboration rather than actual reconsideration of its conclusions.

Bioequivalence Determinations Already Justified: The FDA reiterated that its determinations about using pharmacokinetic (PK) metrics (AUC and Cmax) were scientifically valid for evaluating generic mesalamine products.

Agency Actions Already Taken: Since the petition was filed, the FDA had published new draft guidances (e.g., on September 14, 2012) regarding bioequivalence testing for delayed-release mesalamine tablets/capsules. These were available for public comment",
FDA-2010-P-0112-0007_Final_Response_Letter_from_FDA_CDER_to_Patrick_Fos.pdf,"December 11, 2024",Date from e-signature,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.30, FDCA Section 505(b)","FDA denied the petition based on the following key reasons:

Change in Strength Introduces Safety Risks: The proposed change from the listed drug’s strength and packaging raised concerns about:
Medication errors (e.g., preparation, dosing, expiration tracking)
Risk of incorrect administration
Potential for significant overdose

Labeling Would Require Significant Changes: To mitigate these risks, the drug would require updates to multiple labeling sections:
Dosage and Administration
Overdosage
Warnings and Precautions

These changes exceed what is permissible under the ANDA pathway, making the petition non-approvable under section 505(j)(2)(C) and 21 CFR 314.93.

Recommendation for NDA Pathway: The Agency suggested pursuing approval via a full NDA (section 505(b)) instead of an ANDA, due to the safety and labeling implications.",
FDA-2010-P-0111-0011_FDA_CDER_to_Warner_Chilcott_Company__LLC___Petitio.pdf,"Stamped August 20, 2010",,Center for Drug Evaluation and Research (CDER),Granted in part and denied in part,"FDCA Section 505(q), 21 CFR 314.94(a)(9)(iii), 21 CFR 314.127(a)(8)(ii)","The FDA provided the following reasoning:

Scientific Standards: FDA requires bioequivalence through appropriate scientific methods, and agreed with the need for both comparative clinical endpoint studies and in vitro dissolution data to ensure therapeutic equivalence for mesalamine products .

Statutory Discretion: FDA declined to delay ANDA approvals pending guidance publication, explaining that the law does not obligate FDA to issue guidance prior to approval decisions .

In Vivo Waivers: FDA agreed that waivers for in vivo bioequivalence studies between 400 mg and 800 mg tablets should be denied, as they are not directly substitutable due to formulation and dosing differences .

Labeling Decisions: FDA rejected labeling constraints and boxed warning requirements since such determinations must be based on safety and efficacy data evaluated case-by-case for the generic product .

Product Coding/Substitution Restrictions: FDA declined to enforce specific coding or limit pharmacy substitution, stating such decisions fall outside its regulatory scope and into the purview of state pharmacy boards or payers .",
FDA-2010-P-0111-0016_FDA_CDER_to_Shire_Pharmaceutical_Inc__Petition_Den.pdf,"Stamped November 8, 2012",,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.30, FDCA Section 505(j)","The FDA denied the reconsideration petition based on several reasons:

Request Was Not a Valid Reconsideration: FDA emphasized that the request did not meet the definition of a reconsideration petition because it:

Did not challenge the outcome of the 2010 decision.

Merely asked for additional scientific explanation and citations, which is not a permissible basis under §10.33

Agency Already Considered Relevant Information: FDA concluded that all relevant information and views were already part of the record when the original decision was made, thus satisfying the procedural requirements

Scientific Clarifications Provided Separately: Although denying the petition, the FDA did offer references to clinical studies and public resources (e.g., labeling and published studies) to support its original conclusions on the use of pharmacokinetic (PK) metrics for bioequivalence

Guidance Was Issued: FDA highlighted that it had since published draft guidance for bioequivalence of delayed-release mesalamine tablets/capsules in September 2012, which is available for public comment",
FDA-2010-P-0114-0007_FDA_CDER_Response_to_McGuff_Pharmaceuticals_Inc_Pe.pdf,"Stamped November 15, 2012 and November 16, 2012",,Center for Drug Evaluation and Research (CDER),Approved,"21 CFR 10.30, FDCA 505(j), 314.94(a)(9)(iii)","FDA approved the petition based on the following key points:

No New Safety or Efficacy Concerns: Despite the change in total strength (from 100 mg to 3000 mg per vial), the dose, route of administration, and usage of the proposed product were identical to the reference listed drug (RLD). FDA determined this change would not raise new safety or effectiveness issues.

No New Clinical Investigations Required: Since the change did not necessitate new studies, and assuming the product meets bioavailability standards, the proposed ANDA product could be expected to have the same therapeutic effect.

Standard Regulatory Pathway: FDA reminded the sponsor that the ANDA itself must still be reviewed and approved, and must refer to this petition’s docket number and include this approval letter.",
FDA-2010-P-0116-0003_Watson_Laboratories__Inc____Withdrawal.pdf,"Stamped August 23, 2010",,Division of Dockets Management,Withdrawn by Petitioner,Not Mentioned,Watson withdrew the petition after the FDA published a Federal Register notice stating BONIVA 2.5 mg was not withdrawn for safety or efficacy reasons,
FDA-2010-P-0125-0005_Samson_Medical_Technologies__LLC___Withdrawal.pdf,"Stamped March 22, 2010",,Division of Dockets Management,Withdrawn by Petitioner,Not Mentioned,Petitioner learned the requested determination was already published in the Federal Register; a formal response was no longer needed,
FDA-2010-P-0651-0012_Citize_Petition_Response_Letter_from_FDA_CBER,"October 1, 2018",,Center for Biologics Evaluation and Research (CBER),"Partially granted (some requests already granted), remainder denied","42 U.S.C. § 262(a)(2)(C)(i)(I)
- 21 CFR 10.30(e)(2)
- 21 CFR 600.3(p)
- 21 CFR 201.57(c)(6)(i)","Safety Evaluation: FDA determined that both the 2009 H1N1 and 2010/2011 seasonal vaccines were safe, pure, and potent, based on clinical data, past seasonal influenza vaccine performance, and post-marketing surveillance.
- No Scientific Evidence: The petitioners failed to provide scientific evidence to support their claims regarding vaccine safety risks such as adjuvants (e.g., squalene) or miscarriages.
- Labeling: Requested warnings were denied as false and unsupported; current labeling reflects known risks.
- Jurisdictional Limits: FDA denied requests related to mandatory vaccination policies and self-shielding recommendations as they fall outside FDA authority.
- Safety Monitoring: FDA and CDC conducted extensive safety surveillance (VAERS, VSD, CMS, PRISM, EIP), finding no substantial risks and only a very small elevated risk for GBS, consistent with historical influenza vaccine data.
- Moot Requests: Some requests were deemed moot due to the expiration of the public health emergency and the approval of vaccines in 2009.",
FDA-2010-P-0651-0011_FDA_CBER_Interim_Response_to_Natural_Solutions_Fou,"Stamped June 7, 2011",,Center for Biologics Evaluation and Research (CBER),Interim response: Final decision not yet completed; FDA plans to issue a combined response addressing this and a related earlier petition (FDA-2009-P-0418),21 CFR 10.30(e)(2),"FDA cites competing priorities that have delayed a final response.
- The issues raised in the 2010 petition overlap substantially with an earlier 2009 petition.
- The FDA intends to address both petitions together in a future combined final response",
FDA-2010-P-0648-0006_FDA_CDER_Response_to_G_Pohl_Boskamp_GmbH_and_Compa,"Stamped October 31, 2013",,Center for Drug Evaluation and Research (CDER),"Partially Granted and Partially Denied
– The request regarding in vitro pump functionality testing was granted.
– The remainder of the petition was denied.
– The associated petition supplement (PSA) was declared moot due to a substitute written response to an ANDA by the FDA (page 17).","Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act), 21 U.S.C. 355(j)
– Section 505(q)(1)(A) and (B) of the FD&C Act
– 21 CFR 320.25 and 320.26 (Bioequivalence study requirements)","Scientific Basis: FDA carefully reviewed the petitioner’s requests involving pharmacokinetic measurements, bioequivalence requirements, in vitro testing, and component stability and extractables.
– Partial Agreement: The FDA agreed that testing pump functionality prior to distribution is essential to ensure delivery reliability for nitroglycerin lingual spray products.
– Grounds for Denial: The FDA denied other requests (e.g., mandatory use of specific pharmacokinetic parameters or in vitro-only bioequivalence testing) on the basis that current guidance and standards already ensure therapeutic equivalence. Additional requirements were considered unnecessarily restrictive or unsupported by sufficient scientific rationale.
– Regulatory Alignment: The agency maintained that existing ANDA requirements are adequate to assess bioequivalence, chemistry, manufacturing, and control standards without needing the proposed modifications.",
