File Name,Date of Response,Dates Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
FDA-2013-P-0766-0006_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"February 19, 2016",Stamped,CDER,Denied,21 U.S.C. 355(j); 21 CFR 314.94(a); 21 CFR 320.1(e); 21 CFR 320.23(b); 21 CFR 320.24(b); 21 CFR 314.127(a)(6)(i); 21 CFR 314.127(a)(7); Physical Attributes Guidance,"FDA denied the petition because the current bioequivalence requirements based on the parent drug, albendazole, are scientifically sufficient; the agency found no need to require bioequivalence testing based on the metabolite albendazole sulfoxide. FDA also concluded that labeling for generic albendazole products does not need to identically match the original pediatric instructions from Albenza labeling and that differences, if any, can be evaluated during ANDA review. Finally, FDA found no evidence of significant choking risk associated with 200 mg tablets and determined that compliance with the Physical Attributes Guidance would sufficiently ensure patient safety without the need for additional simulated use testing."
FDA-2013-P-0768-0005_Letter_from_FDA_CDER_from_Salus_Pharma_LLC.pdf,"February 18, 2015","Stamped March 11, 2014",CDER,Denied,21 CFR 314.94(a)(9)(iii); 21 CFR 320.24; 21 CFR 314.127(a)(6); 21 U.S.C. 355(j),"FDA denied the petition because it determined that Salus Pharma's request for in vivo bioequivalence testing for generic potassium chloride oral solutions was not warranted. FDA concluded that in vitro bioequivalence studies are sufficient for these solutions based on their pharmaceutical characteristics (e.g., simple aqueous solutions) and history of safe and effective use, and requiring in vivo studies would be unnecessary and inconsistent with established regulatory practice."
FDA-2013-P-0799-0003_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,Not Explicitly Mentioned (likely around early 2015 based on context),,CDER,Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); 21 CFR 314.94(a)(9)(iii)","FDA approved the petition because the proposed change in drug strength (from 250 mg to 187.5 mg and 375 mg) does not pose questions of safety or effectiveness. The uses, dosage form, and route of administration are the same as the listed drug product. The proposed strengths are consistent with dosing recommendations in the labeling of the reference product, and if bioequivalence requirements are met, the products can be expected to have the same therapeutic effect without requiring significant labeling changes or additional investigations."
FDA-2013-P-0846-0003_Citizen_Petition_Denial_Reponse_Letter_from_FDA_CD.pdf,"November 17, 2014",Stamped,CDER,Denied,Section 505(j) of the FD&C Act; 21 CFR 314.3; Section 505(j)(7) of the FD&C Act; Section 505(j)(2)(A)(iv) of the FD&C Act,"FDA denied the petition because the Israeli-approved version of KUVAN is not a listed drug under the Federal Food, Drug, and Cosmetic Act, and therefore cannot be used as a reference standard for bioequivalence studies. The agency emphasized that small differences between a foreign-approved product and the U.S. RLD could affect critical performance characteristics, and FDA policy does not allow bioequivalence studies using foreign versions unless equivalence to the U.S. RLD has been demonstrated."
FDA-2013-P-0847-0003_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,Not Explicitly Mentioned (likely March 2024 based on signature timestamp),,CDER,Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); 21 CFR 314.94(a)(9)(iii)","FDA approved the petition because the proposed change in strength from 4 mg to 8 mg does not pose questions of safety or effectiveness. The uses, dose, dosage form, and route of administration remain the same as the listed drug product. The change is consistent with dosing recommendations in the listed drug’s labeling, and if bioequivalence is demonstrated, the proposed product can be expected to have the same therapeutic effect without requiring significant labeling changes or additional investigations."
FDA-2013-P-0862-0006_Denial_Response_Letter_from_FDA_CVM_to_Spec_Pharma.pdf,"October 28, 2014",,CVM,Denied,21 CFR 514.1(a); 21 CFR 514.100(a),"FDA denied the petition because Luitpold Pharmaceuticals is the applicant of record for the Beta Beta ANDA, and Luitpold provided certifications through FDA Form 356v affirming the validity of its submission. FDA policy allows reliance on the applicant’s certifications and does not require resolution of private ownership disputes before proceeding with regulatory review. The Agency concluded that it was appropriate to continue its review of Beta Vet without requiring Spec Pharma’s consent."
FDA-2013-P-0885-0003_Interim_Response_from_FDA_CDER__to_AMAG_Pharmaceut.pdf,"December 4, 2014","Stamped Jan 13, 2014",CDER,Interim Response (Final response pending),Not Mentioned,FDA issued an interim response because it had not yet reached a final decision on the petition due to the need for further review and consideration. The Agency indicated that it would respond fully once the review was complete.
FDA-2013-P-0886-0005_Response_Letter_from_FDA_CDER_to_Arnall_Golden_Gre.pdf,"August 29, 2014",Stamped,CDER,Approved,21 CFR 314.161; 21 CFR 314.162; 21 U.S.C. 355(j)(7),"FDA approved the petition after determining that JADELLE (levonorgestrel implant, 75 mg) was not withdrawn from sale for reasons of safety or effectiveness. FDA reviewed agency records, postmarketing adverse event data, and literature, concluding there was no evidence of safety or effectiveness concerns prompting the withdrawal. As a result, JADELLE will remain listed in the Discontinued Drug Product List, allowing approval of ANDAs referencing the product if all other legal and regulatory requirements are met."
FDA-2013-P-0944-0003_Response_Letter_from_FDA_CDRH_to_Jeffrey_G__Thomas.pdf,"February 4, 2023",,CDRH,"Denied (one request denied as moot, all others denied)",21 CFR 814.82; 21 CFR 814.47; Section 515(g)(1) of the FD&C Act; Section 515(e)(3) of the FD&C Act; 21 CFR 801.5; 21 CFR 801.109; 21 CFR 314.161; 21 CFR 314.162; 21 CFR 803.9; 21 CFR 20.63(f),"FDA denied the petition because the post-approval study was already completed, labeling was found adequate to ensure safe use, no new evidence justified additional warnings, adverse event reporting compliance did not warrant further FDA investigation, the disclosure requests were outside the scope of a citizen petition, and suspension of the PMA was not supported by any evidence showing serious adverse health consequences or death risk."
FDA-2013-P-0945-0003_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,,No date ,CDER,Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B) of the Act; Section 505(j)(2)(A)(iv) of the Act","FDA approved the petition because the proposed change in strength from 250 mg to 300 mg does not pose questions of safety or effectiveness. The uses, dose, dosage form, and route of administration are the same as the listed drug. The proposed change is consistent with dosing recommendations in the existing labeling, and if bioequivalence is demonstrated, the new product can be expected to have the same therapeutic effect without requiring significant labeling changes or additional investigations."
FDA-2013-P-0947-0003_Letter_from_FDA_CDER_to_Hyman_Phelps_and_McNamara_.pdf,,"Stamped Jan 31, 2014",Center for Drug Evaluation and Research (CDER),Denied,21 C.F.R. § 10.30; section 505(j) of the FD&C Act,"The petition was denied because the FDA determined that the scientific and legal arguments presented did not support the requested actions. The agency concluded that the requirements for approving an ANDA referencing the listed drug were adequately addressed by existing regulations and guidance, and that additional labeling requirements as proposed were not warranted."
FDA-2013-P-0949-0008_Response_Letter_from_FDA_CDRH_to_Garrett_Skelly__E.pdf,"May 30, 2020",,CDRH,Denied,21 CFR 10.33(i); 21 CFR 10.30(e); 21 CFR 801.109; 21 CFR 890.9; 21 CFR 820.198; 21 CFR 820.200; Section 520(e) of the FD&C Act,"FDA reaffirmed its prior denial because the reconsideration petition did not raise new issues that warranted a different outcome. The agency maintained that changes in labeling require a new 510(k) submission by the manufacturer, that prosthetists properly fulfill their role under the prescription use requirement, and that allegations regarding fraud and ADA discrimination were either outside the scope of reconsideration or irrelevant to FDA’s statutory authority. The request to revoke premarket clearance and amend regulatory requirements was also denied."
FDA-2013-P-0990-0003_Letter_from_FDA_CDER_to_Corporate_Social_Responsib.pdf,,"Stamped Feb 7, 2014",Center for Drug Evaluation and Research (CDER),Denied,"21 C.F.R. §§ 10.30, 314.80, 314.81; Section 505(k) of the Federal Food, Drug, and Cosmetic Act (FDCA)",The FDA denied the petition because the requested actions (including withdrawal of marketing approval of certain products and changes to risk communication) were not warranted based on the data and information provided. The agency found no evidence that the products posed a danger to health or that the sponsor failed to meet postmarketing reporting obligations.
FDA-2013-P-0997-0005_Petition_Response_Letter_from_FDA_CDRH_to_Thomas_J.pdf,"June 21, 2020",,CDRH,Denied,"21 CFR Part 1030; 21 CFR Part 820; 21 CFR Part 803; 21 CFR Part 801; Sections 501, 502, 519, and 520(f) of the FD&C Act; 21 CFR Parts 1002, 1003, and 1004; Section 531(2) of the FD&C Act","FDA denied the petition because it failed to provide sufficient justification demonstrating that new performance standards for Nuclear Magnetic Resonance Imaging devices are necessary. The agency stated that existing regulatory controls, including premarket review, good manufacturing practices, adverse event reporting, and participation in consensus standards development, already ensure the safety and effectiveness of these devices."
FDA-2013-P-0998-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Jan 10, 2014",CDER,Denied,21 U.S.C. 355(j); 21 CFR 314.94(a); 21 CFR 320.1(e); 21 CFR 320.23(b); 21 CFR 320.24(b); 21 CFR 314.127(a)(6)(i); 21 CFR 314.127(a)(7),"FDA denied the petition because the bioequivalence requirements based on the parent drug, albendazole, were found scientifically sufficient. The agency determined there was no need to require bioequivalence testing based on the metabolite albendazole sulfoxide, and differences in labeling and tablet size for generic products did not warrant additional restrictions or studies beyond existing regulatory standards."
FDA-2013-P-1000-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Dec 18, 2013",CDER,Denied,21 U.S.C. 355(j); 21 CFR 314.94(a); 21 CFR 320.24(b)(1); 21 CFR 320.1(e); 21 CFR 314.127(a)(6),"FDA denied the petition because the current bioequivalence testing requirements based on the parent compound (albendazole) were deemed scientifically appropriate and sufficient. The agency concluded that additional testing requirements based on the active metabolite were unnecessary, and that existing regulatory requirements ensure product safety and efficacy.

FDA explained that requests for enforcement action are within the Agency’s discretion and not within the scope of citizen petition procedures. Such decisions are handled case-by-case and do not fall under the citizen petition process.  FDA noted that although the petition was denied, the information submitted was helpful and that the Agency would evaluate the matter further to determine whether follow-up is appropriate"
FDA-2013-P-1001-0005_Response_Letter_from_FDA_CDER_to_Weill_Cornell_Med.pdf,"March 7, 2022",,CDER,Denied,21 CFR Part 341; 21 CFR Part 338; 21 CFR Part 336; 21 CFR 201.63; 21 CFR 201.66(c)(5); 21 USC 352(f),"FDA denied the petition because existing warnings on OTC drugs with anticholinergic effects were deemed sufficient to convey the risks of CNS effects like drowsiness. The agency found that the scientific evidence presented by the petitioner was largely based on prescription drugs, not OTC products, and lacked sufficient specificity to warrant a new mandatory warning for confusion or cognitive impairment. FDA concluded that available postmarketing data and literature did not demonstrate a sufficiently high risk of serious adverse events to justify a labeling change."
FDA-2013-P-1055-0003_Interim_Response_from_FDA_CDER_to_Actavis_Elizabet.pdf,"December 4, 2014",,CDER,Interim Response (Final response pending),Not Mentioned,FDA issued an interim response because it had not yet reached a final decision on the petition and required additional time for review and consideration before issuing a full response.
FDA-2013-P-1056-0004_Letter_from_FDA_CDER_to__Citizen_Petition.pdf,"December 21, 2018",Stamped,CDER,Interim Response (Final response pending),Not Mentioned,"FDA issued an interim response indicating that additional time was needed to review and fully respond to the citizen petition. A final decision had not yet been made at the time of the letter.

FDA reviewed both the submitted evidence and new data, particularly from the Dual Antiplatelet Therapy (DAPT) trial. DAPT trial showed extended therapy (>12 months) had benefits for certain patients, with outcomes dependent on individual thrombotic and bleeding risks (pages 3–4). 2016 ACC/AHA Guidelines advise case-by-case consideration rather than blanket warnings (page 4). FDA concluded that a boxed warning for clopidogrel use beyond 12 months after stent insertion would be inconsistent with current scientific data (page 4)."
FDA-2013-P-1079-0010_Petition_Interim_Response_from_FDA_OP_to_MIWG.pdf,"July 28, 2017",Stamped,Office of Policy (OP),Interim Response (Final response pending),21 CFR 10.30(e)(2),FDA issued an interim response because the petition raised complex issues that required further review and analysis. The agency had delayed the effective date of the related final rule and was still reviewing comments received during the extended comment period before making a final decision.
FDA-2013-P-1080-0004_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"June 2, 2014",Stamped,CDRH,Denied,"21 CFR 820.198; 21 CFR 820.1(a); Federal Register Vol 61, No 195 (October 7, 1996); Medtronic, Inc. v. Lohr, 116 S. Ct. 2240 (1996)","FDA denied the petition because the requested amendment would impose specific requirements on manufacturers for a particular device type, which is inconsistent with the general and flexible framework of 21 CFR Part 820. The Quality System Regulation is designed to apply broadly across all device types without prescribing detailed requirements for individual devices."
FDA-2013-P-1127-0020_Citizen_Petition_Final_Response_from_FDA_CTP_to_To.pdf,"May 5, 2016",,Center for Tobacco Products (CTP),Approved,5 U.S.C. 551 et seq. (Administrative Procedure Act); 21 CFR 10.30(f); 21 CFR 10.40,"FDA granted the petition to initiate rulemaking to deem certain non-cigarette tobacco products subject to regulation under Chapter IX of the Federal Food, Drug, and Cosmetic Act, as amended by the Family Smoking Prevention and Tobacco Control Act. FDA had already published a proposed rule in April 2014 and finalized the rule, extending many cigarette and smokeless tobacco restrictions to all tobacco products."
FDA-2013-P-1153-0017_Memorandum_of_Meeting_from_FDA_CDER_re_Meeting_wit.pdf,"May 1, 2014",,Center for Drug Evaluation and Research (CDER),Other (Listening session; no final decision rendered in this document),Not Mentioned,"The meeting was held to hear NCPDP’s concerns regarding nonproprietary naming of biological products, particularly the impact of naming deviations on drug compendia systems, patient safety, and healthcare interoperability. FDA clarified the session was for listening only and did not involve answering questions or elaborating on guidance beyond the public domain."
FDA-2013-P-1199-0004_Citizen_Petition_Response_from_FDA_CDER_to_CorePha.pdf,,"Stamped Apr 7, 2014",CDER,Denied,21 CFR 10.30(e)(3); 21 CFR 314.94(a)(9)(iii); 21 CFR 320.24,"FDA denied the petition because it determined that in vitro bioequivalence studies are appropriate and sufficient for potassium chloride oral solutions, given their simple aqueous nature and history of safe use. The agency concluded that requiring in vivo studies would be unnecessary and inconsistent with established scientific standards."
FDA-2013-P-1203-0003_Suitability_Petition_Approval_Letter_from_FDA_CDER.pdf,,No date ,CDER,Approved,"Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii)","FDA approved the petition because the proposed change in strength from a 200 mL infusion bottle to a 500 mL infusion bag at the same 2 mg/mL concentration does not raise safety or effectiveness concerns. The proposed product shares the same uses, dosage form, dose, and route of administration as the listed drug, and if bioequivalence is demonstrated, it is expected to have the same therapeutic effect without requiring significant labeling changes or additional clinical investigations."
FDA-2013-P-1286-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped March 28, 2014",CDER,Denied,21 CFR 314.94(a); 21 CFR 320.1(e); 21 CFR 320.24(b); 21 CFR 314.127(a)(6)(i); 21 CFR 314.127(a)(7); 21 U.S.C. 355(j),"FDA denied the petition because it found that existing requirements for bioequivalence testing based on the parent drug substance are scientifically sufficient and appropriate. FDA concluded that additional bioequivalence testing based on metabolites was unnecessary and that labeling differences raised in the petition did not justify changing the current standards for approval of generic versions of the referenced drug.

FDA concluded that developing class-wide labeling for OTC PPIs or mandating uniform labeling based on Prilosec OTC would be inconsistent with its standard review process. Labeling is approved based on data submitted for individual NDAs. Consumer confusion concerns were acknowledged but addressed by FDA's case-by-case evaluation policy. FDA already imposed comparable standards on Nexium 24HR as on Prilosec OTC, fulfilling the petitioner's request. FDA cannot approve labeling that is false or misleading and must be substantiated by adequate data. FDA declined to impose a ""clinically significant differences"" standard for all OTC PPI labeling without specific supporting data"
