File Name,Date of Response,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,
FDA-2024-P-1916-1820_Final_Response_Letter_from_FDA_CVM_to_Association_.pdf,"October 18, 2024",Center for Veterinary Medicine (CVM),"Denied (in part as moot, in part as outside the scope of the citizen petition process)",21 CFR 10.30(e)(2)(iii); 21 CFR 10.30(b)(3); 21 CFR 10.3(a); 21 CFR 10.30(j),"The petition was dismissed in part as moot because FDA had already published a public summary addressing the requested information regarding adverse events linked to Purina pet food; the remaining request was denied as it fell outside the scope of permissible administrative actions under the citizen petition process, since requests for updates to investigations and public dissemination of non-record-based information are not administrative actions",
FDA-2024-P-1960-0003_Final_Response_Letter_from_FDA_ORA_to_Kohl_Harring.pdf,"October 11, 2024",Office of Regulatory Affairs (ORA),Denied,5 U.S.C. § 552(a)(2)(D); 21 CFR 10.30(e)(3); 21 CFR 10.30(b)(3),"FDA denied the petition because, although at least three FOIA requests had been received for the Lystn, LLC records, the agency had not yet released those records publicly — a prerequisite for mandatory posting under 5 U.S.C. § 552(a)(2)(D); once the records are reviewed and released under FOIA, they will be posted accordingly",
FDA-2024-P-1988-0004_Interim_Response_Letter_from_FDA_CDER_to_HealthyWo.pdf,"October 16, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),The petition raises complex issues requiring extensive review and analysis by FDA officials; the agency will respond once a decision is reached,
FDA-2024-P-2084-0006_Interim_Response_Letter_from_FDA_HFP_to_PETA_Found.pdf,"October 22, 2024",Human Foods Program (HFP),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not been able to reach a decision on the petition within the 180-day timeframe due to other agency priorities and limited availability of resources; the agency will notify the petitioner once the review is complete,
FDA-2024-P-2085-0007_Final_Response_Letter_from_FDA_CDER_to_Hospira_Inc.pdf,"August 12, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93(e)(1)(vi); 21 CFR 314.94(a)(9)(iii); 21 CFR 10.33; 21 CFR 10.20; 21 CFR 314.93(a)-(b),"FDA denied the petition because a pharmaceutically equivalent drug product (Vancomycin Hydrochloride for Injection, 1.25 g base/vial) has already been approved under NDA 209481; under 21 CFR 314.93(e)(1)(vi), a suitability petition cannot be approved if a drug product is already approved in an NDA for the change described; a change in excipients in a parenteral product is not a permissible change under section 505(j)(2)(C) of the FD&C Act",
FDA-2024-P-2148-0004_Final_Response_Letter_from_FDA_CDER_to_Neşe_Deveno.pdf,"May 30, 2024",Center for Drug Evaluation and Research (CDER),Partially approved,21 CFR 14.25(a); 21 CFR 14.29; 21 CFR 14.29(b)(2),"FDA granted the request to convene an advisory committee meeting and extended the open public hearing (OPH) from one hour to one hour and 45 minutes due to high interest. However, the request to prioritize input from certain stakeholders was denied, as FDA does not give preferential scheduling to any group. The committee will discuss the benefit-risk profile of MDMA capsules submitted by Lykos Therapeutics for treating PTSD",
FDA-2024-P-2150-0009_Response_Letter_from_FDA_CDER_to_Parenteral_Techno.pdf,"October 9, 2024",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 352; 21 U.S.C. § 352(a); 21 U.S.C. § 352(f); 21 CFR § 201.5; 21 CFR §§ 201.66(a), 201.66(c)(6); 21 CFR 10.30(k); Section 505G of the FD&C Act","The petition was denied because requests to initiate enforcement actions are not appropriate subjects for citizen petitions under 21 CFR 10.30(k). Although the FDA acknowledged the concerns raised about OTC acetaminophen labeling for infants, it noted that such decisions are discretionary and outside the scope of the citizen petition process. However, the FDA stated it intends to propose a safety-related order to update pediatric acetaminophen labeling under the OTC monograph process pursuant to Section 505G of the FD&C Act",
FDA-2024-P-2151-0126_Interim_Response_Letter_from_FDA_HFP_to_UnidosUS.pdf,"November 4, 2024",Human Foods Program (HFP),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not been able to reach a decision on the petition due to other agency priorities and limited availability of resources; the agency will notify the petitioner once the review is complete,
FDA-2024-P-2215-0003_Interim_Response_Letter_from_FDA_CDRH_to_Metaltron.pdf,"October 28, 2024",Center for Devices and Radiological Health (CDRH),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not reached a decision because the petition raises issues requiring further review and analysis; the agency will respond once a decision has been made,
FDA-2024-P-2220-0005_Final_Response_Letter_from_FDA_CDER_to_Encube_Ethi.pdf,"August 20, 2024",Center for Drug Evaluation and Research (CDER),Denied,Not Mentioned,"FDA determined that Pennsaid (diclofenac sodium) topical solution, 2%, was not withdrawn from sale for reasons of safety or effectiveness and therefore will remain listed in the 'Discontinued Drug Product List' section of the Orange Book",
FDA-2024-P-2242-0002_Acknowledgment_Letter_from_FDA_DMS_to_David_Behar_.pdf,"May 7, 2024",Dockets Management Staff (DMS),Acknowledged (no decision on substantive merits),21 CFR 10.30,"The petition dated April 28, 2024, was received and processed under 21 CFR 10.30; however, acceptance for filing is procedural and does not reflect a decision on the petition's substantive merits",
FDA-2024-P-2272-0005_Response_Letter_from_FDA_CDER_to_Aurobindo_Pharma_.pdf,"June 24, 2024",Center for Drug Evaluation and Research (CDER),Denied,Not Mentioned,"FDA determined that Invega (paliperidone) extended-release tablet, 1.5 mg, was not withdrawn from sale for reasons of safety or effectiveness, and therefore it will remain listed in the 'Discontinued Drug Product List' section of the Orange Book",
FDA-2024-P-2314-0005_Response_Letter_from_FDA_CDER_to_Aurobindo_Pharma_.pdf,"October 2, 2024",Center for Drug Evaluation and Research (CDER),Denied,Not Mentioned,"FDA determined that Augmentin XR (amoxicillin; clavulanate potassium) Extended-release Tablets, 1 gm; EQ 62.5 mg base, was not withdrawn from sale for reasons of safety or effectiveness and therefore will remain listed in the 'Discontinued Drug Product List' section of the Orange Book",
FDA-2024-P-2326-0009_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"August 16, 2024",CDER (Center for Drug Evaluation and Research),Denied,"21 U.S.C. 355(b)(2), 21 CFR 314.3(b), 21 CFR § 314.110(a), 21 CFR parts 210 and 211, section 505(d), section 501(a)(2)(B), ICH Q7 guidance","The FDA denied the petition on the grounds that rescission of tentative approval for Yutrepia was not warranted, as Liquidia's current API supplier, Yonsung, is the actual manufacturer and LGM is not physically handling the drug. LGM's obligations under a Consent Decree were deemed irrelevant to the current manufacturing supply chain, and thus did not justify issuing a complete response letter or withholding approval.",
FDA-2024-P-2379-0009_Interim_Response_Letter_from_FDA_CDER_to_The_Human.pdf,"November 1, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),"FDA has not reached a decision due to the need to address other agency priorities. The response acknowledges the petition's request to clarify requirements for drug approval in accordance with the FDCA and FDORA, including the acceptance of data from new alternative methods (NAMs), and states that a final response will be issued as soon as possible",
FDA-2024-P-2461-0003_Interim_Response_from_FDA_CTP_to_Ho_Chunk__Inc__on.pdf,"November 12, 2024",Center for Tobacco Products (CTP),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2)(iv),"FDA has not reached a decision within 180 days due to the complexity of the issues raised, which require additional review and consideration. The petition requests an exemption for tribally-owned cigarette manufacturers from proposed tobacco manufacturing regulations, and FDA is continuing its review in the context of other program priorities.",
FDA-2024-P-2482-0002_Acknowledgment_Letter_from_FDA_DMS_to_Age_Reversal.pdf,"May 22, 2024","Dockets Management Staff (DMS), FDA/Office of Operations (OO)",Acknowledged (no decision on substantive merits),21 CFR 10.30,"The petition dated May 7, 2024, was received and assigned a docket number. Acceptance for filing is procedural and does not indicate any decision on the petition's substantive merits.",
FDA-2024-P-2513-0004_Final_Response_Letter_from_FDA_CDER_to_Innogenix__.pdf,"September 5, 2024",Center for Drug Evaluation and Research (CDER),Denied,Not explicitly cited; determination was based on internal FDA review and Orange Book policy,"FDA reviewed its records and determined that Flagyl (metronidazole) Tablets, 250 mg and 500 mg, were not withdrawn for reasons of safety or effectiveness. Therefore, they will remain listed in the 'Discontinued Drug Product List' section of the Orange Book.",
FDA-2024-P-2514-0004_Final_Response_Letter_from_FDA_CDER_to_Zydus_Pharm.pdf,"November 13, 2024",Center for Drug Evaluation and Research (CDER),Denied,Not explicitly cited,"FDA determined that Nuplazid (pimavanserin tartrate) tablet, EQ 17 mg base, was not withdrawn from sale for safety or effectiveness reasons. Therefore, it will remain listed in the 'Discontinued Drug Product List' section of the Orange Book.",
FDA-2024-P-2515-0005_Final_Response_Letter_from_FDA_CDER_to_Encube_Ethi.pdf,"November 20, 2024 ","Center for Drug Evaluation and Research (CDER), Office of Regulatory Policy ",FDA determined that FORTESTA (testosterone) gel 10 mg/0.5 g actuation was not withdrawn for reasons of safety or effectiveness and will remain in the Orange Book’s Discontinued Drug Product List ,Not Mentioned,"FDA reviewed its records and found no evidence of safety or effectiveness concerns related to FORTESTA’s withdrawal; therefore, the drug’s discontinued status is maintained and a Federal Register notice will announce this determination ",
