File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Review Comments
FDA-2019-P-2123-0004_Agency_Response_Letter_from_FDA_CDER_to_Lachman_Co.pdf,"September 24, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 314.161 – Determination that a drug was not withdrawn for reasons of safety or effectiveness

21 CFR 314.162 – Removal of drug products from the Orange Book

21 CFR 314.3 – Definitions, including for ""listed drug""

21 U.S.C. 355(j)(7) – FDCA section requiring FDA to maintain and publish Orange Book listings

Public Law 98-417 – Drug Price Competition and Patent Term Restoration Act of 1984

72 FR 9763 (March 5, 2007) and 61 FR 25497 (May 21, 1996) – Past Federal Register notices supporting equivalency of non-marketed drugs to withdrawals","No Evidence of Withdrawal for Safety or Effectiveness:
The FDA reviewed its own records, independently evaluated literature, and examined postmarketing adverse events and found no indication that Atropine Sulfate ANSYR Plastic Syringe (0.5 mg/5 mL) was withdrawn for safety or effectiveness concerns
.

Listing in Discontinued Drug Product List Appropriate:
Because the product had never been marketed, it remained appropriate for listing in the “Discontinued Drug Product List” of the Orange Book. FDA noted that under past precedent, non-marketing is treated equivalently to withdrawal from sale, but it does not mean the product was withdrawn for safety reasons.

ANDA Eligibility Maintained:
The FDA affirmed that the drug remains eligible as a Reference Listed Drug (RLD) for ANDA submissions as long as all legal and regulatory requirements are met. If labeling updates are needed, FDA will instruct ANDA applicants accordingly.

Petition Lacked Supporting Data:
The petitioner did not provide any scientific or clinical data showing the product was removed for safety or efficacy concerns, nor did FDA’s review uncover any such evidence
.",
FDA-2019-P-2240-0010_Response_Letter_from_FDA_CDER_to_Axinn.pdf,"October 3, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 314.3(b) – Definition of “same” active ingredient

21 CFR 314.103 – Hearing request rights

21 CFR 314.110, 314.127 – Review procedures for ANDAs

21 CFR 314.430 – Confidentiality of FDA records

Section 505(j) of the FD&C Act (21 U.S.C. 355(j)) – Generic drug approval pathway

Section 505(q) of the FD&C Act (21 U.S.C. 355(q)) – Citizen petition standards and timelines

Public Law 98-417 – Drug Price Competition and Patent Term Restoration Act of 1984

FDAAA of 2007 / FDASIA of 2012 – Modifications to FD&C Act section 505(q)

USP Monograph for phytonadione – Cited in argumentation by petitioner","No Requirement for Additional Isomeric Data for ANDAs:
The petition requested that ANDA applicants for phytonadione tablets demonstrate isomeric and stereoisomeric equivalence to Mephyton. FDA disagreed, explaining that generic applicants need only prove active ingredient “sameness” as defined by regulation, which does not require detailed characterization of each isomer unless it affects safety or efficacy
.

FDA Retains Discretion on Sameness Determinations:
FDA emphasized its broad discretion in determining “sameness” of active ingredients and found no scientific basis to mandate the more stringent testing proposed by the petitioner
.

Statutory Review Timeframe Met; Petition Denied Without Further Comment:
Under section 505(q), the agency must act within 150 days. FDA denied the petition on procedural and substantive grounds without making a final determination on how it will evaluate future ANDAs referencing Mephyton
.

No Immediate TE Code Downgrade Justified:
FDA declined to downgrade the Therapeutic Equivalence (TE) code for existing ANDAs citing Mephyton, stating it would only consider such action if warranted by new information. Current TE ratings were not shown to be invalid
.

FDA Will Continue Case-by-Case Review:
FDA reiterated that it will continue to evaluate each ANDA submission individually and determine whether additional controls are necessary based on the full context of submitted data",
FDA-2019-P-1783-0005_Response_Letter___Denial__from_FDA_CDER_to_Public_.pdf,"September 6, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR Part 314 – Procedures and standards for new drug applications (NDAs)

FD&C Act Section 505 – Statutory basis for drug approval and timelines

FD&C Act Section 505(c)(1) – Approval standards within 180 days

FD&C Act Section 505(q) – Procedures for citizen petitions impacting drug approval

84 FR 29111 and 29112 – Federal Register notices about public hearings and guidance availability (June 21, 2019)

Other references include:

Public Law 110-85 (FDAAA)

Public Law 112-144 (FDASIA)

NASEM Report (2017) – “Pain Management and the Opioid Epidemic”","FDA Cannot Impose a Blanket Moratorium:
The agency emphasized that it is legally required under the FD&C Act to evaluate each new drug application (NDA) based on established regulatory procedures. FDA cannot impose a moratorium on new opioid approvals as requested by the petitioners without contravening its statutory obligations
.

Ongoing Risk Mitigation Measures:
FDA highlighted numerous actions it has taken to mitigate opioid risks, including:

Strengthening REMS programs

Expanding labeling requirements

Issuing warning letters to violators

Monitoring post-marketing safety data
.

Draft Guidance Issued on Opioid Benefit-Risk Framework:
In response to the 2017 NASEM report, FDA issued draft guidance describing a new framework for assessing the public health impact of opioid analgesics. This includes additional benefit-risk criteria that incorporate societal considerations such as abuse potential and overdose risk
.

Petition Overlaps with Ongoing FDA Efforts:
FDA acknowledged that many concerns raised by the petition were already being addressed through its draft guidance and regulatory actions. A public hearing was also announced (held September 17, 2019) to solicit input on further strengthening the opioid approval framework
.

Statutory Review Timelines Enforced:
Under Section 505(q), FDA was required to respond to the petition within 150 days, which it did. The agency emphasized that it is continuing to evaluate comments and refine its opioid regulatory approach while adhering to current legal standards.",
FDA-2019-P-4644-0039_Citizen_Petition_Denial_Response_Letter_from_FDA_C.pdf,"February 27, 2020",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR Part 314 – Requirements for drug approval and NDA review.

Section 505 of the FD&C Act (21 U.S.C. § 355) – Governs the approval of new drug applications.

Section 505(b), 505(c)(1)(A), 505(d), 505(j), 505(q), 505(q)(1)(F) – Cover standards for approval, effectiveness, bioequivalence, and procedural requirements for citizen petitions.

21 CFR 314.125, 314.126, 314.94, 314.105, 314.110, 314.127, 314.103, 314.430 – Cover grounds for refusal, trial requirements, ANDA requirements, and confidentiality protections.

21 CFR 10.115(d) – Addresses the non-binding nature of FDA guidance documents.

Public Law 110-85 (FDAAA, 2007) and Public Law 112-144 (FDASIA, 2012) – Amendments relevant to Section 505(q).

FDA Guidance for Industry:

Providing Clinical Evidence of Effectiveness for Human Drug and Biological Products (May 1998).

Multiple Endpoints in Clinical Trials (Draft, January 2017).

Structured Approach to Benefit-Risk Assessment in Drug Regulatory Decision Making (PDUFA V Implementation Plan, 2013–2017)","Not Legally Required to Issue Product-Specific Guidance:
FDA emphasized that it is not legally obligated to issue product-specific guidance documents to approve NDAs or ANDAs. Guidance is non-binding and represents the agency’s current thinking, not enforceable mandates
.

Flexibility in Scientific Judgment:
The agency applies general statutory standards flexibly across different drug types and exercises scientific discretion to determine the sufficiency of evidence required for approval
.

Consistent Standards Already Applied:
The FDA rejected the claim that oral testosterone-ester (T-ester) products lack consistent standards, stating that it has already applied clear, consistent efficacy and safety expectations to T replacement therapies—including Jatenzo (approved March 2019)
.

Denial of Blanket Approval/Denial Requests:
The agency refused to grant a request to codify approval criteria into binding guidance and declined to deny or approve any pending applications based on the petition’s proposed standards. Each application is assessed individually under existing laws and regulations
.

Statutory Review Framework Exists:
The FD&C Act and FDA regulations already provide procedural protections and a framework to evaluate NDAs/ANDAs. The agency cannot bypass this system through a citizen petition
.

Timing Constraints Under Section 505(q):
FDA clarified it must respond to the petition within 150 days but is not required to issue decisions on the approvability of other pending applications within that window",
FDA-2019-P-4101-0003_Petition_Response_Letter_from_FDA_CDER_to_IQVIA_RD.pdf,"December 19, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Approved (Petitions Granted),"21 U.S.C. § 355(j) – Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) governing ANDA submissions

21 CFR § 314.3(b) – Definitions, including “reference listed drug”

21 CFR § 314.94(a)(3) – Content and format of ANDAs (bioequivalence testing)

21 CFR § 314.161 – Determining whether a drug was withdrawn for safety/effectiveness

21 CFR § 314.122 – Petition requirements for withdrawn listed drugs

81 FR 69580, 69619 (Oct. 6, 2016) – Final rule on ANDA and 505(b)(2) applications","Current Reference Standard Unavailable:
The product Bentyl (dicyclomine hydrochloride tablets, 20 mg), previously approved under NDA 007409, was no longer available on the market despite not being listed as discontinued in the Orange Book. This unavailability was confirmed via FDA’s Drug Shortages Database
.

Inability to Proceed with Generic Development:
Both petitioners (Aurobindo and IQVIA) indicated that the absence of an available reference standard hindered their ability to proceed with generic ANDA submissions
.

Commercial Data Supported Market Unavailability:
Market share data and commercial availability were reviewed, reinforcing that the existing reference product was unavailable for conducting bioequivalence studies
.

Selection of Therapeutic Equivalent Product:
Based on commercial availability and therapeutic equivalence, FDA determined that ANDA 085223, held by Watson Laboratories Inc., met the necessary criteria. It is:

Currently marketed

Therapeutically equivalent

Identified as a suitable replacement reference standard
.

Regulatory Compliance:
FDA affirmed that selecting a new reference standard in this case aligns with regulatory requirements and precedent when the listed drug is unavailable",
FDA-2019-P-3800-0003_Petition_Response_Letter_from_FDA_CDER_to_Hyman__P.pdf,"December 19, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Approved (Petitions Granted),"21 U.S.C. § 355(j) – FD&C Act Section 505(j), governing abbreviated new drug applications (ANDAs)

21 CFR 314.3(b) – Definitions for listed drug, reference listed drug (RLD), and reference standard

21 CFR 314.94(a)(3) – Requirements for in vivo bioequivalence testing

21 CFR 314.161 – Determination that a drug was not withdrawn for safety or effectiveness

21 CFR 314.122 – Petition process for determination regarding withdrawn drugs

81 FR 69580, 69619 (Oct. 6, 2016) – Preamble to final rule on ANDAs and reference standard selection","Unavailability of Current Reference Standard (Bentyl):
The FDA confirmed that Bentyl (dicyclomine hydrochloride capsules, 10 mg), the previously selected reference standard, was not commercially available based on commercial and regulatory filings and third-party data
.

Petitioners Requested Alternative Reference Standard:
Both Aurobindo and Hyman, Phelps & McNamara (HPM) requested FDA select a new reference standard due to the lack of market availability of Bentyl
.

FDA Selected Therapeutic Equivalent Product:
After review, FDA chose ANDA 084285 (held by Lannett Co. Inc.) as the new reference standard because:

It is therapeutically equivalent to Bentyl (as per Orange Book's AB code)

It is currently the market leader in the U.S.

It meets regulatory standards for use in bioequivalence testing
.

Agency Discretion to Designate Reference Standard:
FDA highlighted its authority to choose a new reference standard when the RLD is discontinued, as long as the replacement is therapeutically equivalent and currently marketed",
FDA-2019-P-0076-0008_Response_Letter_from_FDA_CDER_to_Unichem_Pharmaceu.pdf,"August 22, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Approved (Petition Granted),"21 CFR 10.30 – Governs the citizen petition process

21 CFR 314.161 – Pertains to the FDA’s determination whether a listed drug was withdrawn for safety or effectiveness

21 CFR 314.162 – Refers to procedures for removing a listed drug from the Orange Book

21 U.S.C. § 355(j)(7) – Requires FDA to publish a list of approved drugs (Orange Book)

Public Law 98-417 – Drug Price Competition and Patent Term Restoration Act of 1984","No Evidence of Withdrawal for Safety/Efficacy Reasons:
The petitioner (Unichem Pharmaceuticals) did not provide data suggesting that the drug was withdrawn for safety or effectiveness concerns. FDA’s internal review of records and adverse event data also revealed no indication of such withdrawal rationale
.

Independent Review of Literature and Postmarketing Data:
FDA conducted an independent review of scientific literature and postmarketing safety data, finding no adverse safety signals associated with the product’s withdrawal
.

Regulatory Path Remains Open:
Because the product’s withdrawal from marketing was not for safety or effectiveness, the drug remains listed in the Orange Book’s “Discontinued Drug Product List.” FDA will continue to approve ANDAs referencing this drug, provided regulatory requirements are met
.

Historical Precedent Under 1984 Amendments:
FDA reiterated that under the Drug Price Competition and Patent Term Restoration Act, such determinations are essential to allow generics referencing previously approved drugs to proceed without repeating full clinical trials",
FDA-2019-P-3265-0003_Letter_from_FDA_CDER_to_Medical_Research_Collabora.pdf,"November 26, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. §§ 355(b)(1) and (c)(2) – Application requirements for NDAs

21 CFR §§ 314.53(b), 314.53(c), 314.53(d)(2), 314.53(e), 314.53(f), 314.53(f)(1), 314.53(f)(1)(i)(A), 314.53(c)(2)(ii) – Patent listing, accuracy challenges, and Form FDA 3542 procedures

68 FR 36676 at 36687 (June 18, 2003) – 2003 Final Rule on patent submissions and stays

81 FR 69580 (October 6, 2016) – Final rule on “Abbreviated New Drug Applications and 505(b)(2) Applications”

FD&C Act Sections 505(b)(1), 505(c)(2), 505(j), 505(j)(7) – Legal basis for drug application and Orange Book requirements","Procedural Noncompliance:
The petition asked FDA to remove Patent No. 8,188,146 from the Orange Book. However, such a request is subject to the patent listing dispute procedures outlined in 21 CFR § 314.53(f). The citizen petition format used by the petitioner does not comply with those specific procedural requirements
.

Ministerial Role of FDA in Patent Listings:
FDA reiterated that it does not evaluate or challenge the validity or accuracy of patent submissions made by NDA holders via Form FDA 3542. The FDA’s role is limited to ministerial publication of that information in the Orange Book
.

Process for Challenging Listings Exists:
A structured pathway is provided in § 314.53(f) that allows third parties to file a “314.53(f) Patent Listing Dispute”, but the citizen petition process is not the correct mechanism for such a challenge
.

No Change Without NDA Holder Action:
FDA cannot amend, withdraw, or correct patent information unless the NDA holder voluntarily revises it, even if a third party contests it
.

Opportunity to Refile via Correct Procedure:
FDA acknowledged that while the citizen petition is denied, the petitioner remains free to submit a properly formatted dispute per § 314.53(f) to Orange Book Staff",
FDA-2019-P-4830-0016_Response_Letter_from_FDA_CDER_to_Ipsen_Biopharmace.pdf,"May 21, 2024",,Center for Drug Evaluation and Research (CDER),Denied,"FD&C Act, section 505(j) (21 U.S.C. § 355(j))
- 21 CFR Part 20
- 21 CFR 314.3(b)
- 21 CFR 314.94(a)(7)
- 21 CFR 314.127(a)(6)(i)
- 21 CFR 320.1(e)
- 21 CFR 320.23(b)
- 21 CFR 320.24(a), (b), (b)(6)
- 21 CFR 320.25(a)
- 21 CFR 314.3
- 21 CFR 10.115(d)(2)","FDA determined that in vitro testing (Option 1 in Draft PSG) is sufficient to demonstrate bioequivalence (BE) for lanreotide acetate due to its thermodynamically stable, self-assembling formulation.

- The Petition’s assertion that in vivo testing is necessary was rejected, as BE can be demonstrated without it, per FDA's regulatory discretion and scientific standards.

- Petitioners’ claims regarding impurity analysis, device performance testing, and the necessity of partial AUC (pAUC) analysis were addressed and dismissed. FDA emphasized that such evaluations are conducted on a case-by-case basis during individual ANDA reviews.

- FDA upheld its current Draft Product-Specific Guidance (PSG) on lanreotide acetate, noting that alternative approaches to BE demonstration may be acceptable if scientifically justified.",
FDA-2019-P-3311-0003_Denial_for_Citizen_Petition_from_FDA_CDER_to_RC_Ou.pdf,"October 11, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"42 U.S.C. 1396r-8(g)
- 42 U.S.C. 1396r-8(g)(2)(A)(i)
- 42 U.S.C. 1396r-8(g)(2)(A)(ii)
- 42 U.S.C. 1396r-8(g)(2)(B)
- 42 U.S.C. 1396r-8(g)(2)(C)
- 42 U.S.C. 1396r-8(g)(2)(D)
- 21 CFR § 10.30
- 21 U.S.C. § 372(a)(1)(A)
- 42 CFR § 456.703","The petition requested FDA to enforce compliance with OBRA-90 provisions regarding drug use review in pharmacies.

- FDA explained it does not have jurisdiction to enforce the Social Security Act (SSA), including OBRA-90 requirements. That authority lies with the Centers for Medicare & Medicaid Services (CMS).

- FDA also clarified that under 21 CFR § 10.30, citizen petitions cannot be used to request referrals to other U.S. agencies or decisions beyond FDA’s authority.

- Additionally, FDA noted that the petition did not properly cite the statutory or regulatory basis for FDA action under its own authorities.",
FDA-2019-P-2945-0062_FDA_Interim_Reponse_Redacted.pdf,"December 10, 2019",,"Office of Policy, FDA (Not a product center like CDER, CBER, or CDRH)",Interim Response (No final decision yet),21 CFR 10.30(e)(2) – Pertaining to the FDA’s obligations in responding to citizen petitions,"The petition raised complex regulatory issues involving enforcement related to cannabis, cannabis-derived products, delta-9-THC, and cannabidiol.
- The FDA stated that it has not yet reached a decision and is still conducting further review and analysis by Agency officials.
- The interim nature of the response is in accordance with 21 CFR 10.30(e)(2), which allows for delayed decisions when more time is needed for evaluation.",
FDA-2019-P-5191-0016_Letter_from_CFSAN_to_The_Meriam_Hospital.pdf,"November 20, 2020",,Center for Food Safety and Applied Nutrition (CFSAN),Acknowledgment / Interim Response ,Not Mentioned in the letter,"The letter acknowledges prior citizen petitions from:
 • American Olive Oil Producers Association (FDA-2019-P-5191, submitted in Nov 2019)
 • North American Olive Oil Association (FDA-2020-P-1423, submitted in May 2020)

- FDA states it has met with industry stakeholders and is actively reviewing the petitions.

- The letter encourages public comments to be submitted through the docket on regulations.gov, ensuring all input is considered during the review process.",
FDA-2019-P-4003-0003_Letter_from_FDA_CDER_to_Lisa_Myslinski_Redacted.pdf,"February 21, 2020",Stamped,Center for Drug Evaluation and Research (CDER),Interim Response – No final decision yet,21 CFR 10.30(e)(2) – Pertaining to interim responses to citizen petitions when additional time is required,"The petition requested FDA to amend the tentative final monograph of Acetaminophen and Caffeine to include 6.25 mg of Meclizine (336.10(d)).
- FDA has not yet reached a decision because the petition raises complex issues requiring extensive review and analysis by Agency officials.
- The interim response was issued in compliance with 21 CFR 10.30(e)(2), and FDA stated it would respond fully upon reaching a final decision",
FDA-2019-P-1594-0146_Enforcement_Discretion_Letter_for_Yogurt_and_Type_.pdf,"March 1, 2024",,Center for Food Safety and Applied Nutrition (CFSAN),Other – Enforcement Discretion Announced,"21 CFR 131.200 – Standard of identity for yogurt
- 21 CFR 131.110 – Standard of identity for milk
- 21 CFR 131.112 – Standard of identity for nonfat milk
- 21 CFR 101.3(d) – Labeling and naming conventions
- 21 CFR 130.10 – Nutritional equivalence standards for modified foods
- 21 CFR 101.9(c)(8)(iv) – Nutrition labeling for protein content
- 21 CFR 184.1950(c)(1) – Use of vitamin D3 as a food additive","FDA received stakeholder input requesting flexibility in implementation of the 2021 final rule updating the yogurt standard of identity.

- FDA acknowledged concerns that strict enforcement could cause labeling challenges and disruption in the marketplace, especially for yogurt made with milk-derived ingredients not explicitly listed in the new standard.

- FDA determined it would exercise enforcement discretion for certain milk-derived ingredients (like ultrafiltered milk) and vitamin D fortification beyond the new limits, provided the product is otherwise in compliance with safety and labeling requirements.

- This approach allows continued innovation and supply chain flexibility while FDA further considers stakeholder feedback and potential updates to the rule.",
FDA-2019-P-1534-0016_Response_Letter_from_FDA_CDER_to_American_Associat.pdf,"December 16, 2021",,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 314.105(c) – Approval based on substantial evidence
- 21 CFR 10.30 – Citizen petition regulations
- 21 CFR 10.35 – Stay of action procedure
- 21 CFR 10.45(d) – FDA response timing","The American Association of Neurological Surgeons (AANS) and Congress of Neurological Surgeons (CNS) requested FDA delay approval of opioid-containing medications not meeting additional risk mitigation criteria.

- FDA stated it could not issue a general stay of approval for all such applications, as each drug product must be evaluated on a case-by-case basis under existing statutory and regulatory frameworks.

- FDA rejected the notion that broad, automatic additional REMS (Risk Evaluation and Mitigation Strategies) requirements be imposed outside of the formal REMS process.

- The Agency emphasized its continued commitment to opioid crisis mitigation, but noted that the citizen petition process is not the proper channel for establishing broad new regulatory requirements.

- FDA reaffirmed that REMS are only required when deemed necessary to ensure the benefits of a drug outweigh its risks, and that these determinations are drug-specific.",
FDA-2019-P-4669-0004_Letter_from_FDA_CFSAN_to_Dr__Catherine_Adams_Hutt.pdf,"July 2, 2020",,Center for Food Safety and Applied Nutrition (CFSAN),"	Other – Enforcement Discretion
FDA decided not to act on the petition because it plans to include the substance in question through a proposed rulemaking and will exercise enforcement discretion in the meantime."," 21 CFR § 101.9(c)(6)(i) – Definition of dietary fiber
- 21 CFR § 101.9(c)(6) – Nutrition and Supplement Facts labeling
- 21 CFR § 101.9(c) – General nutrition labeling requirements
- Reference to guidance on synthetic non-digestible carbohydrates (including use of HPLC for purity)","The petition requested that FDA recognize a highly purified form of glucomannan (≥95% purity by HPLC) as dietary fiber.

- FDA stated it had already announced its intent to propose including glucomannan in the list of non-digestible carbohydrates that meet the dietary fiber definition under 21 CFR § 101.9(c)(6)(i).

- Given this intention and the strength of scientific evidence supporting glucomannan’s beneficial physiological effects, FDA found it unnecessary to act specifically on the petition.

- Instead, the agency will exercise enforcement discretion, allowing glucomannan to be declared as dietary fiber on labels until rulemaking is complete.",
FDA-2019-P-1130-0006_Final_Response_Letter_from_FDA_CBER_to_Kent_Hecken.pdf,"December 2, 2022",,Center for Biologics Evaluation and Research (CBER),Denied,"21 CFR Part 1271 – Human cells, tissues, and cellular and tissue-based products (HCT/Ps)
- 21 CFR 1271.3(d) – Definitions of homologous use
- 21 CFR 1271.10(a) – Criteria for regulation solely under section 361 of the Public Health Service (PHS) Act
- Section 351 and 361 of the PHS Act","The petitioner requested FDA revise its policy to allow adipose tissue-derived stromal vascular fraction (SVF) products to be regulated solely under section 361 of the PHS Act, and not as drugs or biologics under section 351.

- FDA denied the request because SVF products fail to meet the criteria in 21 CFR 1271.10(a) for regulation solely under section 361. Specifically:
 • They are not intended for homologous use, as required by § 1271.10(a)(2).
 • They are typically more than minimally manipulated, violating § 1271.10(a)(1).

- FDA emphasized that such products must undergo premarket review and approval to ensure safety and effectiveness before they can be legally marketed.

- The agency also noted that its regulatory framework aims to ensure that HCT/Ps used in treatment are appropriately regulated to protect public health.",
FDA-2019-P-6100-0036_Response_Letter_from_CBER_to_American_Association_.pdf,"August 25, 2022",,Center for Biologics Evaluation and Research (CBER) and Center for Devices and Radiological Health (CDRH),"Granted in Part / Denied in Part
– Request No. 1: Granted (FDA acknowledged that human ADM allografts may be considered homologous or nonhomologous depending on the specific use and labeling.)
– Request No. 2: Denied (FDA declined to revise its final guidance document.)","21 CFR Part 1271
- 21 CFR 1271.3(c), 1271.10(a), and 1271.15
- 42 U.S.C. 262 (PHS Act section 351)
- 42 U.S.C. 264 (PHS Act section 361)
- 21 CFR Part 3
- 21 CFR 10.115(e)
- 21 CFR 10.30(e)(2)","FDA acknowledged that some uses of human ADM in post-mastectomy breast reconstruction may be homologous (e.g., covering skin defects), while others may be nonhomologous (e.g., forming a pocket for implants).
- The homologous or nonhomologous nature is not determined solely by the labeling, but rather based on objective intent and actual use.
- FDA supports its reasoning using definitions and criteria from 21 CFR 1271, previous rulemaking, and guidance documents.
- FDA refused to revise the 2017 guidance because it already provides general principles applicable to dermis uses and the current evidence doesn't warrant reopening the guidance development process",
FDA-2019-P-1893-0010_Final_Response_Letter_from_FDA_CDER_to_Novartis_Ph.pdf,"May 28, 2024",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 355(j) – Abbreviated New Drug Applications (ANDAs)
- 21 CFR 314.127(a)(7) – Conditions under which an ANDA may be refused
- 21 CFR 314.94(a)(9) – Labeling requirements for ANDAs
- 21 CFR 314.3(b) – Definitions (e.g., listed drug)","Novartis requested FDA to: (1) not accept or approve any ANDAs for fingolimod (Gilenya) that omitted pediatric study information protected under exclusivity; and (2) to refuse labeling carve-outs under section 505(j) that would exclude such data.

- FDA disagreed, stating that the statute allows applicants to omit protected information from labeling, as long as their product remains safe and effective for use without it.

- FDA noted that it evaluates each ANDA on a case-by-case basis, and that ANDAs referencing Gilenya could exclude pediatric labeling if legally permissible and scientifically justified.

- FDA reiterated the long-standing policy and precedent supporting carve-outs under 21 U.S.C. § 355(j) and relevant regulations (21 CFR 314.94, 314.127).",
FDA-2019-P-5151-0064_Letter_from_Office_of_the_Chief_Counsel_to_US_Dist.pdf,"January 23, 2020",,"Office of the Chief Counsel, U.S. Food and Drug Administration",Interim Response,Not Mentioned," The letter is a reply to a judge's request to expedite a response to the citizen petition related to the Zofran (Ondansetron) Products Liability Litigation.
- FDA states it is ""diligently examining the issues raised by the citizen petition"" and is working to respond as quickly as feasible, considering scientific and regulatory obligations.",
FDA-2019-P-5394-0004_Response_Letter_from_FDA_CFSAN_to_Consumer_Healthc.pdf,"January 26, 2023",,Center for Food Safety and Applied Nutrition (CFSAN),"Partially Granted and Partially Denied
- Denied the request to promulgate regulations allowing CBD dietary supplements.
- Denied requests for FDA enforcement actions (outside scope of petition process).
- Granted the request to continue monitoring safety issues concerning CBD-containing products.","21 U.S.C. § 321(ff)(3)(B) – “Exclusion clause” of the FD&C Act
- 21 U.S.C. § 350b – New Dietary Ingredient (NDI)
- 21 U.S.C. § 342(f)(1)(B) – Adulteration standard
- 21 CFR § 190.6 – NDI notification regulation
- 21 CFR § 10.30 – Citizen Petition procedures
- 5 U.S.C. § 553(b)(B) – Administrative Procedure Act for IFRs
- 7 U.S.C. § 1639o(1) – Hemp definition (2018 Farm Bill)","Safety Concerns: Substantial safety risks identified with CBD use, including liver toxicity, reproductive harm, and drug interactions. Concerns are greater for vulnerable populations (e.g., children, pregnant individuals).
- Insufficient Data: FDA has not received evidence showing CBD was marketed as a supplement before drug approval, nor data to support safety in dietary supplement form.
- Regulatory Gaps: Current tools (e.g., NDI process) insufficient to ensure consumer safety in an expanding CBD marketplace.
- Enforcement Limitations: FDA lacks resources to enforce against all violative CBD products.
- Continued Surveillance: FDA will continue monitoring safety signals via adverse event reports and public data submissions.",
FDA-2019-P-1594-0003_Letter_re_Qualified_Health_Claim_Petition___Yogurt.pdf,"April 12, 2019",,Center for Food Safety and Applied Nutrition (CFSAN),	Acknowledgment / Filing Notification,"July 10, 2003 Task Force Final Report on the Consumer Health Information for Better Nutrition Initiative
- January 2009 Guidance: Evidence-Based Review System for Scientific Evaluation of Health Claims","The petition, submitted on behalf of Danone North America, requested FDA approval of a qualified health claim linking yogurt consumption to a reduced risk of type 2 diabetes.
- FDA acknowledged the submission and filed the petition for public comment (ending June 11, 2019), promising a final decision within 165 days of the close of the comment period",
,,,,,,,
FDA-2019-P-5048-0006_Final_Response_Letter_from_FDA_CDRH_to_Epstein_Bec.pdf,"July 24, 2024",,Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 10.30(e)
- 21 CFR 807.87(f), (g)
- 21 CFR 860.7(b)
- 21 CFR 860.134
- 21 CFR 860.200 et seq.
- 21 CFR 882.5896
- 21 CFR 876.5340
- FD&C Act Sections 513(a)(1), 513(f)(1), 513(f)(2), 513(f)(3), 513(i)(1)(A), 513(i)(1)(D)(i, ii)
- 21 U.S.C. 360c and 360k","FDA determined that the existing special controls under the De Novo granting orders for NSS-2 BRIDGE and IB-Stim (codified at 21 CFR 882.5896 and 876.5340) already provide reasonable assurance of safety and effectiveness.
- Requiring categorical clinical and preclinical studies for future predicate-based devices would be contrary to FDA’s regulations, statutory authority, and least burdensome principles.
- FDA retains discretion to require additional data on a case-by-case basis during 510(k) review, but not as a universal special control requirement",
FDA-2019-P-2088-0003_Interim_Response_Letter_from_FDA_CDER_to_Summit_He.pdf,"October 25, 2019",,Center for Drug Evaluation and Research (CDER),Interim Response,"21 U.S.C. § 353a (Section 503A of the Federal Food, Drug, and Cosmetic Act – related to the 503A Bulks List)
- 21 CFR 10.30(e)(2) – FDA regulation governing interim responses to citizen petitions","The petition requested that FDA add oxitriptan (5-HTP) to the 503A Bulks List and allow continued compounding of the substance for tetrahydrobiopterin deficiency diseases.
- FDA noted that the issues are complex and require more extensive review and analysis.
- FDA also referenced a July 2019 industry guidance regarding the use of oxitriptan and stated it is reconsidering the substance’s status on the 503A list in light of new data",
FDA-2019-P-0198-0006_Response_Letter_from_FDA_to_Lachman_Consultant_Ser.pdf,"November 15, 2019",,Center for Drug Evaluation and Research (CDER),"Dismissed as Moot
– The petition was dismissed because the product in question became available again in the market, resolving the issue raised"," Approved Drug Products with Therapeutic Equivalence Evaluations (the Orange Book)
– Cited as the source for reference standard drug listings. No other formal statute or regulation cited","The petitioner requested a new reference standard designation for sulfamethoxazole and trimethoprim oral suspension, stating the current reference product was unavailable.
- FDA determined the distribution of the existing reference product increased after the petition was submitted, and the drug is now available again.
- Based on this, FDA concluded the petition was moot",
