File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2018-P-0322-0004_Final_Response_from_FDA_CTP.pdf,2/4/2022,,"Center for Tobacco Products (CTP)
","Dismissed (moot)
","- 21 CFR § 10.35(e) – Governs dismissal of petitions when circumstances render them moot
- 21 CFR § 10.75 – Pertains to supervisory review process","The petitioner (Commonwealth Brands, Inc.) requested a stay of seven NSE (Not Substantially Equivalent) orders to allow time for supervisory review. The CTP granted the appeal request, and subsequently issued SE orders for all products in question. As a result, the original request was considered moot, and the petition was dismissed under 21 CFR § 10.35(e)
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0327-0005_Letter_from_FDA_CDER_to_Fresenius_Kabi_USA__LLC.pdf,6/11/2018,,Center for Drug Evaluation and Research (CDER),Approved,"- 21 CFR § 314.161 – Determination if drug was withdrawn for safety/effectiveness
- 21 CFR § 314.162 – Removal of drugs from the Orange Book list
- 21 CFR § 10.30 – Citizen petitions","The petitioner requested confirmation on the status of Mutamycin (mitomycin) injectable, 5 mg/vial and 20 mg/vial under NDA 050450. FDA reviewed its records and found no evidence that the drug was withdrawn for reasons of safety or effectiveness. It reviewed postmarketing data and literature and found no adverse safety concerns. Therefore, FDA maintained the listing of the drug in the “Discontinued Drug Product List” in the Orange Book, allowing ANDAs to proceed
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0343-0003_Petition_Response_Letter_from_FDA_CDER_to_Fish___R.pdf,6/20/2018,,Center for Drug Evaluation and Research (CDER),Denied,"- 21 U.S.C. § 355(j) – Abbreviated New Drug Applications (ANDAs)
- 21 U.S.C. § 355(q) – Procedures for citizen petitions related to pending ANDAs
- 21 CFR § 314.92(a)(1) and § 314.94(a)(5) – Requirements for same active ingredient in ANDAs
- 21 CFR § 314.105, § 314.110, § 314.125, § 314.127, § 314.200 – Application review and procedural provisions","The petition requested that FDA refrain from approving an ANDA by Apotex referencing Zorvolex (diclofenac free acid), arguing that Apotex’s product used diclofenac sodium, a different active ingredient. FDA denied the petition, stating:
• The Agency is not required to issue final decisions on specific aspects of pending applications outside the standard review process.
• FDA emphasized the petitioner’s concerns may be valid (i.e., a product with a different active ingredient cannot be approved as an ANDA), but that determination must await full review of the specific application.
• As no final determination had been made on the ANDA at the time, addressing the issues raised would be premature.
• Therefore, the petition was denied without comment on the approval status of any specific ANDA
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0345-0006_Interim_Response_Letter_from_FDA_CDER_to_Macleods_.pdf,7/12/2018,,Center for Drug Evaluation and Research (CDER),Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation governing interim responses to citizen petitions
","The FDA stated that a final decision on the petition could not yet be made due to the need to address other agency priorities. The interim response was issued to comply with regulatory timelines, and the agency assured it would respond as soon as possible given its resource constraints
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0564-0006_Interim_Response_Letter_from_FDA_CFSAN_to_Panera__.pdf,8/27/2018,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Governs FDA’s requirement to provide interim response when unable to reach a decision within 180 days
","FDA stated that a final decision had not been reached due to competing agency priorities, including the Nutrition Innovation Strategy (NIS), and limited resources. The agency noted that it plans to modernize the standards of identity program, which includes reviewing petitions such as this one that requested a clearer definition of the term “egg” in 21 CFR § 160.100. FDA confirmed that a decision will be communicated once the review is complete
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0564-0007_Final_Response_Letter_from_FDA_CFSAN_to_Panera__LL.pdf,3/29/2022,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Denied,"- 21 U.S.C. § 341 – Definitions and standards for food
- 21 CFR § 130.5(b) – Petition requirements for food standards
- 21 CFR § 160.100 – General egg standard provisions
- 21 CFR §§ 160.105 – 160.190 – Standards for egg products
- 21 CFR § 101.4(b)(10)-(12) – Labeling of egg ingredients
- 21 CFR § 118.3 – Shell egg definition (for specific purposes)","The FDA denied the petition because:
• There is no statutory authority to define ""egg"" as a standard of identity under 21 CFR § 160.100.
• The petition did not provide evidence that current labeling practices mislead consumers.
• FDA regulations already require manufacturers to disclose additives.
• The proposal did not demonstrate that changes would promote honesty, fair dealing, or protect against economic adulteration.
• The request was not selected for standards modernization review
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0597-0004_Interim_Response_from_FDA_CDER_re_FDA_2018_P_0597.pdf,7/23/2018,,Center for Drug Evaluation and Research (CDER),Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation requiring interim responses to citizen petitions when a final decision cannot be made within 180 days
","FDA stated that it has not resolved the issues raised in the petition due to the need to address other Agency priorities. The agency committed to responding as soon as possible once a decision is made
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0597-0008_Letter_from_FDA_CDER_to_Alliance_for_Natural_Healt.pdf,7/3/2019,,Center for Drug Evaluation and Research (CDER),Denied,"- 21 CFR § 14.100(c)(17) – PCAC charter structure
- 21 U.S.C. § 353a(c)(1) – PCAC composition requirement under Section 503A
- 21 U.S.C. § 353b(c)(2) – PCAC composition under Section 503B
- 5 CFR § 2635.502(a) – Appearance issues guidance
- 21 CFR § 14.80(b)(1)(i) – Nomination standards
- FDA Draft Guidance on Appearance Issues and Conflicts of Interest","- Pew does not have a voting seat on the PCAC, contrary to the petition’s claim.
- The member cited (Elizabeth Jungman) served in an individual capacity, not as a representative of Pew.
- Jungman resigned from the PCAC on April 25, 2019, making the petition moot.
- The FDA rigorously screens PCAC members for both conflicts of interest and appearance issues. In Jungman’s case, no conflict or appearance issue was found.
- Members of the PCAC are selected for their individual expertise and do not represent their employers or organizations.
- The Agency emphasized the importance of maintaining integrity and balance in PCAC membership
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0598-0014_Petition_Denial_Letter_from_FDA_CDER_to_Kurt_Karst.pdf,7/6/2018,,Center for Drug Evaluation and Research (CDER),Denied,"- Section 505(q) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) (21 U.S.C. § 355(q))
- FDA regulations in 21 CFR Part 314
- Sections 505(c), 505(j), and 505(b)(2) of the FD&C Act","- FDA denied the petition without commenting on the approvability of specific ANDAs.
- The decision reflects FDA’s policy of not preemptively ruling on components of pending ANDAs before making a final decision on the ANDA as a whole.
- FDA emphasized the statutory and regulatory processes in place to evaluate and approve ANDAs, and noted that the petition did not justify bypassing these established review procedures.
- FDA noted that it must take action within 150 days under section 505(q), even if final decisions on the related ANDAs have not been made.",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0599-0018_Interim_Response_from_FDA_OC_to_National_Pediculos.pdf,9/25/2018,,"Office of the Commissioner (OC)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation requiring interim responses when a final decision cannot be made within 180 days
","The petition requested revisions to FDA educational materials to promote lice combing—specifically the LiceMeister comb—as a valid option for head lice treatment. The FDA responded that the petition raises broader issues requiring further cross-agency review and analysis. Therefore, a final decision could not yet be made. FDA issued this interim response in compliance with regulations to inform the petitioner of ongoing consideration
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0599-0020_Final_Response_from_FDA_OC_to_National_Pediculosis.pdf,1/17/2020,,"Office of the Commissioner (OC)
",Partially Approved / Partially Denied,"- 21 CFR § 10.30(e)(2) – Citizen petition procedures
- 21 CFR § 807.92(a)(3) – Substantial equivalence for medical devices
- 21 CFR § 880.5960 – Classification for lice removal kits
- Section 510(k) of the FD&C Act – Premarket notification for devices","- Lice combs are regulated as class I exempt medical devices and the LiceMeister comb received 510(k) clearance in 1998.
- FDA agreed that combing is a valid method for managing pediculosis (head lice) and updated its website to reflect this.
- However, FDA denied the request to name LiceMeister specifically on the website, as it does not generally list brand names of exempt devices.
- FDA also found no scientific or regulatory basis to distinguish the LiceMeister from other lice combs and therefore denied the claim that it is “not equivalent” to other lice combs.
- The Agency also did not receive data to support claims that combing improves treatment safety or reduces drug-related risks, so these parts of the petition were denied
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0614-0003_Interim_response_from_FDA_DDM_to__GeneYork_Pharmac.pdf,8/6/2018,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Governing interim responses to citizen petitions
","FDA stated it had not yet resolved the issues raised in the petition due to the need to address other Agency priorities. The Agency assured it would respond as soon as possible given the demands on its resources
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0614-0004_Letter_from_FDA_CDER_to_GeneYork_Pharmaceuticals_G.pdf,9/27/2019,,"Center for Drug Evaluation and Research (CDER)
","Dismissed (moot)
","No specific statutes or regulations are cited in the letter. However, it references the Approved Drug Products with Therapeutic Equivalence Evaluations (the Orange Book) and includes a link to the database .
","The petitioner had requested FDA designate a new reference standard for Hexadrol (dexamethasone sodium phosphate). FDA explained that the Orange Book was recently updated to identify the exact product (ANDA 084916 by Fresenius Kabi) as the reference standard. Hence, the petition’s request had already been fulfilled, and it was dismissed as moot .

",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0625-0007_Interim_Response_from_FDA_CDER_to_Made_in_the_USA_.pdf,8/7/2018,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation requiring interim response to citizen petitions when a final response is not ready within 180 days
","The petition requested FDA to initiate a rulemaking requiring pharmacies to label prescription drugs with their country of origin. FDA responded that the request raises complex issues requiring extensive review and analysis, and thus a final decision could not yet be reached. The interim response ensures compliance with regulatory timelines while a thorough review is ongoing
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0625-0008_Letter_from_FDA_CDER_to_Made_in_the_USA_Foundation.pdf,7/30/2019,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 19 U.S.C. § 1304 – U.S. customs statute (marking requirements)
- 19 CFR § 134.1(d) – Customs definition of ""ultimate purchaser""
- 19 CFR § 134.46 – Marking requirements for imported articles
- 21 U.S.C. § 353(b)(2) – FD&C Act exemption for prescription drugs
- 21 CFR § 201.1(a) – Labeling regulations for name and address of manufacturer, packer, or distributor
- 21 U.S.C. § 331(a) – Prohibition of misbranded drugs","- The petition relied on customs law (19 U.S.C. § 1304) which is enforced by CBP, not FDA.
- CBP has jurisdiction to interpret what constitutes “ultimate purchaser” and whether markings are required.
- FDA does not interpret failure to state country of origin on pharmacy labels as misbranding under FD&C Act § 331(a).
- Under 21 CFR § 201.1(a) and 21 U.S.C. § 353(b)(2), pharmacy-dispensed prescriptions are exempt from labeling requirements regarding manufacturer information, so long as other statutory conditions are met.
- FDA emphasized that the choice of drug often depends on prescriber or pharmacist discretion, not consumer comparison of domestic vs. foreign origin.
- No evidence was provided that omission of origin labeling misleads consumers or poses safety concerns
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0664-0003_Interim_response_from_FDA_CDER_to_Prinston_Pharmac.pdf,8/7/2018,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Governs interim responses when FDA cannot issue a final decision within 180 days
","The petition requested designation of ANDA 091115 (Rocuronium Bromide Injection) as a reference standard. FDA responded that it had not yet reached a decision due to the need to prioritize other agency matters. It issued this interim response in accordance with regulatory requirements and committed to respond as soon as resources allow
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0670-0008_Interim_Response_Letter_FDA_2018_P_0670.pdf,7/19/2018,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) – FDA regulation on citizen petitions, requiring interim responses when final decisions are delayed
","- The petition, submitted on behalf of Paragon Bioteck, Inc., requested a determination that certain phenylephrine hydrochloride ophthalmic solutions under NDA 203510 and NDA 207926 are the “same” under FD&C Act § 736(a)(2)(B).
- FDA stated it had not yet resolved the issues in the petition due to the need to prioritize other agency matters.
- This interim response ensures compliance with procedural requirements while the agency continues evaluating the petition",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0673-0009_Interim_Response_from_FDA_CDER_to_Justice_for_Jake.pdf,8/7/2018,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) – Regulation requiring interim responses to citizen petitions when final decisions are not issued within 180 days
","- The petition requested that alprazolam be reclassified from Schedule IV to Schedule II under the Controlled Substances Act, and that a study be conducted on its role in the opioid crisis.
- FDA responded that the petition raises complex issues needing extensive review and analysis, thus preventing a decision at that time.
- The letter was issued to comply with the procedural requirement for interim response under the applicable regulation
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0673-0011_Response_Letter_from_FDA_CDER_to_Justice_for_Jake.pdf,2/17/2021,,"Center for Drug Evaluation and Research (CDER)
",Partially Approved / Partially Denied,"- 21 U.S.C. § 360bbb-2
- 21 U.S.C. § 811
- Controlled Substances Act (21 U.S.C. § 801 et seq.)
- 21 U.S.C. § 812
- 21 CFR §§ 1300–1317
- Section 505(o)(4) of the FD&C Act
- Memorandum of Understanding with NIDA (50 FR 9518, March 8, 1985)","- Granted in part: FDA agreed to conduct a scientific and medical evaluation (eight-factor analysis) of alprazolam under 21 U.S.C. 811.
- Denied in part: FDA denied the request to reschedule alprazolam from Schedule IV to Schedule II because it does not have the statutory authority to take final scheduling action.
- FDA acknowledged the petition’s concern regarding alprazolam’s role in the opioid crisis and agreed to conduct an eight-factor analysis for potential rescheduling.
- However, FDA clarified that only DEA has the authority to reschedule controlled substances.
- Data reviewed included abuse, misuse, addiction, and overdose statistics, indicating that harms primarily occur when benzodiazepines are used with other substances.
- FDA has already taken steps to mitigate risks through labeling changes and public communication (e.g., boxed warnings, guidance for gradual tapering).",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0674-0007_Final_Response_Letter_from_FDA_CDER_to_Medtech_Pro.pdf,1/24/2024,"No date recognized by ChatGPT, but found in signature line.","Center for Drug Evaluation and Research (CDER)
",Approved,"- Section 505(j)(2)(C) of the FD&C Act
- 21 CFR § 314.93 – Suitability petition requirements
- 21 CFR § 314.93(e)(1) – Approval standards
- 21 CFR § 314.94(a)(3)(iii) – ANDA referencing requirement
- Section 505B of the Act (Pediatric Research Equity Act)
- Section 505(j)(2)(A) and (B) – ANDA submission requirements
- Section 505(j)(2)(A)(iv) – Bioequivalence","- FDA determined the change from tablet to powder form does not raise safety or efficacy concerns.
- Proposed use, dose, and route of administration match the listed drug.
- The change aligns with the approved labeling of the reference drug and meets bioequivalence expectations.
- Under PREA, studies were not required due to evidence that the drug would be ineffective or unsafe in all pediatric age groups, per Section 505B(a)(5).
- Approval of the petition does not guarantee ANDA approval, which is subject to further review.",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0829-0003_Petition_Approval_Letter_from_FDA_CDER.pdf,4/13/2018,,"Center for Drug Evaluation and Research (CDER)
",Approved,"- Section 505(j) of the FD&C Act (21 U.S.C. 355(j))
- 21 CFR § 314.3(b) – Definitions for listed drug and therapeutic equivalence
- 21 CFR § 314.94(a)(3) – ANDA bioequivalence requirement
- 21 CFR § 314.161(a) – Withdrawal of RLD
- 21 CFR § 314.122(a) – Conditions for using reference standards","- The original reference standard (Bactroban Calcium Cream, NDA 050746) was discontinued.
- Glenmark’s product (ANDA 201587) was selected as the new reference standard based on commercial availability and market leadership.
- FDA determined that the petitioners provided sufficient grounds for the change in designation
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0870-0007_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,7/17/2023,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- Section 505(j)(2)(C) of the FD&C Act
- 21 CFR § 314.93(e)(1)(vi) – Criteria for petition approval
- 21 CFR § 314.122(a) – RLD withdrawal conditions
- 21 CFR § 314.161(a) – RLD withdrawal review
- 21 CFR § 10.33 – Reconsideration of decisions
- 21 CFR § 10.20 – Petition format and submission","- The petition requested permission to submit an ANDA for Potassium Chloride ER Tablets USP, 8 mEq, citing a change in strength from the listed drug (20 mEq).
- FDA denied the petition because the same 8 mEq strength formulation was already approved in multiple NDAs (K-Tab and Klor-con).
- This disqualifies the petition under 21 CFR § 314.93(e)(1)(vi), which prohibits approval if an NDA already exists for the same change.
- FDA also noted the option to file for reconsideration or submit a new petition with additional information
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0874-0049_Interim_Response_Letter_from_FDA_CFSAN_to_Bonumose.pdf,8/17/2018,"Stamp dated August 17, but another stamp reflects August 20.","Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"- 21 CFR § 101.9(c)(6)(iii) – Nutrition labeling for added sugars
- 21 CFR § 101.9(c)(6)(iv) – Voluntary labeling for sugar alcohols
- 21 CFR § 10.30(e)(2) – Requirement for interim response to citizen petitions if no final decision is made within 180 days","- The petition requested that D-tagatose be exempted from classification as an added sugar and allowed to be voluntarily labeled like sugar alcohols.
- FDA explained that it could not reach a decision within the statutory timeline due to other priorities and limited resources.
- FDA committed to completing its review as warranted in context of its program priorities",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0874-0051_Interim_Response_Letter_from_FDA_CFSAN_to_Bonumose.pdf,8/17/2018,"Stamp dated August 17, but another stamp reflects August 20.","Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"- 21 CFR § 101.9(c)(6)(iii) – Nutrition labeling for added sugars
- 21 CFR § 101.9(c)(6)(iv) – Voluntary labeling for sugar alcohols
- 21 CFR § 10.30(e)(2) – Requirement for interim response to citizen petitions if no final decision is made within 180 days","- The petition requested that D-tagatose be exempted from classification as an added sugar and allowed to be voluntarily labeled like sugar alcohols.
- FDA explained that it could not reach a decision within the statutory timeline due to other priorities and limited resources.
- FDA committed to completing its review as warranted in context of its program priorities",FALSE,"Missing in original spreadsheet, so completed in full here. Appears to be a duplicate of FDA-2018-P-0874-0049_Interim_Response_Letter_from_FDA_CFSAN_to_Bonumose.pdf."
FDA-2018-P-0874-0053_Final_Response_to_Citizen_Petition_from_FDA_CFSAN_.pdf,5/18/2022,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Denied,"- 21 CFR § 101.9(c)(6)(iii) – Definition of ""Added Sugars""
- 21 CFR § 101.9(c)(6)(iv) – Voluntary declaration of sugar alcohols
- 21 CFR § 101.9(c)(6)(ii) – Definition of ""Total Sugars""
- 21 CFR § 101.60(c)(2) – Use of ""no added sugar"" labeling
- 21 CFR § 101.4(a)(1) and § 101.4(b)(20) – Ingredient labeling by common or usual name
- 21 CFR § 101.80 – Health claims for noncariogenic carbohydrate sweeteners","- Caloric Contribution: D-tagatose contributes 1.5 kcal/g, significantly more than allulose (0.4 kcal/g), and may add more ""empty calories"" to the diet.
- Labeling Integrity: FDA aims to prevent consumer confusion and maintain clarity; individualized declarations for multiple distinct sugars could clutter labels.
- Regulatory Consistency: D-tagatose fits the definition of ""added sugars"" under current regulations.
- Scientific Review: Although D-tagatose differs metabolically from traditional sugars, the FDA found insufficient basis to treat it differently without further rulemaking
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0876-0006_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,5/1/2023,"No date recognized by ChatGPT, but found in signature line.","Center for Drug Evaluation and Research (CDER)
",Approved,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR § 314.93 – Petitions for strength changes
- 21 CFR § 314.93(e)(1) – Grounds for approval
- 21 CFR § 314.94(a)(3)(iii) – Referencing the petition in ANDA submissions","- The proposed change in strength (200 mg to 400 mg) does not pose questions of safety or effectiveness.
- The dosage form, route of administration, and labeled uses are the same as the listed drug (Albenza® 200 mg).
- The proposed product aligns with dosing recommendations in the labeling.
- Bioequivalence demonstration would suffice to show therapeutic equivalence.
- No new investigations are required
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0877-0005_The_Food_Lawyers_Interim_Respons.pdf,6/13/2018,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"- 21 CFR § 101.9(c)(6)(i) – Pertaining to labeling of isolated and synthetic non-digestible carbohydrates with physiological health benefits
","- The petitioner requested inclusion of konjac flour (konjac glucomannan) in the list of non-digestible carbohydrates beneficial to health under 21 CFR § 101.9(c)(6)(i).
- FDA acknowledged the submission of prior studies and the intent to submit additional information.
- The agency indicated it needed more time to review the complete materials before issuing a decision
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0877-0010_Petition_Response_Letter_from_FDA_CFSAN_to_The_Foo.pdf,1/9/2020,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Approved,"- 21 CFR § 101.9(c)(6)(i)
- 21 CFR § 10.30(e)(3)
- Final rule: 81 FR 33742 (May 27, 2016)
- Guidance: Scientific Evaluation of the Evidence on the Beneficial Physiological Effects of Isolated or Synthetic Non-Digestible Carbohydrates Submitted as a Citizen Petition (21 CFR 10.30)","- The FDA reviewed the citizen petition and supplements submitted by The Food Lawyers, including extensive scientific literature.
- 26 studies were evaluated on glucomannan's effects on blood cholesterol; 9 were considered scientifically valid, and 6 demonstrated significant reductions in total and/or LDL cholesterol.
- Evidence shows that glucomannan has a physiological effect beneficial to human health, specifically by reducing blood cholesterol.
- FDA intends to exercise enforcement discretion for declaring glucomannan as dietary fiber on labels until the rulemaking process is completed.",FALSE,"Missing in original spreadsheet, so completed in full here. "
