File Name,Date of Response,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
FDA-2020-P-0945-0013_Interim_Response_letter_from_FDA_CDRH_to_Dr__Ernes.pdf,"July 18, 2020",Center for Devices and Radiological Health (CDRH),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response because the petition raised complex issues regarding the effectiveness of the Exogen Ultrasound Bone Healing System, specifically questioning whether ultrasound or increased soft tissue pressure enhances fracture healing. These issues require further review and analysis before a final decision can be made."
FDA-2020-P-0947-0004_Letter_from_FDA_CDER_to_Hyman__Phelps___McNamara__.pdf,"September 18, 2020",Center for Drug Evaluation and Research (CDER),Dismissed as moot,Not Mentioned,"The FDA dismissed the petition as moot because the requested actions had already been completed. Specifically, the Orange Book had been updated to designate neostigmine methylsulfate solution, 3 mg/3 mL (NDA 203629, Fresenius Kabi), as both a Reference Listed Drug (RLD) and a Reference Standard (RS), fulfilling the petitioner’s request."
FDA-2020-P-0963-0005_Suitability_Petition_Letter_from_FDA_CVM_to_Aurora.pdf,"May 14, 2020",Center for Veterinary Medicine (CVM),Approved,"Section 512(n)(3) and 512(n)(3)(C) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 514.5","The FDA approved the suitability petition allowing submission of an ANADA for a generic deracoxib oral solution (1.80% w/v), differing in dosage form and strength from the reference drug Deramaxx™. The agency found that the proposed differences do not require additional investigations to demonstrate safety or effectiveness for the intended uses. Thus, the petition met the criteria for approval under section 512(n)(3)(C) of the FD&C Act."
FDA-2020-P-0978-0009_Response_Letter_from_FDA_CDER_to_Valisure__LLC.pdf,"June 12, 2020",Center for Drug Evaluation and Research (CDER),Partially approved,"21 U.S.C. 372(a), 21 U.S.C. 374(a), 21 U.S.C. 375(b), 21 CFR Part 7, Subpart C, 21 CFR 211.160, 21 CFR 211.165(e), 21 CFR 211.194, 21 CFR 314.50(d)(1), 21 CFR 314.94(a)(9), ICH Q2(R1), ICH M7(R1)","The FDA partially granted the petition by Valisure, approving the requests to conduct investigations into NDMA contamination in metformin and to inform the public about its findings. The agency denied requests to adopt Valisure’s specific testing protocol and to promulgate new regulations requiring independent batch-level testing. The FDA determined that its current validated testing methods are scientifically sound and that Valisure’s method was not appropriately validated due to interference from dimethylformamide (DMF), which compromised the accuracy of NDMA quantification. Furthermore, the agency found existing regulatory frameworks sufficient to ensure drug quality and safety without requiring new independent testing mandates."
FDA-2020-P-0983-0004_Final_Response_from_FDA_CDER_to_grBiosystems_Inc_.pdf,"May 9, 2023",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355h (Section 505G of the FD&C Act), 21 U.S.C. 353(b)(1), 21 U.S.C. 321(p)(1), 21 U.S.C. 379j-71(7), 21 CFR Part 355","The FDA denied the petition because the legal framework for over-the-counter (OTC) monograph drugs changed with the enactment of the CARES Act, which introduced Section 505G to the FD&C Act. Under the new framework, changes to testing procedures for OTC drugs such as the proposed use of the Featherstone laboratory pH cycling model for stannous fluoride toothpaste must be submitted through the OTC Monograph Order Request (OMOR) process. Therefore, the citizen petition process is no longer the appropriate mechanism for this request."
FDA-2020-P-1003-0003_Interim_Response_Letter_from_FDA_CDRH_to_John_J__C.pdf,"June 8, 2020",Center for Devices and Radiological Health (CDRH),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response because the petition raises complex issues regarding the regulation and premarket clearance of fever thermometers, including requests for rulemaking to mandate certification of safety, accuracy, and technology of these devices. These issues require further review and analysis, and a final decision has not yet been reached."
FDA-2020-P-1016-0009_Interim_response_from_FDA_CDER_to_CellTrion__Inc_.pdf,"August 26, 2020",Center for Drug Evaluation and Research (CDER),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response stating that it has not yet reached a decision on the petition submitted by Celltrion, Inc. The petition raises issues that require further review and analysis by agency officials before a final determination can be made."
FDA-2020-P-1052-0004_Tentative_Response_from_FDA_CTP_to_National_Tobacc.pdf,"August 17, 2020",Center for Tobacco Products (CTP),Tentative response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued a tentative response because the petition raises significant and complex issues related to modifying the tobacco regulatory framework and recommending statutory changes to the Family Smoking Prevention and Tobacco Control Act. These issues require extensive review and analysis, and a final response will be issued once the review is complete."
FDA-2020-P-1065-0004_Letter_from_FDA_CDER_to_B__Braun_Medical_Inc_.pdf,"September 2, 2020",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"The FDA concluded that Potassium Chloride in 0.9% Sodium Chloride Injection, USP (2 mEq/mL) in the 1000 mL container was not withdrawn from sale for reasons related to safety or effectiveness. Therefore, the drug will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-1071-0002_Acknowledgment_Letter_from_FDA_DMS_to_Hyman__Phelp.pdf,"March 10, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of the petition requesting that Acetaminophen Injection, 500 mg/50 mL (10 mg/mL) and 650 mg/65 mL (10 mg/mL), be declared suitable for submission in an Abbreviated New Drug Application (ANDA). The letter clarifies that acceptance of the petition is purely procedural and does not indicate a decision on its substantive merits."
FDA-2020-P-1072-0005_Response_Letter_from_FDA_CDER_to_Yiling_Pharmaceut.pdf,"July 2, 2020",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"The FDA determined that ZOVIRAX (acyclovir) Oral Capsule, 200 mg, was not withdrawn from sale for reasons related to safety or effectiveness. As a result, the drug will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-1073-0005_Final_Response_to_David_Behar__M_D__from_FDA_CDER.pdf,"July 29, 2021",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355-1 (Section 505-1 of the FD&C Act), 21 CFR 201.57(c)(1), 42 U.S.C. 12132 (ADA), 21 CFR 10.30(e)","The FDA denied the petition to decommission the Clozapine REMS Program, remove prescriber certification requirements, and eliminate mandatory ANC monitoring language from the labeling. The agency determined that the REMS is necessary to mitigate the serious risk of severe neutropenia and that the current REMS strikes a balance between safety and prescriber discretion. FDA also found the petition's claims of discrimination and constitutional violations to be legally unsupported, and emphasized that REMS is essential to ensuring the benefit-risk profile of clozapine remains favorable. The agency will continue to assess the REMS program to minimize burden while maintaining safety."
FDA-2020-P-1074-0008_Petition_Approval_Letter_from_FDA_CVM_to_Akorn_Ani.pdf,"June 3, 2020",Center for Veterinary Medicine (CVM),Approved,"Section 512(n)(3) and 512(n)(3)(C) of the Federal Food, Drug, and Cosmetic Act",The FDA approved the suitability petition allowing Akorn Animal Health to submit an abbreviated new animal drug application (ANADA) for a generic ophthalmic ointment that differs from the reference listed new animal drug (CORTISPORIN® Ophthalmic Ointment) in the strength of polymyxin B sulfate. The agency determined that this change does not require new investigations to demonstrate safety and effectiveness for the proposed intended uses in dogs and cats.
FDA-2020-P-1166-0006_Agency_Response_Letter_from_FDA_CDRH_to_Eckert_Sea.pdf,"June 11, 2022",Center for Devices and Radiological Health (CDRH),Dismissed as moot,21 CFR 10.35(e),"The FDA dismissed the petition requesting a stay of the effective dates of the final rule banning electrical stimulation devices (ESDs) for self-injurious or aggressive behavior. The dismissal was based on the July 6, 2021, D.C. Circuit Court decision that vacated the FDA’s final rule. As a result, the legal basis for the rule no longer exists, rendering the petition moot and the previously granted partial stay unnecessary."
FDA-2020-P-1181-0004_Letter_from_FDA_CDRH_to_Todd___Weld_LLP.pdf,"June 11, 2022",Center for Devices and Radiological Health (CDRH),Dismissed as moot,21 CFR 10.35(e),"The FDA dismissed the petition requesting a stay of the effective dates of the final rule banning electrical stimulation devices (ESDs) for self-injurious or aggressive behavior. The dismissal was based on a July 6, 2021, decision by the D.C. Circuit Court that vacated the FDA’s final rule, rendering the rule legally ineffective and the petition moot. As a result, the previously granted partial stay was no longer necessary."
FDA-2020-P-1205-0002_Acknowledgment_Letter_from_FDA__DMS_to_Steptoe___J.pdf,"March 25, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of the petition for a stay of action requesting a delay of the May 12, 2020, deadline for substantial equivalence reports under the Final Deeming Rule. The letter clarifies that the acceptance of the petition is procedural and does not reflect any decision on its substantive merits."
FDA-2020-P-1220-0002_Acknowledgment_Letter_from_FDA_DMS_to_C_Laser_Inc.pdf,"March 27, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of the petition for reconsideration requesting the reclassification of the Srilas 7 device, recognition as a 'non-significant risk' device, and designation as a breakthrough device. The letter clarifies that acceptance of the petition is procedural and does not indicate any decision on its substantive merits."
FDA-2020-P-1236-0004_Denial_Letter_from_FDA_CDER_to_Foley___Lardner_LLP.pdf,"September 25, 2020",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 314.3(b), 21 CFR 314.50, 21 CFR 314.94(a), 21 CFR 320.23, 21 CFR 320.24, 21 CFR 320.25, 21 CFR 320.26, 21 CFR 320.27, 21 CFR 320.28, 21 CFR 314.127(a)(6)(i), 21 CFR 10.30","The FDA denied the petition because the petitioner’s requests for modifying requirements for demonstrating bioequivalence (BE) of generic oral contraceptives were found to be inconsistent with current scientific standards and regulatory policy. FDA maintained that pharmacokinetic (PK) endpoints are the most sensitive and accurate method for evaluating BE. The agency stated that other proposed methods, including pharmacodynamic endpoints and real-world evidence, are not sufficiently validated for routine use in BE assessments for contraceptives. The FDA concluded that its current PK-based approach remains scientifically justified and appropriate."
FDA-2020-P-1237-0002_Acknowledgment_Letter_from_FDA_DMS_to_Wiley_Rein__.pdf,"March 31, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of the petition requesting withdrawal or rescission of approval for NDA 22122/S-14 (OTC Voltaren Arthritis Pain Gel) due to concerns over insufficient safety labeling for consumers. The letter clarifies that this acknowledgment is procedural and does not reflect any decision on the substantive merits of the petition.
FDA-2020-P-1238-0002_Acknowledgment_Letter_from_FDA_DMS_to_Cigar_Associ.pdf,"April 7, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of a Petition for Stay of Action (PSA) submitted by the Cigar Association of America, requesting a delay in the deadline for submitting substantial equivalence reports under the Final Deeming Rule. The acknowledgment clarifies that the petition was accepted procedurally and does not reflect any decision regarding the merits of the request."
FDA-2020-P-1239-0002_Acknowledgment_Letter_from_FDA_DMS_to_Wiley_Rein__.pdf,"March 31, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of a Petition for Stay of Action (PSA) requesting a delay in the effective date of approval for NDA 22122/S-14, pending final agency action on a related citizen petition. The acknowledgment clarifies that the petition's acceptance is procedural and does not reflect a decision on its substantive merits."
FDA-2020-P-1243-0002_Acknowledgment_Letter_from_FDA_DMS_to_Varun_Varada.pdf,"April 2, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,"21 CFR §101.9(d)(7)(i), 21 CFR §101.9(d)(12)","The FDA acknowledged receipt of a petition proposing an amendment to the nutrition labeling regulation to include a space between the numeric value and the unit of measurement (e.g., '10 mg' instead of '10mg'). The letter notes that the acceptance of the petition is procedural and does not reflect a decision on its substantive merits."
FDA-2020-P-1246-0004_Response_Letter_from_FDA_CDER_to_Fresenius_Kabi_US.pdf,"August 16, 2023",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 314.3(b), 21 U.S.C. 355, Orange Book references, Orange Book Preface, Orange Book TE Code guidance","The FDA denied the petition to designate Fresenius Kabi’s acetaminophen intravenous solution as therapeutically equivalent to Ofirmev, primarily because Ofirmev is listed in the Discontinued Drug Product List section of the Orange Book. According to FDA policy, TE (Therapeutic Equivalence) Codes are only assigned to products listed in the Active Section of the Orange Book. Since Ofirmev is not actively marketed, it cannot serve as a reference for assigning a TE Code. Therefore, FDA declined the request and did not further assess the therapeutic equivalence of the Fresenius product."
FDA-2020-P-1247-0006_Final_Response_Letter_from_FDA_CDER_to_Belcher_Pha.pdf,"September 18, 2023",Center for Drug Evaluation and Research (CDER),Partially approved and partially denied,"21 CFR 314.3(b), 21 CFR 320.24, 21 CFR 320.33(c), 21 CFR 10.30, 21 CFR 314.94(a), 21 CFR 314.127(a)(6)(i), 21 U.S.C. 355(j), Federal Food, Drug, and Cosmetic Act, Hatch-Waxman Amendments","The FDA partially granted the petition by agreeing to change the therapeutic equivalence (TE) code of ANDA 091195 from AB to BX based on a BioPharma study that failed to demonstrate bioequivalence to the reference listed drug (RLD). However, the FDA denied the broader request to mandate retesting of all ANDAs for tacrolimus oral capsules approved before December 2012 using updated bioequivalence standards, citing a lack of evidence suggesting therapeutic inequivalence for those products. The agency emphasized that bioequivalence for those products was established at the time of their approval, and no new data warranted retroactive application of new testing standards."
FDA-2020-P-1248-0002_Acknowledgement_Letter_from_FDA_DMS_to_Mark_Miles_.pdf,"April 3, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of a petition requesting that the Commissioner issue warnings regarding drugs whose mechanisms of action may cause nephrotic syndrome and related conditions. The letter clarified that acceptance of the petition is procedural and does not represent a decision on its substantive merits.
FDA-2020-P-1251-0002_Acknowledgment_Letter_from_FDA_DMS_to_Varun_Verada.pdf,"April 6, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of a petition requesting that all references to the abbreviation 'mcg' for micrograms in 21 CFR be replaced with the symbol 'µg' or the full word 'micrograms'. The letter clarified that the acceptance of the petition is procedural and does not reflect any decision on its substantive merits.
FDA-2020-P-1252-0002_Acknowledgment_Letter_from_FDA_DMS_to_Foley___Lard.pdf,"April 6, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,"21 CFR § 314.93, Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act","The FDA acknowledged receipt of a petition requesting permission to submit an ANDA Suitability Petition for Lidocaine Hydrochloride Injection USP, 20 mg/2 mL (10 mg/mL), under the cited statute and regulation. The letter clarified that acceptance of the petition is procedural and does not reflect a decision on its substantive merits."
