File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2017-P-0970-0007_FDA_2017_P_0970_RiceBran_Granting_Response.pdf,6/13/2018,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Approved,"- 21 CFR § 101.9(c)(6)(i) — Definition of dietary fiber
- 21 CFR § 10.30(e)(3) — Governs response timing and actions on citizen petitions
- References to: 81 FR 33742, 81 FR 84516, 81 FR 84595 — Federal Register Notices","- FDA reviewed the scientific evidence including human intervention studies on rice bran fiber, as well as individual fiber components like cellulose and pectin.
- FDA concluded that rice bran fiber, as a type of mixed plant cell wall fiber, provides beneficial physiological effects, specifically:
- Improved laxation/bowel function
- Reduced blood cholesterol levels
- The FDA determined that rice bran fiber fits the broader definition and is composed of arabinoxylan, cellulose, pectin, and lignin, which individually have been shown to offer physiological benefits 
.
- FDA will exercise enforcement discretion to allow rice bran fiber to be declared as dietary fiber until formal rulemaking is completed.",FALSE,
FDA-2017-P-1002-0003_Denial_Response_from_FDA_CDRH_to_INRange_Systems__.pdf,9/22/2017,,"Center for Devices and Radiological Health (CDRH)
",Denied,"- Section 502(o) of the Federal Food, Drug, and Cosmetic Act (misbranding provision)
- 21 CFR 10.30(k) — Citizen petition procedural regulation
- 21 CFR 10.45 — Non-finality of denial to take enforcement action","- Requests to initiate enforcement actions are not permitted under citizen petition procedures (21 CFR 10.30(k)).
- Enforcement decisions are discretionary and case-specific.
- Although the enforcement request was denied, the information was forwarded to CDRH’s Office of Compliance, which will evaluate and investigate as needed.
- The Office of Compliance does not provide investigation updates or outcomes to petitioners 
",FALSE,
FDA-2017-P-1039-0003_Citizen_Petition_Decision_Letter_from_FDA_CDER_to_.pdf,7/14/2017,,Center for Drug Evaluation and Research (CDER),Denied,"- Section 505(b) & (j) of the FD&C Act — Requirements for NDAs and ANDAs
- Section 505(o)(3) — Postmarketing studies and clinical trials authority
- Section 501(b) — Adulteration based on compendial standards
- 21 CFR § 314.50(d)(1) — NDA requirements for drug substance/product info
- 21 CFR § 314.94(a)(9) — ANDA chemistry, manufacturing, and controls info
- 21 CFR § 314.101(d) — Refusal to file/receive an NDA/ANDA
- USP Chapters: <231> (Heavy Metals), <232> (Elemental Impurities—Limits), <233> (Elemental Impurities—Procedures)
- ICH Guidance: Q3A, Q3B(R2), Q3D
- FDA Draft Guidance: Elemental Impurities in Drug Products (June 2016) ","- The citizen petition process is not the appropriate mechanism to impose categorical application requirements.
- FDA applies a case-by-case approach for reviewing applications and determining whether risk assessments for elemental impurities are necessary.
- FDA disagreed with requiring categorical risk assessments prior to NDA or ANDA filing or approval, citing existing regulations and guidance that already provide a framework to ensure product purity and safety.
- Risk assessments recommended in ICH Q3D and USP <232>/<233> are not mandatory prior to 2018; adoption was encouraged but not required at the time.
- The issuance of Postmarketing Requirements (PMRs) to some NDA holders did not mean all future applications must include identical pre-approval assessments ",FALSE,
FDA-2017-P-1077-0003_Interim_Response_Letter_from_CDER_to_Recordati_Rar.pdf,8/15/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,"- 21 CFR 10.30(e)(2) — Regulation requiring interim responses if decisions are not reached within 180 days 
","- The petition raises complex issues involving potential conditions of approval for ANDAs and 505(b)(2) applications related to NeoProfen.
- These issues require extensive review and analysis by FDA officials.
- Therefore, a final decision could not be made within the standard timeframe 
",FALSE,
FDA-2017-P-1077-0004_Response_Letter_from_CDER_to_Recordati_Rare_Diseas.pdf,12/17/2021,,Center for Drug Evaluation and Research (CDER),Partially Approved / Partially Denied,"FD&C Act Sections:
- § 501(a)(2)(B), § 501(b), § 505(b)(2), § 505(j)
21 CFR Regulations:
- § 314.3(b)
- § 314.50(d)(1)(ii)(a)
- § 314.54
- § 314.94(a), § 314.94(a)(9)
- § 314.127(a)(6)(i)
- § 211.94(a)
- § 211.194(a)(2), § 211.165(e)
USP General Chapters:
- <1>, <790>
FDA Draft Guidances:
- Applications Covered by Section 505(b)(2)
- Inspection of Injectable Products for Visible Particulates
- Container Closure Systems for Packaging Human Drugs and Biologics ","- The FDA acknowledged that precipitate formation could pose safety risks, but found that the cause may involve multiple factors (e.g., vial surface, excipients, stoppers, manufacturing equipment).
- Applicants are allowed flexibility in selecting container-closure systems and mitigating particulate formation risks using different technologies (e.g., vial coatings).
- FDA already requires specifications to ensure identity, strength, quality, purity, and bioavailability, including container system suitability, under existing CGMP and regulatory frameworks.
- The approved ANDA 202402 had since changed from glass to plastic vials, effectively addressing the original concern — hence, this portion of the petition was granted.
- The request to mandate new requirements for all future ANDAs/505(b)(2)s referencing NeoProfen was denied as unnecessary.
- The request to reclassify ANDA 202402 as BX (not therapeutically equivalent) was denied; FDA reaffirmed that the drug is therapeutically equivalent (AP rating) based on demonstrated bioequivalence 
",FALSE,
FDA-2017-P-1096-0003_Interim_Response_Letter_from_CDER_to_Hyman__Phelps.pdf,8/16/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,"- 21 CFR 10.30(e)(2) — Governs FDA’s obligation to provide an interim response if unable to decide within 180 days 
","- FDA could not reach a decision due to the need to address other Agency priorities.
- The petition raises two key requests:
1. Whether the original formulation of VASOSTRICT (vasopressin) Injection was withdrawn for safety or effectiveness reasons.
2. Whether FDA will accept ANDA submissions using the original VASOSTRICT formulation as the Reference Listed Drug (RLD).
- A final response will be issued when resources permit full review",FALSE,
FDA-2017-P-1096-0004_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,12/21/2018,,Center for Drug Evaluation and Research (CDER),Approved (Determination Issued),"- 21 U.S.C. § 355(j) — FD&C Act (ANDA approval process)
- 21 CFR § 314.94(a)(9)(iii) — ANDA content for parenteral products
- 21 CFR § 314.127(a)(8)(ii)(B) — Refusal to approve ANDA based on inactive ingredients
- 21 CFR § 314.161(a)(1) — Determination on discontinuation for safety/effectiveness
- 21 CFR § 314.122(a) — Requirement for citizen petition if drug is withdrawn
- 21 CFR § 314.99(b) — Waiver of requirements for inactive ingredients in ANDAs","- FDA reviewed its files and found no evidence that the original Vasostrict (20 units/mL) was withdrawn for reasons of safety or effectiveness (page 4).
- The petitioned formulation (with chlorobutanol) was voluntarily replaced with one using sodium acetate, not due to adverse safety findings.
- FDA found that the ANDA formulation may differ in excipients like preservatives, buffers, and antioxidants if the safety of these ingredients is supported.
- Under 21 CFR § 314.99(b), FDA may waive the requirement that all inactive ingredients be identical in concentration, so long as safety is maintained.
- FDA concluded it may accept ANDAs referencing the original Vasostrict as RLD and approve them, provided all other statutory and regulatory requirements are satisfied (page 5).",FALSE,
FDA-2017-P-1104-0007_Interim_Response_Letter_from_CDER_to_Gator_Pharmac.pdf,8/18/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,"- 21 CFR § 10.30(e)(2) — Requires FDA to issue interim responses if it cannot respond to a citizen petition within 180 days
","- The petition requests FDA to create a “special situation” in the Orange Book to address the therapeutic equivalence of colon preparation kits containing magnesium sulfate, potassium sulfate, and sodium sulfate.
- The petitioner also requested FDA to declare that ColPrep Kit is therapeutically equivalent to SUPREP Bowel Prep Kit.
- FDA states it has not yet reached a decision on the petition due to the need to prioritize other matters and resource limitations",FALSE,
FDA-2017-P-1104-0008_Dismissal_of_Citizen_Petition__from_FDA_CDER_to_Ga.pdf,10/9/2019,,Center for Drug Evaluation and Research (CDER),Dismissed (moot),"- 84 FR 47309 (September 9, 2019) — Reference to the Federal Register notice titled “Withdrawal of Approval of 25 New Drug Applications” 
- Orange Book policy referenced ","- The petition requested that FDA determine ColPrep Kit (NDA 204553) is therapeutically equivalent to SUPREP Bowel Prep Kit (NDA 22372).
- However, on January 24, 2019, the approval of NDA 204553 was withdrawn, and this withdrawal was officially recognized as of October 9, 2019, making the therapeutic equivalence determination unnecessary.
- As a result, the FDA dismissed the petition as moot since the relevant application no longer exists for comparison
",FALSE,
FDA-2017-P-1108-0003_Interim_Response_Letter_re_Citizen_Petition_from_O.pdf,8/21/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,"- 21 CFR § 10.30(e)(2) — Governs FDA’s obligation to issue an interim response if unable to provide a final response within 180 days
","- The petition requests FDA to determine that TIMOPTIC (timolol maleate ophthalmic solution) under NDA 018-086 was not withdrawn for reasons of safety or effectiveness.
- The FDA stated it has not completed its review due to the need to address other Agency priorities and the numerous demands on its resources",FALSE,
FDA-2017-P-1108-0005_Response_Letter_from_FDA_to_Orbicular_Pharmaceutic.pdf,9/15/2017,,Center for Drug Evaluation and Research (CDER),Approved (Determination Issued),"- 21 CFR § 10.30 — Citizen petition procedures
- 21 CFR § 314.161 — Withdrawal of approval for reasons of safety or effectiveness
- 21 CFR § 314.162 — Removal from Orange Book listing if withdrawn for safety/effectiveness reasons
- Section 505(j)(7) of the FD&C Act (21 U.S.C. § 355(j)(7)) — Requires FDA to maintain a list of approved drugs (the Orange Book)","- FDA reviewed its records and found no evidence suggesting TIMOPTIC was withdrawn for safety or effectiveness concerns.
- An independent evaluation of literature and postmarketing safety data was conducted, and no adverse information was found that would warrant withdrawal.
- FDA concluded that TIMOPTIC would remain in the “Discontinued Drug Product List” in the Orange Book, meaning it was discontinued for reasons other than safety or effectiveness.
- As a result, FDA will continue to allow ANDA approvals that refer to TIMOPTIC, assuming all other regulatory conditions are met",FALSE,
FDA-2017-P-1221-0006_Letter_from_CVM_to_Aurora_Pharmaceutical__LLC.pdf,5/19/2017,"No date recognized by ChatGPT, but found in signature line.",Center for Veterinary Medicine (CVM),Approved,"- Section 512(n)(3) and 512(n)(3)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR § 514.5 — Pertaining to pre-submission conferences for ANADAs","- The petition proposed a generic firocoxib oral solution (0.45% w/v) for horses, which differs in dosage form (oral solution vs. oral paste) and strength (4.5 mg/mL vs. 8.2 mg/g) from the RLNAD Equioxx®.
- The proposed generic maintains the same dosage schedule and route of administration as the RLNAD.
- FDA determined that these changes do not require new safety or effectiveness investigations, qualifying them for a suitability petition pathway under the FD&C Act.
",FALSE,
FDA-2017-P-1225-0004_Letter_from_FDA_to_Aurora_Pharmaceuticals_LLC.pdf,5/18/2017,"No date recognized by ChatGPT, but found in signature line.",Center for Veterinary Medicine (CVM),Denied,"- Section 512(n)(3) and 512(n)(3)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 CFR Part 10 — General procedures
- 21 CFR § 10.33 — Reconsideration of action
- 21 CFR § 10.25(a) — Filing a new petition","- The proposed generic product, an omeprazole oral suspension (4.5% w/v), differs in dosage form and strength from the RLNAD, GastroGard® oral paste (8.2 mg/g).
- FDA concluded the change would require additional investigations to support safety and effectiveness.
- Concerns cited include:
- Stability of omeprazole in the acidic environment of the equine stomach.
- Requirements for formulation characteristics such as rapid absorption, pH buffering, and enteric-coating to prevent gastric degradation.
- FDA suggested filing a new petition with more detailed formulation and administration information to address these issues
",FALSE,
FDA-2017-P-1226-0004_Denial_Response_from_FDA_CDRH_to_INRange_Systems_I.pdf,9/25/2017,,"Center for Devices and Radiological Health (CDRH)
",Denied,"- Section 502(o) of the Federal Food, Drug, and Cosmetic Act — Misbranding provisions
- 21 CFR § 10.30(k) — Enforcement action requests not within scope of citizen petitions
- 21 CFR § 10.45 — Denial of enforcement requests not considered final administrative action","- The petitioner requested FDA take enforcement action against PharmRight Corporation for allegedly marketing an unapproved and misbranded device (“Livi”).
- The FDA responded that requests for enforcement action fall outside the scope of the citizen petition process and are at the agency’s discretion.
- Although the petition was denied, FDA forwarded the information to the Office of Compliance at CDRH.
- The Office of Compliance entered the complaint into its Allegation of Regulatory Misconduct system for review and potential investigation.
- FDA stated that it does not provide updates or outcomes of such investigations to petitioners and that enforcement decisions are handled on a case-by-case basis",FALSE,
FDA-2017-P-1230-0004_Interim_Response_from_FDA_CDER_to_RegCon_Solutions.pdf,8/21/2017,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,"- 21 CFR § 10.30(e)(2) — Regulation requiring the FDA to issue an interim response if unable to respond to a petition within 180 days
","- The petition requests FDA to designate Azelastine Ophthalmic Solution 0.05% (ANDA 078621 by Apotex Inc.) as a reference standard.
- FDA states it has not yet reached a decision due to competing Agency priorities and the numerous demands on its resources, hence issuing this interim response under regulatory requirements
",FALSE,
FDA-2017-P-1230-0006_Final_Response_from_FDA_CDER_to_RegCon_Solutions.pdf,12/20/2017,,"Center for Drug Evaluation and Research (CDER)
",Partially Approved / Partially Denied,"- 21 U.S.C. § 355(j) — FD&C Act, ANDA provisions
- 21 CFR § 314.94(a)(3) — Reference standards and bioequivalence testing
- 21 CFR § 314.161 — Drug withdrawal for safety/effectiveness concerns
- 21 CFR § 314.122 — Petition requirements for discontinued drugs
- 21 CFR § 314.3(b) — Definitions of therapeutic equivalence
- 81 FR 69580, 69619 — FDA rulemaking on ANDAs (October 6, 2016)
- FDA Draft Guidance for Industry (Jan 2017) — Referencing Approved Drug Products in ANDA Submissions","- The petition requested that the Apotex product (ANDA 078621) be selected as the reference standard for azelastine hydrochloride ophthalmic solution 0.05%.
- FDA agreed a new reference standard was necessary since the original RLD (Optivar, NDA 021127) had been discontinued from marketing.
- However, FDA chose the Sandoz product (ANDA 202305) instead of Apotex's product because Sandoz’s drug was determined to be the market leader based on commercial data.
- This selection is consistent with FDA policy to promote consistency in bioequivalence comparisons and to select a therapeutically equivalent generic when the RLD is unavailable",FALSE,
FDA-2017-P-1251-0003_Tentative_Response_from_FDA_CVM_to_NGFA.pdf,8/22/2017,,Center for Veterinary Medicine (CVM),Interim Response,"- 21 CFR Part 225 — cGMP regulations for medicated feeds
- Part 11 — Electronic records and electronic signature requirements (referenced as the subject of the requested regulatory change)","- The petition requested that FDA amend its regulations so that the Part 11 electronic records and signature requirements do not apply to records required under 21 CFR Part 225 (cGMP for medicated feeds).
- FDA responded that it needs additional time to analyze the legal and policy implications due to the complexity of the petitioned issues.
- A final response will be issued later, after full evaluation of the information and regulatory considerations",FALSE,
