File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Status of Review,Review Comments
FDA-2017-P-0495-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,1/25/2017,,"Lachman Consultant Services, Inc.
",Representing an unnamed client.,"- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.161
- 21 C.F.R. § 314.162
- 21 C.F.R. § 25.31
- 21 C.F.R. § 10.30(b)","Determination of whether CORDARONE® (amiodarone hydrochloride) Tablets, 200 mg has been voluntarily withdrawn from sale for safety or efficacy reasons, which affects its eligibility to be referenced in an ANDA","The petitioner requests that the FDA determine whether CORDARONE® Tablets, 200 mg has been voluntarily withdrawn for safety or efficacy reasons, in order to allow an ANDA referencing it as the Reference Listed Drug to proceed
","- CORDARONE® (200 mg) is still listed as an actively marketed product in the Orange Book, but the petitioner’s client believes it is no longer marketed.
- FDA regulations require such a determination before approving an ANDA that references a withdrawn listed drug.
- If the product is being marketed again before FDA response, the petition will be withdrawn
",FALSE,
FDA-2017-P-0508-0001_Citizen_Petition_from_the_Union_of_Concerned_Scien.pdf,1/25/2017,,"Union of Concerned Scientists, Center for Science and Democracy
",Not mentioned.,"- 5 U.S.C. § 553(e)
- 21 C.F.R. § 10.25
- 21 C.F.R. § 10.30
- 21 C.F.R. § 101.13
- 21 C.F.R. § 101.14
- 21 C.F.R. § 25.30(h)
- 21 C.F.R. § 10.30(b)(3)
- 21 C.F.R. § 101.65
- 21 U.S.C. § 343
- Sections 201(n), 403A, and 701(a) of the FD&C Act
- Nutrition Labeling and Education Act of 1990","- Current FDA regulations allowing health and nutrient content claims on foods with high added sugar content
- Draft guidance on redefining the “healthy” nutrient content claim","- Amend 21 C.F.R. §§ 101.13 and 101.14 to include a disqualifying nutrient level for added sugars
- Prevent foods with added sugars above the threshold from making health or nutrient content claims","- Scientific evidence links excessive added sugar to chronic diseases (e.g., type 2 diabetes, CVD, obesity)
- Added sugar now has a defined DRV (25g for ages 1–3, 50g for 4+)
- Precedent exists for disqualifying levels for fat, sodium, etc.
- Prevent misleading claims that make sugar-rich foods appear healthy, especially for children
- Supported by over 30,000 individuals nationwide",FALSE,
FDA-2017-P-0662-0001_Citizen_Petition_from_Impax_Laboratories__Inc_.pdf,1/31/2017,,"Impax Laboratories, Inc.
",Not mentioned.,"- Section 505(q) of the FD&C Act
- 21 C.F.R. § 10.30
- FD&C Act § 505(j)(2)(A)
- FD&C Act § 505(j)(8)(B)
- 21 C.F.R. §§ 314.94(a)(7), 314.127(a)(6)(i), 314.127(a)(6)(ii), 314.94(a)(9)","Potential approval or receipt of ANDAs for generic versions of RYTARY (carbidopa and levodopa extended-release capsules), with respect to FDA bioequivalence guidance and standards
","- Refuse to receive or approve any ANDA for a generic version of RYTARY unless bioequivalence is demonstrated through appropriate methods
- Revise FDA's draft product-specific bioequivalence guidance for CD-LD ER Capsules to reflect RYTARY’s unique PK profile","- RYTARY has a unique PK profile characterized by rapid onset, extended effect, and low variability in plasma concentrations
- Standard metrics (Cmax and AUC) are inadequate to ensure therapeutic equivalence
- Risk of non-equivalent generics harming patients
- FDA precedent with other drugs (e.g., zolpidem ER, methylphenidate hydrochloride) supports adopting additional metrics for bioequivalence",FALSE,
FDA-2017-P-0663-0001_Citizen_Petition_from_Mucodel_Pharma__LLC.pdf,1/31/2017,,"Mucodel Pharma LLC
",Not mentioned.,"- Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.30 (Citizen petition regulation)
- Section 505(q) of the FDCA
- 21 C.F.R. §§ 25.30 to 25.34, and 25.40 (Environmental impact provisions)","FDA’s approval or pending approval of intranasal (IN) naloxone drug applications (NDAs or ANDAs) for opioid overdose treatment—without fully considering the reliability of intranasal delivery in real-world field use, especially compared to intramuscular (IM) naloxone","The petitioner requests that FDA refrain from approving any intranasal naloxone NDAs or ANDAs until it evaluates whether such applications adequately address the reliability of intranasal naloxone in real-world use, particularly when administered by non-medically trained personnel
","- IN naloxone may be less reliable than IM naloxone in emergency field settings.
- Clinical studies excluded patients with nasal abnormalities, and field studies suggest reduced efficacy for IN delivery in such populations.
- Concerns exist around nasal pathologies, substance-induced damage (e.g., from cocaine or heroin), and use of vasoconstrictors.
- Several cited studies (Kelly, Kerr, Barton) showed higher failure/rescue dose rates for IN naloxone vs IM.
- The Narcan® label does not warn about reliability issues or patient subtypes for which IN administration may be unsuitable.
- Petitioner argues that public health and patient safety require FDA to critically evaluate these reliability concerns before approving additional IN products",FALSE,
FDA-2017-P-0757-0001_Citizen_Petition_from_Beck___Thomas.pdf,2/10/2017,,"Beck & Thomas, P.C.","Representing Vertice Pharma, Inc.","- Sections 505 and 505-1 of the FDCA (21 U.S.C. §§ 355 and 355-1)
- 21 C.F.R. Parts 10 and 314
- 21 C.F.R. § 25.31(a) (Environmental impact exclusion)
- ICH Q3D Elemental Impurities Guidance (Sept. 2015)
- USP Chapters <232> and <233>
- FDA’s Draft Guidance on Elemental Impurities (June 2016)
- 505(o) Letters under FDCA
- APA (Administrative Procedure Act)","The petition comments on the review and approval process of NDAs and ANDAs for potassium chloride oral drug products. It specifically challenges FDA's handling of applications that do not include completed risk assessments for elemental impurities, urging refusal to receive or approve such filings
","- Refuse to file or receive any NDA/ANDA for potassium chloride oral drug products without completed risk assessments and controls for elemental impurities (lead, arsenic, cadmium, mercury, chromium, copper, selenium, manganese, zinc, and other process metals).
- Do not approve any pending NDAs or ANDAs until such documentation is provided","- FDA has already made a safety determination about potential elemental impurities in potassium chloride products.
- FDA has issued 505(o) letters to NDA holders requiring risk assessments for specific metals.
- The petition cites guidance documents and USP standards enforcing control of such impurities by January 1, 2018.
- These products are widely used and may pose toxicity risks if uncontrolled",FALSE,Duplicate of FDA-2017-P-1039-0001_Citizen_Petition_from_Beck___Thomas.pdf.
FDA-2017-P-0757-0003_Withdrawal_from_Vertice_Pharma_Beck_and_Thomas.pdf,2/10/2017,,"Beck & Thomas, P.C.","Representing Vertice Pharma, Inc.",Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

","The original petition did not include the verbatim certification required by applicable regulations. As a result, it is being withdrawn and replaced by a compliant version
",FALSE,
FDA-2017-P-0840-0001_Citizen_Petition_from_The_Weinberg_Group.pdf,2/8/2017,,"The Weinberg Group Inc.
",Not mentioned.,"- 21 C.F.R. § 10.30 – Citizen petition process
- 21 C.F.R. § 314.161 – Determination whether a listed drug was withdrawn for safety or effectiveness
- 21 C.F.R. §§ 314.122 and 314.162 – Drug removal from Orange Book
- 21 C.F.R. § 25.31 – Environmental impact categorical exclusion
- 21 C.F.R. § 10.30(b) – Economic impact submission","FDA’s current listing of OVRETTE (norgestrel; 0.075 mg oral tablet), NDA 017031 by Laboratoire HRA Pharma, in the Orange Book as discontinued. The petitioner seeks FDA’s determination on whether the product was withdrawn for safety or effectiveness reasons","Request FDA to determine whether the discontinuation of OVRETTE (norgestrel) by HRA Pharma was due to safety or effectiveness concerns
","- OVRETTE was approved by FDA on October 23, 1973 and listed in the Orange Book as a “listed drug product.”
- As of February 7, 2017, the product is listed as Discontinued in the Orange Book.
- A party intending to file an ANDA or 505(b)(2) referencing a discontinued listed drug must obtain FDA’s determination that the withdrawal was not for safety or efficacy reasons
",FALSE,
FDA-2017-P-0863-0001_Citizen_Petition_from_Fresenius_Kabi_USA__LLC_2.pdf,2/8/2017,"Letterhead dated February 8, but stamp reflects February 9.","Fresenius Kabi USA, LLC",Not mentioned.,"- 21 C.F.R. §§ 10.20, 10.30, and 314.93
- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.31(a) (Environmental Impact)","The suitability for submission of an Abbreviated New Drug Application (ANDA) for Sodium Chloride 23.4% Injection, USP, in 100 mL and 200 mL pharmacy bulk package (PBP) vials. The reference listed drug (RLD) is a 30 mL vial of the same formulation that was discontinued but not withdrawn for safety or efficacy reasons.
","The petitioner requests that the FDA declare the 100 mL and 200 mL PBP vials of Sodium Chloride 23.4% Injection, USP to be suitable for ANDA submission, as an increase in total drug content from the previously approved 30 mL single-dose vial
","- The proposed product is identical in concentration (23.4%), indications, route of administration, and composition to the approved RLD, differing only in volume.
- Larger vials (100 mL, 200 mL) would reduce waste, improve convenience for hospitals and infusion centers, and potentially reduce costs.
- The packaging aligns with USP <797> and <1> requirements for pharmacy bulk packaging.
- Labeling changes will address aseptic handling and single-use time limits (e.g., 24 hours).
- There are no new safety or effectiveness issues raised by this petition
",FALSE,
FDA-2017-P-0863-0004_REQUEST_FOR_WITHDRAWAL_SP_for_PBP.pdf,8/8/2018,,"Fresenius Kabi USA, LLC",Not mentioned.,Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

",Not explicitly stated. The letter simply requests withdrawal of the citizen petition without providing a detailed reason,FALSE,
FDA-2017-P-0864-0001_Citizen_Petition_from_Hyman_Phelps___McNamara_PC.pdf,2/8/2017,,"Hyman, Phelps & McNamara, P.C.
",Not mentioned.,"- 21 C.F.R. §§ 10.25(a) and 10.30 – Citizen petition procedure
- FDC Act § 505(j) – Generic drug approval process
- 21 C.F.R. § 314.3 – Definition of listed drug
- 21 C.F.R. § 25.31 – Environmental impact categorical exclusion
- 21 C.F.R. § 10.30(b) – Economic impact (submitted upon request)","The FDA’s designation of Ibuprofen Tablets, 200 mg (NDA 018989) in the Orange Book — specifically its omission as a Reference Listed Drug (RLD) and Reference Standard (RS), which may shield it from generic competition","Designate NDA 018989 for Ibuprofen Tablets, 200 mg, as both a Reference Listed Drug (RLD) and Reference Standard (RS) in the FDA’s Orange Book to allow ANDA submissions that rely on this product
","- The current omission of NDA 018989 as an RLD or RS limits generic competition.
- FDA policy and guidance recognize that lack of RLD/RS designation can shield products from competition.
- NDA 018989 meets the criteria for both RLD and RS, and its inclusion will help facilitate ANDA filings, reduce barriers to entry, and promote market efficiency",FALSE,
FDA-2017-P-0866-0001_Citizen_Petition_from_Hyman_Phelps___McNamara.pdf,2/8/2017,,"Hyman, Phelps & McNamara, P.C.
",Not mentioned.,"- 21 C.F.R. §§ 10.25 and 10.30 – Citizen petition procedures
- 505(j) and 505(w) of the FD&C Act
- 21 C.F.R. §§ 314.122 and 314.161 – Withdrawal determinations
- 21 C.F.R. § 314.94(a)(9)(iii) – Inactive ingredients in parenteral drug products
- 21 C.F.R. § 314.99(b) – Waiver of regulatory requirements
- 21 C.F.R. § 25.31 – Environmental impact exclusion
- 21 C.F.R. § 10.30(b) – Economic impact disclosure","FDA’s listing and treatment of THIOPLEX (thiotepa) for Injection, 15 mg/vial, under NDA 020058, particularly whether its original formulation was withdrawn for reasons of safety or effectiveness. The petition responds to ambiguity in FDA's prior determination from 2004, which may or may not have applied to the original formulation","1. Determine whether the original formulation of THIOPLEX (thiotepa) was withdrawn for safety/effectiveness reasons.
2. Confirm that FDA will accept ANDAs referencing this original formulation as the Reference Listed Drug (RLD).
3. Clarify if a waiver is needed and can be granted for the inactive ingredient sodium carbonate under 21 C.F.R. § 314.99(b)","- The original formulation of THIOPLEX (without sodium carbonate) differs from the revised formulation, which was approved in 2000.
- There is no public record confirming if FDA's 2004 determination of non-safety withdrawal applies to the original formulation.
- The drug still appears in the Orange Book as “Discontinued.”
- Ensuring clarity is essential for ANDA submissions that rely on the original formulation",FALSE,
FDA-2017-P-0867-0001_Citizen_Petition_from_Public_Citizen.pdf,2/8/2017,,"Public Citizen
",Not mentioned.,"- Section 355(e) of the Federal Food, Drug, and Cosmetic Act (codified at 21 U.S.C. § 355(e)) 
- 21 C.F.R. § 10.30 (FDA citizen‑petition regulation) 
- 21 C.F.R. § 25.31(a) (categorical environmental‑impact exclusion) ","FDA’s continued marketing/availability of hydroxyethyl starch (HES) intravenous solutions despite safety concerns; the petition addresses FDA’s policy of allowing these products to remain on the market 
","“Immediately require the removal from the market of HES IV solutions.” 
","Petitioners argue that (1) the risks of HES products outweigh their limited benefits and (2) safer alternative IV solutions are available, so continued marketing endangers patients 
 and reiterate that “these solutions should not be used in any patient population… HES products should be immediately removed from the market to prevent further harm” ",FALSE,Used o3 model instead of standard as standard model could not handle the volume of information and consistently gave inaccurate data across the board.
FDA-2017-P-0868-0001_Citizen_Petition_From_David_Wong.pdf,2/8/2017,,David Wong,Not mentioned.,"- 505(j)(5)(D)(i)(IV) of the FD&C Act – Forfeiture of 180-day exclusivity
- 21 C.F.R. § 314.107(c)(3) – Effective approval date determination
- 21 C.F.R. § 25.31 – Environmental impact categorical exclusion","FDA’s handling of 180-day exclusivity for ANDA 090482 (Handa Pharmaceuticals) for Quetiapine Fumarate Extended-Release Tablets, specifically whether exclusivity was forfeited and whether FDA should permit final approval of other tentatively approved ANDAs blocked by Handa's first-to-file status
","1. Determine if Handa ANDA 090482 forfeited 180-day exclusivity due to failure to obtain tentative approval within 30 months.
2. Determine if the sponsor is not actively pursuing approval, and allow subsequent ANDAs to become effective.
3. If either condition is met, approve blocked ANDAs (Accord ANDA 090681, IntelliPharmaceutics ANDA 202939) immediately","- Handa ANDA 090482 received tentative approval more than 30 months after submission date (Sept 11, 2010 deadline missed).
- Par Pharmaceuticals, now holder of Handa ANDA, launched only an Authorized Generic on 11/1/2016, not the ANDA product.
- Delay appears intentional and anticompetitive, blocking others from market.
- Accord and IntelliPharmaceutics had tentative approval and settlement dates aligned to launch",FALSE,
FDA-2017-P-0970-0001_Citizen_Petition_from_RiceBran_Technologies.pdf,2/12/2017,,"RiceBran Technologies
",Not mentioned.,"- 21 C.F.R. § 10.30 – Citizen petition procedure
- 21 C.F.R. § 101.9(c)(6)(i) – Definition of dietary fiber for nutrition labeling
- 21 C.F.R. § 25.30(k) – Categorical exclusion for environmental impact
- 21 C.F.R. § 10.30(b)(3) – Economic impact submission requirement","Petition responds to the FDA's 2016 request for scientific data on non-digestible carbohydrates and requests an amendment to 21 C.F.R. § 101.9(c)(6)(i) to include rice bran derivatives containing rice bran fiber in the definition of dietary fiber for nutrition labeling purposes
","- Amend 21 C.F.R. § 101.9(c)(6)(i) to include “rice bran derivatives containing rice bran fiber” as dietary fiber
- Update the list of isolated/synthetic fibers with beneficial physiological effects to include rice bran fiber","- Scientific evidence shows rice bran fiber improves laxation, reduces blood cholesterol, and attenuates postprandial blood glucose.
- Rice bran fiber includes hemicellulose, cellulose, pectin, and lignin, which are fermentable and contribute to gastrointestinal and metabolic health.
- Human intervention studies support the claimed physiological benefits",FALSE,
FDA-2017-P-1002-0001_Citizen_Petition_from_Inrange_Systems__Inc_.pdf,2/13/2017,,"INRange Systems, Inc.
",Not mentioned.,"- 21 U.S.C. §§ 501, 502, 510, 513 (FDCA provisions)
- 21 C.F.R. § 10.30 – Citizen petition procedure
- 21 C.F.R. § 880.6315 – Remote Medication Management Systems classification
- 21 C.F.R. § 807 Subparts B & E – Establishment registration and premarket notification requirements
- 21 C.F.R. § 25.34 – Environmental assessment exclusion","INRange is commenting on FDA’s regulatory enforcement with regard to the “LUMMA” device, manufactured by Life Integrating Technologies and Experiences, Inc., which INRange claims is being marketed without FDA approval, registration, or proper classification as required for Remote Medication Management Systems under 21 C.F.R. § 880.6315
","INRange requests the FDA to:
- Seize and enjoin further marketing of the “LUMMA” device.
- Declare it misbranded and unapproved under the FDCA.
- Require the manufacturer to comply with registration and premarket requirements for Remote Medication Management Systems under 21 C.F.R. § 880.6315","- The “LUMMA” device is marketed without FDA registration, clearance, or listing.
- It meets the functional criteria for a Remote Medication Management System, which is a Class II device subject to special controls.
- There are serious risks involved, such as improper dosage, failure of device, contamination, and patient harm.
- The FDA previously regulated similar products manufactured by INRange",FALSE,
FDA-2017-P-1039-0001_Citizen_Petition_from_Beck___Thomas.pdf,2/10/2017,,"Beck & Thomas, P.C.
","Representing Vertice Pharma, Inc.","- 505 and 505-1 of the FDCA (21 U.S.C. §§ 355 and 355-1)
- 21 C.F.R. Parts 10 and 314
- ICH Q3D Guidance for Industry (Sept. 2015)
- USP General Chapters <232> and <233>
- 21 C.F.R. § 25.31(a) (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact)","The petition comments on the review and approval process of NDAs and ANDAs for potassium chloride oral drug products. It specifically challenges FDA's handling of applications that do not include completed risk assessments for elemental impurities, urging refusal to receive or approve such filings
","- Refuse to file or receive any NDA/ANDA for potassium chloride oral drug products without completed risk assessments and controls for elemental impurities (lead, arsenic, cadmium, mercury, chromium, copper, selenium, manganese, zinc, and other process metals).
- Do not approve any pending NDAs or ANDAs until such documentation is provided","- FDA has already made a safety determination about potential elemental impurities in potassium chloride products.
- FDA has issued 505(o) letters to NDA holders requiring risk assessments for specific metals.
- The petition cites guidance documents and USP standards enforcing control of such impurities by January 1, 2018.
- These products are widely used and may pose toxicity risks if uncontrolled",FALSE,
