File ID,Date of Petition,Was_Withdrawn,Submitter,Submitter Type,Petition Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Final Decision,Number of Interim Responses,Interim Response Date,Last Response Date,Responding FDA Center,Responses Cited Statutes or Regulations,Justification for Interim Response,Justification for Final Response
FDA-2017-P-2229,4/7/2017,False,Covington & Burling LLP,law/consulting,"- 21 C.F.R. § 10.30 – Citizen petition procedures
- Federal Food, Drug, and Cosmetic Act (FDCA) § 512(j) – Relating to drug listings for animal drugs
- FDCA § 501(a)(5) – Adulteration for unapproved new animal drugs
- 21 U.S.C. § 360b(j) – Related to indexed animal drugs (FDCA § 572)","FDA’s enforcement policy concerning listing of animal drugs with unapproved uses and the use of the NDC Directory to identify legally marketed animal drugs, including efforts to delist or exclude products not approved via NADAs or ANADAs	","- Clarify that listing in the NDC Directory does not establish legal marketing status of animal drugs.
- Remove unapproved animal drugs from listings or clarify they are not FDA-approved.
- Enhance public communications to avoid confusion that all NDC-listed drugs are FDA-approved.","- Many stakeholders mistakenly assume that NDC Directory inclusion equals FDA approval, especially for animal drugs.
- Lack of clarity allows unapproved animal drugs to be marketed under misleading appearance of compliance.
- AHI members who comply with FDA approval processes are disadvantaged by enforcement gaps and misperceptions.
- Public and veterinary professionals deserve clear, non-misleading regulatory communication to ensure proper animal drug use and industry compliance.",Partially Denied,2.0,10/4/2017,6/13/2018,"Center for Food Safety and Applied Nutrition (CFSAN)
","- 21 CFR 101.9(c)(6)(i)
- 21 CFR 10.30
- 21 CFR 101.81
- 10.35(b), (e), and (g)
- FD&C Act Section 403(q)","- The FDA acknowledged receipt of the petition requesting revocation of the definition of dietary fiber in 21 CFR 101.9(c)(6)(i).
- The agency explained it had not been able to reach a decision within the 180-day period due to competing priorities and limited resources.
- FDA stated that it would notify the petitioner once its review was complete
","- The FDA emphasized that its definition of dietary fiber is based on whether the fiber has beneficial physiological effects for human health.
- It rejected the petitioner’s claim that FDA applied “different standards” to intrinsic vs. synthetic fibers, clarifying both must meet the same scientific benchmark for physiological benefit.
- FDA declined to recognize fermentation and changes in the gut microbiota as beneficial effects themselves, though they may result in beneficial effects like satiety.
- FDA explained it already provides a mechanism for recognizing new dietary fibers and clarified that no stay was needed as the compliance date was extended to 2020/2021
.
"
FDA-2017-P-2230,4/7/2017,False,"Kleinfeld, Kaplan and Becker LLP",law/consulting,"- 21 CFR § 10.30 – Citizen petition process
- 21 CFR § 310.6(b)(1) – Evidence of safety and effectiveness for marketed products
- 21 CFR § 310.545(a)(10)(ii)(A) – Sodium bicarbonate as an antacid
- 21 CFR Part 25 – Environmental impact categorical exclusion (referencing §25.30 and §25.31)",FDA’s removal of ARM & HAMMER™ Baking Soda from its OTC drug monograph for antacids and listing of such products as requiring NDA approval due to lack of evidence of being recognized as safe and effective under the conditions stated	,"Request for FDA to issue a regulation recognizing sodium bicarbonate, ARM & HAMMER™ Baking Soda, as generally recognized as safe and effective (GRASE) for OTC use as an antacid, and permit continued marketing without an approved NDA	","- ARM & HAMMER™ Baking Soda has been marketed continuously since 1970 for antacid use.
- The company provided historical labeling and product use data, supporting long-standing OTC status.
- The petition argues FDA’s de facto delisting action is inappropriate without full notice and comment.
- Church & Dwight believes their product satisfies the GRASE criteria, particularly under the OTC Antacid Monograph, and the product has no evidence of harm or misuse.
- The firm also claims FDA’s actions unduly burden a safe and established product without due regulatory process .",Partially Approved / Partially Denied,0.0,,9/7/2017,Center for Drug Evaluation and Research (CDER),"- Section 505(j) of the Federal Food, Drug, and Cosmetic (FD&C) Act (21 U.S.C. 355(j))
- Section 505(b)(2) of the FD&C Act
- 21 CFR 314.3(b)
- 21 CFR 314.94(a)
- 21 CFR 314.127(a)
- 21 CFR 10.31(d)(1)
- 21 CFR 314.50(d)(1)(ii), 314.54(a)(1)(i), 314.94(a)(9)(i)",,"- Toxicology and E/L Study Request: FDA agreed that safety data including toxicology and extractable/leachable (E/L) data may be appropriate and are evaluated on a case-by-case basis for both ANDA and 505(b)(2) applications.
- Dermal Toxicity Studies: 9-month dermal toxicity studies are not categorically required; need depends on formulation differences and known safety data.
- E/L Studies: Generally expected unless a scientific justification warrants waiver.
- Patch-Disposal Unit Requirement: Denied. FDA concluded that the fold-and-flush method for disposal is sufficient. There is no requirement that a generic product replicate the Butrans Patch-Disposal Unit. Inclusion of the disposal unit was voluntary by Purdue and not necessary for FDA approval.
- FDA found no evidence that generics lacking a disposal system would pose greater safety risks than Butrans. "
FDA-2017-P-2231,4/7/2017,True,"Qilu Pharma, Inc.",industry/corporation,"- 21 CFR § 10.25(a) – General procedures for submitting petitions
- 21 CFR § 10.30 – Citizen petition requirements
- 21 CFR § 25.31(a) – Environmental impact categorical exclusion","FDA’s current designation of only one RLD for Carboplatin Injection (application No. N020452, by CordenPharma), which is listed in the Discontinued Section of the Orange Book
",Request to designate Pharmachemie BV’s Carboplatin Injection (A077269) as an additional RLD to support Qilu’s ANDA submission for identical dosage strengths,"- Existing RLD (CordenPharma) is discontinued, though not withdrawn for safety or effectiveness reasons.
- Pharmachemie BV’s product matches dosage strengths (50 mg/5 mL, 150 mg/15 mL, 450 mg/45 mL, 600 mg/60 mL at 10 mg/mL).
- Designation would facilitate Qilu’s ANDA filing for identical strengths, aiding generic market entry",,,,,,,,
FDA-2017-P-2233,3/28/2017,False,Consumers for Dental Choice,other,"- 21 C.F.R. § 10.30 – Citizen petition procedure
- 21 C.F.R. § 895.20 – Banned devices
- 21 U.S.C. § 360f – Authority to ban devices
- 21 C.F.R. § 872.3050 – Regulation for amalgam devices
- 21 C.F.R. § 25.31 – Environmental categorical exclusion",Critiques FDA’s continued classification of dental amalgam as a Class II device and its lack of restrictions on amalgam use despite scientific and regulatory developments globally .	,"The petition requests that the FDA:
a) Immediately ban amalgam use in children under 6, pregnant women, nursing women, and people with mercury hypersensitivities.
b) Move amalgam from Class II to Class III, requiring premarket approval (PMA).
c) Ultimately ban dental amalgam entirely in the U.S. ","- Amalgam is 50% mercury, a known neurotoxin.
- Other nations (e.g., Norway, Sweden, Denmark) have already banned or phased it out.
- Vulnerable populations (children, pregnant women) are especially at risk.
- Alternatives are available and widely used.
- Petition cites FDA's own advisory panel findings that identified risks not properly addressed in labeling or regulation.
- Environmental concerns from mercury waste also highlighted.",Partially Approved / Partially Denied,1.0,10/26/2017,5/26/2022,"Center for Devices and Radiological Health (CDRH)
","• FD&C Act: Sections 501, 502, 510, 513, 516, 518, 519, 520
• 21 CFR: 10.30(e)(3), 10.40, 25.30, 25.34, 860.7(b), (c)(1–2), (d)(1), 872.3070
• Administrative Procedure Act: 5 U.S.C. 701 et seq.
• Minamata Convention on Mercury (referenced, not binding)
• Public Health Service Act, Clean Water Act (U.S. compliance framework for Minamata)","The petition raises issues that require further review and analysis by agency officials. As a result, the FDA has not yet reached a decision. This interim response is issued in accordance with FDA regulations governing citizen petitions.

","• Scientific Uncertainty: Insufficient evidence of harm from amalgam in vulnerable populations.
• Risk-Benefit Balance: Amalgam has clinical benefits (durability, ease of use).
• Lack of Causal Link: No strong evidence linking amalgam to adverse health outcomes.
• Prior Action Taken: 2020 Safety Communication already informs public and professionals.
• Not Legally Obligated: Minamata Convention not ratified; U.S. not bound to amend FDA rules.
• Labeling & Communication: FDA chose public brochures/web updates over mandatory patient labeling.
• Environmental Review Not Required: No major new federal action to trigger NEPA requirements."
FDA-2017-P-2245,4/7/2017,True,"Fresenius Kabi USA, LLC",industry/corporation,"- 21 C.F.R. § 10.20 – Submission of petitions
- 21 C.F.R. § 10.30 – Citizen petition procedures
- 21 C.F.R. § 314.3(b) – Definitions including reference listed drug
- Section 505(j) of the FD&C Act – ANDA provisions
- 21 C.F.R. § 10.31(a) – Environmental impact exemption","The absence of an FDA designation of a Reference Listed Drug (RLD) for Lactated Ringer’s and Dextrose 5% injections, despite several approved NDAs. The petitioner comments on the need for such designation to allow ANDA referencing","FDA should designate Baxter Healthcare’s NDA 016679 (Lactated Ringer’s and 5% Dextrose injection) as the Reference Listed Drug (RLD)
","- FDA’s Orange Book lists three NDAs for the formulation but none are currently designated as RLDs.
- ANDA applicants cannot proceed without an RLD.
- Designating NDA 016679 (Baxter) as the RLD would support development of multisource ANDAs for this formulation.
- The petitioner claims a categorical exclusion from environmental impact reporting and does not include economic impact due to non-applicability",,1.0,10/4/2017,10/4/2017,"Center for Drug Evaluation and Research (CDER)
",,"The FDA cited the need to address other Agency priorities and stated that due to numerous demands on resources, a final response could not yet be issued. An interim response was provided in compliance with regulatory requirements
",
FDA-2017-P-2365,4/14/2017,False,Senator Charles E. Schumer and Senator Kirsten Gillibrand,other,"- 21 U.S.C. §§ 301–399 (FDCA)
- 5 U.S.C. § 553(e) (APA)
- 21 U.S.C. § 331(a) – Prohibited acts
- 21 U.S.C. § 361(a) – Adulterated cosmetics
- 21 U.S.C. § 371(a) – Regulations
- 21 C.F.R. §§ 700.11–700.27 – Banned/restricted substances
- 21 C.F.R. § 700.13 – Mercury ban
- 21 C.F.R. § 700.19 – Methylene chloride
- 21 C.F.R. § 25.32(m) – Environmental categorical exclusion
- 21 C.F.R. § 10.30(b) – Economic impact requirement","The lack of FDA regulation prohibiting detectable levels of 1,4-dioxane in cosmetics, despite its carcinogenic risks and presence in consumer products","Request FDA to promulgate a rule declaring that cosmetics with detectable levels of 1,4-dioxane are adulterated and therefore illegal under the FDCA","- 1,4-dioxane is a likely human carcinogen and can be absorbed via skin contact.
- It is a contaminant, not an ingredient, so it does not appear on product labels, making it hard for consumers to avoid.
- Children are especially vulnerable, as shown by multiple studies and agency reports.
- Safe manufacturing techniques (e.g., vacuum stripping) exist to eliminate it.
- FDA has previously banned other substances (e.g., methylene chloride, mercury compounds) based on similar grounds.
- Therefore, banning detectable 1,4-dioxane would be consistent with FDCA goals and FDA precedent",Denied,1.0,10/11/2017,12/19/2017,Center for Food Safety and Applied Nutrition (CFSAN),"21 CFR 10.30(e) – Regulation governing FDA responses to citizen petitions
","The FDA cited ""a number of competing priorities"" as the reason for not completing a decision within the required timeframe. The agency stated that review is ongoing and that a final decision will be communicated when available
","- Scientific Evaluation: FDA found insufficient data demonstrating that any detectable concentration of 1,4-dioxane renders a cosmetic product injurious under conditions of use.
- Contaminant Nature: 1,4-dioxane is not intentionally added but forms as a manufacturing byproduct; technologies exist to reduce it, and many manufacturers already use them.
- Historical Testing: FDA monitored cosmetic products from 1981–2008 and observed significant decline in contamination levels (e.g., 92% of 2008 samples ≤10 ppm).
- External Expert Input: ICCR and SCCS reports concluded current trace levels in cosmetics are within accepted safety margins.
- Future Actions: FDA plans to update product surveys and continue posting guidance on 1,4-dioxane to promote transparency and safety
"
FDA-2017-P-2460,4/18/2017,True,AuroMedics Pharma LLC,industry/corporation,"- 21 C.F.R. § 10.30 – Citizen Petition process
- 21 C.F.R. § 10.20 – Submission of documents
- 21 C.F.R. § 10.25(a) – Right to petition
- 21 C.F.R. § 314.122 – Discontinued drugs
- 21 C.F.R. § 314.161 – Determination on safety/effectiveness of discontinued drugs
- 21 C.F.R. § 25.31(a) – Environmental impact exclusion","The discontinuation of NDA 019038 for CALAN® (verapamil hydrochloride) Injection, 2.5 mg/mL by GD Searle LLC. Petitioner seeks clarification that it was not withdrawn for safety or efficacy reasons
","- FDA should determine that NDA 019038 was not discontinued for safety or efficacy reasons.
- FDA should designate NDA 019038 as a Reference Listed Drug (RLD) to allow submission of an ANDA by Aurobindo","- NDA 019038 was approved on March 30, 1984, and has since been discontinued.
- There is no RLD currently designated for Verapamil Hydrochloride Injection in the Orange Book.
- Aurobindo intends to develop a generic version matching the same strengths, dosage form, active/inactive ingredients, and indications as the original formulation (see side-by-side comparison table on page 2).
- The formulation is medically identical and supports an ANDA submission if FDA grants the RLD designation",,,,,,,,
FDA-2017-P-2496,4/19/2017,False,"Abhai, LLC and KVK-Tech, Inc.",industry/corporation,"- 21 C.F.R. §§ 10.25(a), 10.30 – Citizen petition regulations
- 21 C.F.R. § 314.161 – Determining if a drug was withdrawn for safety/effectiveness reasons
- 21 C.F.R. §§ 314.122, 314.162 – Removal from Orange Book due to safety/effectiveness withdrawal
- 21 C.F.R. § 25.31(a) – Categorical exclusion from environmental assessment
- 21 C.F.R. § 10.30(b) – Economic impact information provision","Commenting on the discontinuation of Ritalin LA (methylphenidate hydrochloride) 60 mg, NDA #021284, by Novartis Pharmaceuticals, and seeking a determination of whether it was withdrawn for safety or effectiveness reasons","The petition requests FDA to determine whether the 60 mg strength of Ritalin LA was withdrawn for reasons of safety or effectiveness, to support submission of a 505(j) ANDA or 505(b)(2) NDA using it as the reference listed drug
","- Ritalin LA 60 mg was previously approved and listed in the Orange Book.
- It has since been discontinued by Novartis, as per Orange Book access on April 14, 2017.
- There is no public indication that the discontinuation was for safety or efficacy reasons.
- FDA's determination is needed to permit its reference in new drug applications",Approved (Determination Issued),0.0,,9/6/2017,"Center for Drug Evaluation and Research (CDER)
","- 21 CFR 10.30 – Procedures for citizen petitions
- 21 CFR 314.161 – Determining whether a listed drug was withdrawn from sale for safety or effectiveness reasons",,"- FDA Records Review: No evidence that Ritalin LA (60 mg) was withdrawn due to safety or effectiveness concerns.
- Independent Evaluation: FDA reviewed relevant literature and postmarketing data.
- Conclusion: The product was voluntarily discontinued for reasons other than safety or effectiveness, so it may serve as a reference listed drug for ANDAs
"
FDA-2017-P-2530,4/21/2017,False,"Lachman Consultant Services, Inc.",industry/corporation,"- 21 C.F.R. § 10.30 – Citizen petition procedure
- 21 C.F.R. § 314.161 – Drug withdrawal determination
- 21 C.F.R. § 25.31 – Categorical environmental exclusion
- 21 C.F.R. § 10.30(b) – Economic impact provision","Requesting a determination on whether Spectazole (Econazole Nitrate) Cream, 1%, approved under NDA 018751, was withdrawn for reasons of safety or effectiveness
","FDA is asked to determine that Spectazole (Econazole Nitrate) Cream, 1%) was not withdrawn for reasons of safety or effectiveness, thus allowing its use as a reference listed drug (RLD) for future ANDA submissions
","- The petitioner does not know why the drug was withdrawn, but states there is no known evidence of withdrawal for safety or efficacy reasons.
- The drug is still designated as an RLD in the Orange Book (as of April 20, 2017), although marked as discontinued.
- Another product (Econazole Nitrate Cream by Perrigo) is already designated by FDA as a reference for bioequivalence, supporting safe ANDA referencing",Approved (Determination Issued),0.0,,10/3/2017,"Center for Drug Evaluation and Research (CDER)
","Not explicitly stated in the letter, but the decision aligns with procedures under 21 CFR 314.161 (commonly cited in such determinations).
",,"- FDA Records Review: Confirmed no safety or effectiveness concerns led to market withdrawal.
- Regulatory Outcome: Product will continue to serve as a reference listed drug for ANDA filings if other legal and regulatory requirements are met
"
FDA-2017-P-2561,3/29/2017,False,KARA & Associates,law/consulting,"- 21 C.F.R. § 860.123 (Reclassification Petition)
- 21 C.F.R. § 888.5850 (Non-Powered Traction Apparatus – Class I)
- 21 C.F.R. § 890.5900 (Powered Traction Equipment – Class II)","The current Class II/Special Controls classification of the Hang Ups InvertAlign device under Product Code ITH, Regulation 890.5900. STL argues it should be reclassified to Class I/General Controls under Product Code HST, Regulation 888.5850","Reclassify the Hang Ups InvertAlign device from Class II to Class I, based on its non-powered, gravity-based operation that aligns with other Class I devices","- The device does not apply powered mechanical traction; rather, traction is achieved through gravity in an inverted position.
- It is technologically and functionally similar to Teeter Decompression Devices (cleared under 510(k) K162702 as Class I).
- It lacks restraint systems and powered force application used in true Class II traction devices like SpineMED®, VAX-D Genesis, or Healthstar Elite.
- A motor is used only to control inversion angle, not to apply traction.
- No known adverse data exists; reclassification would align with recent precedent",Denied,0.0,,6/18/2018,Center for Devices and Radiological Health (CDRH),"- Section 513(e) of the FD&C Act (21 U.S.C. 360c(e))
- 21 U.S.C. 360c(a)(3) – Valid scientific evidence
- 21 CFR 860.7(c)(2) – Scientific evidence standard
- 21 CFR 860.120(b) – Generic device reclassification
- 21 CFR 860.123(a)(6) – Reclassification petition contents
- 21 CFR 860.3 – Definition of ""generic type of device""
- 21 CFR 890.5900 – Power traction equipment (class II)
- 21 CFR 888.5850 – Nonpowered orthopedic traction devices (class I)
- Section 513(a)(1)(A)(i) of the FD&C Act – Class I criteria",,"- Insufficient Scientific Evidence: The petition lacked valid scientific evidence to support that general controls alone would ensure safety and effectiveness.
- Powered Component Risks: FDA cited risks such as potential for pinching, patient fall due to motor/power failure, lack of electromagnetic compatibility, and electrical safety concerns.
- Device Classification Appropriateness: Although the petitioner argued the motor was only for inversion and not traction, the device was still found to fit within 21 CFR 890.5900 as it contained powered components.
- Generic Device Reclassification Requirement Not Met: The petition addressed only one device (Hang Ups InvertAlign) and failed to provide evidence necessary to reclassify all substantially equivalent devices within its generic group, as required by regulation.
- Regulatory Criteria: The device remains classified as class II under 21 CFR 890.5900 due to its powered nature and associated risks, which warrant special controls
"
FDA-2017-P-2563,4/24/2017,False,The Tatia Oden French Memorial Foundation,advocacy/academic,"- 21 C.F.R. § 10.30 (Citizen Petition Procedure)
- 21 C.F.R. § 25.30(a) (Categorical Exclusion)
- 21 C.F.R. § 25.31(a) (Environmental Impact)
- References to the Sentinel Initiative under the Food and Drug Administration Amendments Act of 2007 are also noted as part of the regulatory framework","The FDA’s historical regulation and labeling of misoprostol (Cytotec) when used off-label for cervical ripening and induction of labor, as well as existing communications (e.g., Patient Information Sheets, labeling updates in 2012)","Conduct a Sentinel System query to evaluate adverse events associated with off-label use of misoprostol for cervical ripening and labor induction, potentially leading to label updates, safety alerts, or other regulatory actions","- Numerous reports and literature document serious adverse events (e.g., uterine rupture, hemorrhage, fetal distress, cerebral palsy, maternal and neonatal death) tied to off-label use of misoprostol
- The FDA Adverse Event Reporting System (FAERS) may suffer from underreporting, especially in off-label contexts
- Sentinel query would provide a more comprehensive and active surveillance approach
- Previous petitions, FDA labeling changes, and public health data (e.g., racial disparities in maternal mortality) further underscore the urgency and relevance of this action",Denied,1.0,10/19/2017,12/18/2018,"Center for Drug Evaluation and Research (CDER)
","- 21 CFR 10.30 – Citizen petition procedures
- Section 505 of the FD&C Act (implicitly referenced via discussion of drug labeling and approval)
- Specific regulatory citations are limited; much of the discussion is based on prior FDA decisions, risk assessment frameworks, and clinical literature rather than statutory mandates","- The petition requested a Sentinel query to assess adverse events related to unapproved use of misoprostol (Cytotec) for labor induction.
- FDA stated the petition raises complex issues that require extensive review and analysis by agency officials.
- The agency has therefore issued an interim response, indicating that a final decision will be made once that review is complete
","- Current Labeling Adequacy: FDA determined the current Cytotec labeling adequately reflects safety information, including the risks associated with unapproved obstetric use.
- Prior Regulatory Action: The agency had previously updated Cytotec labeling and issued public information following a 2004 petition on the same issue, which was granted in 2012.
- Sentinel Query Not Warranted: A Sentinel query would not offer meaningful new safety insights due to complexity, lack of robust data on unapproved use, and existing safety data from other systems like FAERS.
- Limitations of Sentinel and FAERS: Both systems have limitations in capturing data specific to off-label uses and may not provide clearer risk profiles than already known.
- No Basis for New Labeling Requirement: Based on the totality of scientific literature, case reports, adverse event monitoring, and expert recommendations (e.g., ACOG, WHO), additional regulatory action or labeling changes were not justified
"
FDA-2017-P-2626,4/26/2017,False,"Emord & Associates, P.C.",law/consulting,"- 21 C.F.R. § 10.30 – Citizen petition procedures
- 21 C.F.R. § 1240.61(a) – Interstate ban on unpasteurized milk
- 21 C.F.R. § 1240.61(b) – Temperature modifications for pasteurization
- 21 C.F.R. § 131.110 – Definition of milk
- 42 U.S.C. §§ 264(a) and 271(a) – Authority to prevent interstate spread of communicable diseases
- 65 Fed. Reg. 76091 – Shell egg safe handling rule","Commenting on the blanket federal prohibition of interstate commerce of unpasteurized (raw) milk and milk products under 21 C.F.R. § 1240.61(a)
","- FDA should exercise enforcement discretion to permit the interstate distribution of unpasteurized milk and milk products if they are properly labeled with a health risk warning and safe handling instructions.
- Accept state-level labeling where applicable or use the proposed federal warning and self-pasteurization instructions
","- Historical and cultural precedent for consuming raw milk, with low relative rates of illness.
- Raw milk is only one of many raw foods consumed (e.g., sushi, eggs, meat), but uniquely banned in interstate commerce.
- Self-pasteurization can be equally or more effective than industrial pasteurization if done immediately before consumption.
- Consumers deserve informed choice, and many already consume raw milk legally in intrastate commerce in 25 states.
- Enforcement of the ban has harmed small farmers, with examples of federal raids and legal action shared in the petition.
- Request aligns with recent Presidential Executive Orders aimed at reducing regulatory burdens, particularly on domestic manufacturing",Denied,1.0,10/17/2017,10/8/2019,Center for Food Safety and Applied Nutrition (CFSAN),"21 CFR 10.30(k) – States that the citizen petition process does not apply to requests involving referral of matters to the United States Attorney or enforcement discretion
","The FDA cited ""limited availability of resources and other agency priorities"" as the reason for not issuing a final decision within the 180-day period. The agency stated that it intends to complete the review and respond in the near future
","- Jurisdictional Limitations: The FDA stated that citizen petitions cannot be used to request the agency to exercise enforcement discretion or to refer matters to the U.S. Attorney for enforcement.
- Scope of Regulation: Per 21 CFR 10.30(k), such enforcement-related decisions fall outside the scope of allowable citizen petition content.
- Conclusion: As the petition requested the FDA to forgo enforcement under specific labeling conditions for raw milk, it was not a request the FDA could consider under its citizen petition rules, and thus it was denied
"
FDA-2017-P-2659,4/27/2017,False,Jubilant Generics Ltd.,industry/corporation,"- Section 505(j)(7) of the Federal Food, Drug, and Cosmetic Act (FDCA)
- 21 C.F.R. § 10.25 – Citizen petition procedures
- 21 C.F.R. § 10.30 – Citizen petition content
- 21 C.F.R. § 314.122 – Withdrawal of RLDs from the market
- 21 C.F.R. § 314.161 – Determination of withdrawal for safety/effectiveness
- 21 C.F.R. § 25.31(a) – Categorical environmental exclusion","The petitioner requests a determination from the FDA on whether the discontinuation of the Reference Listed Drug (RLD), NOROXIN® (NDA #019384), was for reasons other than safety or effectiveness, which would allow it to be referenced in an ANDA","FDA is asked to declare that NOROXIN® (Norfloxacin Tablets, 400 mg) was not withdrawn for safety or effectiveness reasons, enabling the submission of an Abbreviated New Drug Application (ANDA) referencing NOROXIN®
","- Under the FD&C Act, an ANDA must reference an RLD that is actively listed.
- If an RLD has been discontinued, a determination must be made whether the withdrawal was due to safety or efficacy issues.
- The petitioner asserts that no such safety or efficacy concerns were cited in the withdrawal of NOROXIN®.
- The petition qualifies for categorical environmental exclusion under 21 C.F.R. § 25.31(a).
- An economic impact statement will be submitted if requested",Approved (Determination Issued),1.0,10/13/2017,12/12/2017,"Center for Drug Evaluation and Research (CDER)
","- 21 CFR 314.161 – Procedure for determining if a drug was withdrawn for safety or effectiveness reasons
- 21 CFR 314.162 – Removal of drug products from the Orange Book due to withdrawal for safety or effectiveness reasons
- Section 505(j)(7) of the FD&C Act (21 U.S.C. 355(j)(7)) – Drug listing in the Orange Book
- 21 CFR 10.30 – Citizen petition procedures","- Agency Workload and Priorities: The FDA cited the need to address other priorities and demands on its resources as the reason for the delay.
- Pending Review: FDA noted the issue remains under review and a full response will be issued when possible","- FDA Review of Records: FDA reviewed internal records and found no evidence that Noroxin was withdrawn due to safety or effectiveness concerns.
- Independent Literature & Data Review: FDA reviewed available literature and postmarketing data for adverse events and found no safety-related withdrawal.
- Conclusion: The product was voluntarily discontinued for reasons other than safety or efficacy. It remains in the Orange Book under the ""Discontinued Drug Product List"" and may be referenced for ANDAs"
FDA-2017-P-2660,4/27/2017,False,Jubilant Generics Ltd.,industry/corporation,"- Section 505(j)(7) of the FD&C Act
- 21 C.F.R. § 10.25 – Citizen petitions
- 21 C.F.R. § 10.30 – Submission of petitions
- 21 C.F.R. § 314.122 – Drugs withdrawn from sale
- 21 C.F.R. § 314.161 – Determination of reasons for withdrawal
- 21 C.F.R. § 25.31(a) – Environmental impact categorical exclusion","The petitioner seeks a determination from the FDA that the discontinuation of CARDENE® SR (Nicardipine Hydrochloride Extended Release Capsules) was not for safety or effectiveness reasons, to allow use of the product as a reference listed drug (RLD) for ANDA submission
","FDA is requested to determine that the withdrawal of CARDENE® SR (NDA# 020005) was not for safety or efficacy reasons, enabling submission of an Abbreviated New Drug Application (ANDA) that relies on CARDENE® SR as the RLD","- An ANDA must reference a listed RLD; if the RLD is no longer marketed, FDA must confirm that the withdrawal was not for safety or effectiveness.
- CARDENE® SR was removed from the market but no indication of safety/efficacy concerns has been identified.
- The petitioner cites FDA regulations that allow filing of ANDAs based on discontinued products if such a determination is made.
- The petition also qualifies for a categorical environmental exclusion, and an economic impact statement will be submitted if requested",Approved (Determination Issued),1.0,10/23/2017,10/27/2017,"Center for Drug Evaluation and Research (CDER)
","- 21 CFR 314.161 (Implied but not explicitly stated in this letter)—FDA standard for determining withdrawal reasons.
- 21 CFR 10.30 – Citizen petition process (inferred from context; not directly cited).
- Orange Book Reference – Regulatory publication mentioned for drug listings.","- Pending Review: The petition requested a determination on whether Cardene SR (nicardipine hydrochloride) extended-release capsules (30 mg, 45 mg, and 60 mg) were withdrawn for safety or effectiveness reasons.
- Agency Prioritization: FDA had not completed its evaluation due to the need to address other pressing matters and limited resources.
- Regulatory Compliance: Issued this interim response in accordance with 21 CFR 10.30(e)(2), indicating ongoing review and commitment to respond when feasible","- Internal Records Review: FDA concluded that the product was not withdrawn for safety or effectiveness reasons.
- Listing Status: The product remains in the ""Discontinued Drug Product List"" in the Orange Book.
- Eligibility for ANDA: Since the product was not withdrawn due to safety or efficacy, it can be referenced in ANDAs if all regulatory criteria are met
"
FDA-2017-P-2661,4/27/2017,True,Foley & Lardner LLP,law/consulting,"- 21 C.F.R. § 10.30 – Citizen petition process
- 21 C.F.R. § 314.93 – Petition to request change in dosage form
- 21 C.F.R. § 314.94 – Requirements for Abbreviated New Drug Application (ANDA)
- 21 C.F.R. § 25.1(g) – Environmental impact exclusion
- 21 C.F.R. § 10.30(b) – Economic impact statement provision
- Section 505(j)(2)(C) of the FD&C Act","Requesting that the FDA allow submission of an ANDA for Empagliflozin Capsules (10 mg and 25 mg) as an alternative dosage form to the Reference Listed Drug (RLD), Jardiance Tablets (10 mg and 25 mg)
","FDA is requested to declare that:
1. Empagliflozin Capsules (10 mg and 25 mg) are suitable for submission as an ANDA.
2. The reference product is Jardiance Tablets (10 mg and 25 mg)
","- The proposed product has same active ingredient, strength, and route of administration as the RLD, differing only in dosage form (capsule vs. tablet).
- Intended to provide an alternative dosage form for patients with difficulty swallowing tablets.
- Labeling will be identical to the RLD except for manufacturer details and inactive ingredients.
- Pediatric study submission is deferred until after the RLD sponsor completes its requirements (post-August 2019).
- Environmental and economic reports are not required per FDA regulations",,,,,,,,
FDA-2017-P-2674,4/27/2017,True,Foley & Lardner LLP,law/consulting,"- 21 C.F.R. § 10.30 – Citizen petition process
- 21 C.F.R. § 314.93 – Petition to request a change in dosage form
- Section 505(j)(2)(C) of the FD&C Act – Suitability petitions for ANDAs
- 21 C.F.R. § 314.94 – ANDA content and format
- 21 C.F.R. § 25.1(g) – Environmental impact exclusion
- 21 C.F.R. § 10.30(b) – Economic impact statement provision","Requesting FDA approval for a suitability petition to allow submission of an ANDA for Empagliflozin and Linagliptin Capsules (10 mg/5 mg and 25 mg/5 mg), which differ in dosage form from the RLD Glyxambi (tablets)
","FDA is requested to declare that:
1. Empagliflozin and Linagliptin Capsules (10 mg/5 mg and 25 mg/5 mg) are suitable for submission as an ANDA under 21 C.F.R. § 314.94.
2. The RLD is Glyxambi Tablets (10 mg/5 mg, 25 mg/5 mg)
","- The only difference from the RLD is dosage form (capsule vs. tablet); active ingredients, strength, and route of administration are the same.
- Labeling will remain consistent with RLD, aside from manufacturer and excipient differences.
- The FDA has previously approved similar petitions to provide alternative forms for patients who have difficulty swallowing tablets.
- Pediatric study requirements for the RLD were waived by FDA.
- The petition qualifies for environmental and economic impact exclusions",,,,,,,,
