File ID,Petition File Name,Date of Petition,Was_Withdrawn,Document Type,Submitter,Submitter Type,Petition Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Interim Response Date,Final Decision,Last Response Date,Count of Interim,Responding FDA Center (of Final Decision),Responses Cited Statutes or Regulations,Justification for Interim Response,Justification for Final Response,Cleaned Final Decision,Year,Response Time (Days),Cleaned FDA Responding Center
fda-2017-p-1460,FDA-2017-P-1460-0001_Citizen_Petition_from_Covington___Burling_LLP.pdf,2017-03-09,True,original petition,Covington & Burling LLP,law/consulting,"- 21 C.F.R. §§ 10.20 and 10.30 (Citizen Petition procedures)
- 21 C.F.R. §§ 25.30 and 25.31 (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact)
- Section 505(j) of the FD&C Act","The petition addresses the designation of reference listed drugs (RLDs) in the FDA’s Orange Book, specifically advocating for RASUVO (methotrexate injection) to be listed as a second RLD alongside OTREXUP for subcutaneous methotrexate solution. 
","The petitioner requests that the FDA amend the Orange Book to designate RASUVO (NDA 205776) as a second reference listed drug (RLD) for methotrexate (solution) injection for subcutaneous use, in strengths ranging from 7.5 mg to 30 mg at 50 mg/mL concentration. 
","- The Orange Book currently lists OTREXUP (NDA 204824) as the sole RLD, with fixed volume (0.4 mL) and varying concentration per strength.
- RASUVO uses a fixed concentration (50 mg/mL) and varying volumes to achieve strengths, but the total drug content per dose is equivalent.
- RASUVO includes additional strengths (27.5 mg, 30 mg) not available in OTREXUP.
- A prior FDA petition (FDA-2014-P-0318) was denied when Antares Pharma tried to block non-OTREXUP products, with FDA affirming that products like RASUVO may differ in acceptable ways.
- This designation would support ANDAs for methotrexate products matching RASUVO’s formulation. ",8/31/2017,,2025-10-15,1.0,,,"- The citizen petition requested that FDA designate methotrexate solution injection for subcutaneous use (NDA 205776, Medac Pharma Inc.) in specific strengths as an additional reference listed drug in the Orange Book.
- FDA stated it could not yet reach a decision due to other agency priorities and limited resources, issuing this letter in compliance with federal regulations",,no decision,2017,3142.0,
fda-2017-p-1463,FDA-2017-P-1463-0001_Citizen_Petition_from_Tate___Lyle_Ingredients_Amer.pdf,2017-03-08,False,original petition,Tate & Lyle Ingredients Americas LLC,industry/corporation,"- 21 C.F.R. § 10.30 (Citizen Petition provision)
- 21 C.F.R. § 101.9(c)(1)(i) (caloric value labeling regulation)
- 21 C.F.R. § 25.31 (Environmental impact exclusion)","The petition comments on FDA's regulation of caloric values listed on nutrition labels, specifically requesting a rulemaking amendment to 21 C.F.R. § 101.9(c)(1)(i) to define a new caloric value for Allulose.
","The petitioner requests that FDA:
1. Amend 21 C.F.R. § 101.9(c)(1)(i) to specify that Allulose contributes 0.2 kcal/g and list it under a new subsection (G).
2. Set the amendment’s effective date 30 days after Federal Register publication.
3. Set the compliance date two years post-publication (three years for small manufacturers). ","- Scientific evidence, including a radiotracer metabolism study conducted by Tate & Lyle, demonstrated that Allulose is absorbed but not metabolized, and is excreted largely intact, contributing 0.2 kcal/g or less.
- The Iida et al. (2010) study estimated the caloric value between 0.20–0.39 kcal/g, supporting Tate & Lyle's position.
- A rigorous human 14C-labeled radiotracer study showed over 80% urinary recovery, minimal fecal excretion, and negligible 14CO2 in breath, confirming no significant metabolism.
- Animal studies (e.g., Matsuo 2002) supported these findings, showing Allulose’s energy deposition efficiency was only 0.3% of sucrose.
- The petitioner emphasizes that labeling Allulose at 0.2 kcal/g reflects the most scientifically accurate and conservative value based on current data. ",,,2025-10-15,0.0,,,,,no decision,2017,3143.0,
fda-2017-p-1495,FDA-2017-P-1495-0001_Citizen_Petition_from_Sandoz_Inc.pdf,2017-03-10,True,original petition,Sandoz Inc.,industry/corporation,"- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.3
- FDC Act § 505(j)
- FDC Act §§ 505(e)(1)–(5) and (j)(6)
- 21 C.F.R. § 25.31
- 21 C.F.R. § 10.30(b) ","The petition comments on the designation of reference standards in the Orange Book, specifically requesting that the FDA update the Orange Book to designate ANDA 065117 for Amoxicillin and Clavulanate Potassium Tablets USP, 500MG / 125MG as a reference standard, instead of the currently designated RLD (NDA 050564 - “AUGMENTIN” 500 by Dr. Reddy’s Labs). ","FDA is requested to: Designate ANDA 065117 as the reference standard for Amoxicillin and Clavulanate Potassium Tablets USP, 500MG / 125MG BASE in the Orange Book. 
","- The current RLD (NDA 050564) was unavailable for purchase in the U.S. market, creating a barrier to bioequivalence testing.
- Sandoz’s ANDA 065117 is the market leader in terms of units sold (as shown in the IMS sales data table on page 2).
- FDA guidance allows for new reference standard designation when distribution of the current standard is too limited to enable testing.
- Sandoz argues that these factors justify its ANDA product being listed as the reference standard. ",,,2025-10-15,0.0,,,,,no decision,2017,3141.0,
fda-2017-p-1911,FDA-2017-P-1911-0001_Citizen_Petition_from_Kleinfeld__Kaplan_and_Becker.pdf,2017-03-27,True,original petition,"Kleinfeld, Kaplan & Becker, LLP",law/consulting,"• 21 C.F.R. § 10.30 (Citizen‑petition rule) • 21 C.F.R. Parts 314 & 320 • FDCA §§ 505(b) & 505(j) (21 U.S.C. §§ 355(b), 355(j)) • FDCA § 505(b)(2) • 21 C.F.R. § 314.94(a)(9)(v) • 21 C.F.R. § 314.127(a)(8)(ii)(A) • 21 U.S.C. § 355(j)(4)(H) • 21 C.F.R. §§ 314.94(a)(8)(iv), 314.127(a)(7) • 21 C.F.R. § 25.31 • 16 C.F.R. Part 1700 • 21 C.F.R. § 3.2(e)(1)–(2)","FDA’s review & potential approval of any ANDA (505(j)) or 505(b)(2) NDA that references BUTRANS® as the reference‑listed drug.        
","Require that every such follow‑on application:
1. Include toxicology & extractable‑leachable data adequate to show safety equivalence to BUTRANS®; and
2. Provide a patch‑disposal system demonstrated, via comparative extraction, senior‑use and child‑resistance testing, to perform at least as safely and effectively as the BUTRANS Patch‑Disposal Unit.","Safety concerns: Differences in formulation or packaging can introduce toxicological risks that require data beyond standard bioequivalence testing; lack of a robust disposal system increases accidental exposure and abuse potential. Ensuring equivalent toxicology data and a proven disposal device is therefore necessary for follow‑on products to be “as safe as BUTRANS.”	
",,,2025-10-15,0.0,,,,,no decision,2017,3124.0,
fda-2017-p-2131,FDA-2017-P-2131-0001_Citizen_Petition_from_Menn_Law_Firm_LTD.pdf,2017-04-04,True,original petition,"Menn Law Firm, Ltd.",industry/corporation,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 C.F.R. §§ 10.20, 10.30, 314.161, 25.31(a), 25.15(d)","Reference Standard designation for Aminocaproic acid in the FDA Orange Book. Specifically, the petitioner is requesting FDA to replace the current Reference Standard (AMICAR 1g Tablets) with the 500mg strength.
","Request for FDA to designate AMICAR (Aminocaproic acid) 500mg Tablets (Application No. NDA 015197) as the Reference Standard (RS), replacing the unavailable 1g tablet strength
","- The current RS, AMICAR 1g tablets, is not actively marketed or available in the U.S. market.
- FDA guidance requires bioequivalence testing with the RS, but ANDA sponsors cannot obtain the 1g tablets.
- The 500mg version is actively marketed under the same NDA and should be designated as RS to enable product development and ANDA submission",,,2025-10-15,0.0,,,,,no decision,2017,3116.0,
fda-2017-p-2164,FDA-2017-P-2164-0001_Citizen_Petition_from_Steptoe___Johnson__LLP__Nati.pdf,2017-04-05,False,original petition,Steptoe & Johnson LLP,law/consulting,"- 21 C.F.R. §§ 10.25, 10.30, 10.33, 10.35
- 21 U.S.C. § 343(q)(5)(H)
- 5 U.S.C. § 553(b)(B), § 706
- Administrative Procedures Act (APA)
- Executive Order 13771
- Executive Order 13777 ","The Final Rule on Food Labeling: Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments (79 Fed. Reg. 71156, Dec. 1, 2014) 
","- Stay the effective date of the Final Rule (under 21 C.F.R. § 10.35(b))
- Reconsider the Final Rule and commence a new rulemaking process under section 4205 of the ACA (21 U.S.C. § 343(q)(5)(H))","- Impossibility of Compliance: Petitioners cite ambiguity in definitions (e.g., what constitutes a ""menu""), unaddressed compliance guidance, and unfeasible implementation timelines.
- Underestimated Costs: FDA underestimated compliance costs for non-restaurant retailers, which are in the hundreds of millions to billions of dollars.
- Overreach and Improper Scope: The Final Rule extends beyond what Congress intended by applying to businesses not “similar” to restaurants.
- First Amendment Concerns: The rule mandates potentially misleading commercial speech and fails to directly advance a substantial government interest.
- Inconsistency with Federal Policy: The Final Rule conflicts with executive directives aimed at reducing regulatory burdens on businesses. ",6/29/2017,,2025-10-15,1.0,,,"- The petition requested a stay and reconsideration of the FDA’s final rule on “Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments.”
- FDA explained that they were still reviewing the petition and that they had already extended the compliance date for the rule to May 7, 2018 (as published in the Federal Register on May 4, 2017, 82 Fed. Reg. 20825).
- FDA also noted they were extending the comment period on the interim final rule by another 30 days and encouraged further comments
",,no decision,2017,3115.0,
fda-2017-p-2231,FDA-2017-P-2231-0001_Citizen_Petition_from_Qilu_Pharma__Inc__as_the_US_.pdf,2017-04-07,True,original petition,"Qilu Pharma, Inc.",industry/corporation,"- 21 CFR § 10.25(a) – General procedures for submitting petitions
- 21 CFR § 10.30 – Citizen petition requirements
- 21 CFR § 25.31(a) – Environmental impact categorical exclusion","FDA’s current designation of only one RLD for Carboplatin Injection (application No. N020452, by CordenPharma), which is listed in the Discontinued Section of the Orange Book
",Request to designate Pharmachemie BV’s Carboplatin Injection (A077269) as an additional RLD to support Qilu’s ANDA submission for identical dosage strengths,"- Existing RLD (CordenPharma) is discontinued, though not withdrawn for safety or effectiveness reasons.
- Pharmachemie BV’s product matches dosage strengths (50 mg/5 mL, 150 mg/15 mL, 450 mg/45 mL, 600 mg/60 mL at 10 mg/mL).
- Designation would facilitate Qilu’s ANDA filing for identical strengths, aiding generic market entry",,,2025-10-15,0.0,,,,,no decision,2017,3113.0,
fda-2017-p-2245,FDA-2017-P-2245-0001_Citizen_Petiton_from_Fresenius_Kabi_USA__LLC.pdf,2017-04-07,True,original petition,"Fresenius Kabi USA, LLC",industry/corporation,"- 21 C.F.R. § 10.20 – Submission of petitions
- 21 C.F.R. § 10.30 – Citizen petition procedures
- 21 C.F.R. § 314.3(b) – Definitions including reference listed drug
- Section 505(j) of the FD&C Act – ANDA provisions
- 21 C.F.R. § 10.31(a) – Environmental impact exemption","The absence of an FDA designation of a Reference Listed Drug (RLD) for Lactated Ringer’s and Dextrose 5% injections, despite several approved NDAs. The petitioner comments on the need for such designation to allow ANDA referencing","FDA should designate Baxter Healthcare’s NDA 016679 (Lactated Ringer’s and 5% Dextrose injection) as the Reference Listed Drug (RLD)
","- FDA’s Orange Book lists three NDAs for the formulation but none are currently designated as RLDs.
- ANDA applicants cannot proceed without an RLD.
- Designating NDA 016679 (Baxter) as the RLD would support development of multisource ANDAs for this formulation.
- The petitioner claims a categorical exclusion from environmental impact reporting and does not include economic impact due to non-applicability",10/4/2017,,2025-10-15,1.0,,,"The FDA cited the need to address other Agency priorities and stated that due to numerous demands on resources, a final response could not yet be issued. An interim response was provided in compliance with regulatory requirements
",,no decision,2017,3113.0,
fda-2017-p-2460,FDA-2017-P-2460-0001_Citizen_Petition_from_AuroMedics_Pharma_LLC__Aurob.pdf,2017-04-18,True,original petition,AuroMedics Pharma LLC,industry/corporation,"- 21 C.F.R. § 10.30 – Citizen Petition process
- 21 C.F.R. § 10.20 – Submission of documents
- 21 C.F.R. § 10.25(a) – Right to petition
- 21 C.F.R. § 314.122 – Discontinued drugs
- 21 C.F.R. § 314.161 – Determination on safety/effectiveness of discontinued drugs
- 21 C.F.R. § 25.31(a) – Environmental impact exclusion","The discontinuation of NDA 019038 for CALAN® (verapamil hydrochloride) Injection, 2.5 mg/mL by GD Searle LLC. Petitioner seeks clarification that it was not withdrawn for safety or efficacy reasons
","- FDA should determine that NDA 019038 was not discontinued for safety or efficacy reasons.
- FDA should designate NDA 019038 as a Reference Listed Drug (RLD) to allow submission of an ANDA by Aurobindo","- NDA 019038 was approved on March 30, 1984, and has since been discontinued.
- There is no RLD currently designated for Verapamil Hydrochloride Injection in the Orange Book.
- Aurobindo intends to develop a generic version matching the same strengths, dosage form, active/inactive ingredients, and indications as the original formulation (see side-by-side comparison table on page 2).
- The formulation is medically identical and supports an ANDA submission if FDA grants the RLD designation",,,2025-10-15,0.0,,,,,no decision,2017,3102.0,
fda-2017-p-2661,FDA-2017-P-2661-0001_Citizen_Petition_from_Foley___Lardner_LLP.pdf,2017-04-27,True,original petition,Foley & Lardner LLP,law/consulting,"- 21 C.F.R. § 10.30 – Citizen petition process
- 21 C.F.R. § 314.93 – Petition to request change in dosage form
- 21 C.F.R. § 314.94 – Requirements for Abbreviated New Drug Application (ANDA)
- 21 C.F.R. § 25.1(g) – Environmental impact exclusion
- 21 C.F.R. § 10.30(b) – Economic impact statement provision
- Section 505(j)(2)(C) of the FD&C Act","Requesting that the FDA allow submission of an ANDA for Empagliflozin Capsules (10 mg and 25 mg) as an alternative dosage form to the Reference Listed Drug (RLD), Jardiance Tablets (10 mg and 25 mg)
","FDA is requested to declare that:
1. Empagliflozin Capsules (10 mg and 25 mg) are suitable for submission as an ANDA.
2. The reference product is Jardiance Tablets (10 mg and 25 mg)
","- The proposed product has same active ingredient, strength, and route of administration as the RLD, differing only in dosage form (capsule vs. tablet).
- Intended to provide an alternative dosage form for patients with difficulty swallowing tablets.
- Labeling will be identical to the RLD except for manufacturer details and inactive ingredients.
- Pediatric study submission is deferred until after the RLD sponsor completes its requirements (post-August 2019).
- Environmental and economic reports are not required per FDA regulations",,,2025-10-15,0.0,,,,,no decision,2017,3093.0,
