File Name,Date of Response,Identity of Submitting Entity,Source_Year
FDA-2000-P-1064-0003_Interim_Response_Letter_from_FDA_CFSAN_to_Mead_Joh.pdf,"February 3, 2000",FDA CFSAN to Mead Joh,2000
FDA-2000-P-1218-0003_FDA_CDER_Interim_Response_to_Public_Citizen_Health.pdf,"March 13,200",Public Citizen Health,2000
FDA-2000-P-1218-0005_Partial_Approval_Denial_from_FDA_CDER_to_Public_Ci.pdf,"October 30, 2008",FDA CDER to Public Ci,2000
FDA-2000-P-1373-0009_Interim_Response_Letter_from_FDA_CDER_to_American_.pdf,"November 1, 2000",FDA CDER to American,2000
FDA-2000-P-1375-0001_Response_Letter_from_FDA_CFSAN_to_Arnall_Golden___.pdf,"May 6, 2024",FDA CFSAN to Arnall Golden,2000
FDA-2000-P-1400-0023_Interim_Response_from_FDA_CDER_to_Genelabs_Technol.pdf,"April 19,2000",FDA CDER to Genelabs Technol,2000
FDA-2000-P-1558-0005_Approval_Letter_from_FDA_CDER_to_GensiaSicor_Pharm.pdf,"June 20,2000",FDA CDER to GensiaSicor Pharm,2000
FDA-2001-P-0030-0003_FDACDER_Response_to_Duramed_Pharmaceuticals__Inc__.pdf,7/9/02,"Duramed Pharmaceuticals, Inc.",2001
FDA-2001-P-0122-0007_Interim_Response_Letter_from_FDA_CFSAN_to_Ruth_Arm.pdf,7/27/01,Ruth Armstrong,2001
FDA-2001-P-0123-0029_FDA_Response_to_The_Center_for_Reproductive_Law___.pdf,6/9/06,The Center for Reproductive Law & Policy,2001
FDA-2001-P-0153-0001_FDA_Office_of_Legislation_Response_to_the_Honorabl.pdf,"January 29,2003",The Honorable Louise M. Slaughter (CI),2001
FDA-2001-P-0153-0002_FDA_CFSAN_Response_to_Heather_Brodie_Perry___Petit.pdf,03/15/10,Heather Brodie Perry,2001
FDA-2001-P-0154-0005_Interim_Response_from_FDA_CDER_to_ASTA_Medica__Inc.pdf,01/30/02,"Asta Medical, Inc.",2001
FDA-2001-P-0239-0006_Final_Response_from_FDA_CFSAN_to_Krislov___Associa.pdf,7/2/20,"Krislov & Associates, Ltd.",2001
FDA-2001-P-0452-0001_Approval_Letter_from_FDA_CDER_to_AA1_International.pdf,"August 30,2001",FDA CDER to AA1 International,2001
FDA-2001-P-0483-0008_FDA_Office_for_Policy_Response_to_the_Center_for_F.pdf,"June 21,2004",the Center for F,2001
FDA-2001-P-0521-0004_Interim_Response_Letter_from_FDA_CDER_to_Bennett__.pdf,"May 8,200",FDA CDER to Bennett,2001
FDA-2001-P-0524-0003_FDA_CDER_Interim_Response_to_Lawrence_D__Bernhardt.pdf,"June 22, 2012",Lawrence D  Bernhardt,2001
FDA-2002-P-0001-0005_Response_Letter_from_FDA_CDER_to_CorePharma_LLC.pdf,05/28/03,"Corepharma, Llc",2002
FDA-2002-P-0007-0002_Interim_Response_to_The_Weinberg_Group_Inc.pdf,"September 
16, 
2002",The Weinberg Group Inc,2002
FDA-2002-P-0007-0013_FDA_CDER_Response_to_The_Weinberg_Group_Inc_Denial.pdf,"June 1, 2004",The Weinberg Group Inc Denial,2002
FDA-2004-P-0001-0003_FDA_CBER_Interim_Response_to_Coalition_for_Mercury.pdf,02/04/05,Coalition for Mercury-free Drugs (CoMeD),2004
FDA-2004-P-0001-0004_FDA_CBER_Response_to_Coalition_for_Mercury_free_Dr.pdf,09/26/06,Coalition for Mercury-free Drugs (CoMeD),2004
FDA-2004-P-0001-0007_FDA_CBER_Response_to_Coalition_for_Mercury_Free_Dr.pdf,"October 21, 2006",Coalition for Mercury Free Dr,2004
FDA-2004-P-0001-0008_FDA_CBER_Response_to_Coalition_for_Mercury_Free_Dr.pdf,"March 12, 2007",Coalition for Mercury Free Dr,2004
FDA-2004-P-0006-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,04/14/05,Lachman Consultant Services Inc,2004
FDA-2004-P-0094-0003_FDA_CFSAN_Interim_Response_to_National_Starch_and_.pdf,12/29/04,National Starch And Chemical Company,2004
FDA-2004-P-0115-0004_REDACTED_Interim_Response_from_FDA_CDER_to_Barbara.pdf,11/05/15,Barbara E. Kennedy-Neslusan,2004
FDA-2004-P-0151-0003_FDA_CDER_Interim_Response_to_McNeil_Consumer___Spe(1).pdf,09/07/04,Mcneil Consumer & Specialty Pharmaceuticals,2004
FDA-2004-P-0151-0003_FDA_CDER_Interim_Response_to_McNeil_Consumer___Spe(2).pdf,09/07/04,Mcneil Consumer & Specialty Pharmaceuticals,2004
FDA-2004-P-0151-0003_FDA_CDER_Interim_Response_to_McNeil_Consumer___Spe.pdf,09/07/04,Mcneil Consumer & Specialty Pharmaceuticals,2004
FDA-2004-P-0158-0001_Response_Letter_from_FDA_CDRH_to_Roche_Diagnostics(1).pdf,1/28/04,Roche Diagnostics Corporation,2004
FDA-2004-P-0158-0001_Response_Letter_from_FDA_CDRH_to_Roche_Diagnostics(2).pdf,1/28/04,Roche Diagnostics Corporation,2004
FDA-2004-P-0158-0001_Response_Letter_from_FDA_CDRH_to_Roche_Diagnostics.pdf,1/28/04,Roche Diagnostics Corporation,2004
FDA-2004-P-0215-0038_FDA_CDER_Response_to_Hill_Dermaceuticals__Inc____P.pdf,"September 30, 2004",Hill Dermaceuticals  Inc    P,2004
FDA-2004-P-0279-0009_Final_Response_from_FDA_CFSAN_to_Center_for_Scienc.pdf,"April 5, 2024",FDA CFSAN to Center for Scienc,2004
FDA-2004-P-0294-0051_FDA_Response_to_Office_of_the_Attorney_General_Sta.pdf,"MAY 
2003",Office of the Attorney General Sta,2004
FDA-2005-P-0003-0003_FDA_CDER_to_Sandoz_Inc____Interim_Response.pdf,05/04/06,Sandoz Inc.,2005
FDA-2005-P-0007-0004_FDA_CVM_Interim_Response_to_the_Environmental_Defe.pdf,10/4/05,Environmental Defense,2005
FDA-2005-P-0007-0007_FDA_Response_to_the_Environmental_Defense___Petiti.pdf,11/7/11,Environmental Defense,2005
FDA-2005-P-0064-0006_FDA_CDER_Response_to_Illinois_Attorney_General_s_O.pdf,07/24/08,Gregory E. Skipper. M. D.,2005
FDA-2005-P-0070-0006_Neurological_Devices__Denial_of_Request_for_Change.pdf,"May 28, 1976",,2005
FDA-2005-P-0120-0003_FDA_CDER_Interim_Response_to_Shire_Pharmacueticals.pdf,04/17/06,Shire Pharmaceuticals Group,2005
FDA-2005-P-0120-0030_FDA_CDER_Response_to_Shire_Pharmaceuticals_Inc_Par.pdf,06/22/12,Shire Pharmaceuticals Group,2005
FDA-2005-P-0122-0003_Interim_Response_Letter_from_FDAFDA_CDER_to_Buchan.pdf,06/07/06,Buchanan Ingersoll PC,2005
FDA-2005-P-0192-0003_Interim_Response_to_Public_Citizen_s_Health_Resear.pdf,04/18/06,Public Citzen'S Health Research Group,2005
FDA-2005-P-0194-0002_Interim_Response_Letter_from_FDA_CDER_to_Warren_Ru.pdf,6/21/06,Warren Rucker,2005
FDA-2005-P-0194-0003_Response_letter_from_FDA_Warren_Rucker_Redacted.pdf,7/27/17,Warren Rucker,2005
FDA-2005-P-0196-0003_Interim_Response_from_FDA_CFSAN_to_the_Center_for_.pdf,6/5/06,Center For Science In The Public Interest (Cspi),2005
FDA-2005-P-0196-0056_FDA_Final_Response_to_CSPI_on_Sodium___2016_06_01.pdf,6/1/16,Center For Science In The Public Interest (Cspi),2005
FDA-2005-P-0198-0002_Interim_Response_Letter_from_FDA_CFSAN_to_Perricon.pdf,7/18/05,Perricone Juices,2005
FDA-2005-P-0221-0009_FDA_CDER_Response_to_UCSF_National_Center_of_Excel.pdf,4/19/13,Ucsf National Center Of Excellence In Women'S Health,2005
FDA-2005-P-0256-0001_Interim_Response_Letter_from_FDA_CDER__to_Public_C.pdf,10/4/05,Public Citizen,2005
FDA-2005-P-0266-0007_FDA_CDER_Response_Letter_to_Lachman_Consultant_Ser.pdf,10/1/09,"Lachman Consultant Services, Inc.",2005
FDA-2006-P-0282-0015_Response_Letter_from_FDA_CDER_to_The_States_of_Kan.pdf,3/22/21,"The States of Kansas, Minnesota, Vermont and Wisconsin from FDA CDER",2006
FDA-2006-P-0286-0004_FDA_CDER_to_Strides__Inc____Final_Response_to_Citi.pdf,2/2/10,Strides Inc.,2006
FDA-2006-P-0329-0003_Interim_Response_to_Mylan_Laboratories_Inc_.pdf,9/12/06,Mylan Laboratories Inc.,2006
FDA-2006-P-0331-0004_Interim_Response_from_FDA_CDER_to_Rakoczy_Molino_M.pdf,11/2/06,Rakoczy Molino Mazzochi Siwik Llp,2006
FDA-2007-P-0003-0009_FDA_CDER_Response_to_Purdue_Pharma_L_P____Letter.pdf,4/30/08,Purdue Pharma L.P.,2007
FDA-2007-P-0009-0006_FDA_Response_to_the_Honorable_Dianne_Feinstein__in.pdf,"April 28, 2008",the Honorable Dianne Feinstein  in,2007
FDA-2007-P-0009-0009_Interim_Response_to_The_National_Center_on_Addicti.pdf,5/6/11,The National Center On Addiction And Substance Abuse At Columbia University (Casa),2007
FDA-2007-P-0009-0010_FDA_CDER_Response_to_National_Center_on_Addiction_.pdf,7/17/2013,The National Center On Addiction And Substance Abuse At Columbia University (Casa),2007
FDA-2007-P-0010-0013_FDA_Response_to_Axcan_Scandipharm__Inc____Letter.pdf,1/30/08,"Axcan Scandipharm, Inc.",2007
FDA-2007-P-0011-0003_FDA_CDER_Interim_Response_to_Lachman_Consultant_Se.pdf,7/16/07,"Lachman Consultant Services, Inc",2007
FDA-2007-P-0011-0006_FDA_CDER_Response_Letter_to_Lachman_Consultant_Ser.pdf,1/27/08,"Lachman Consultant Services, Inc",2007
FDA-2007-P-0013-0003_FDA_CDRH_Interim_Response_to_Fuerst__Humphrey__Itt.pdf,4/29/08,"Fuerst, Humphrey, Ittleman, Pl",2007
FDA-2007-P-0055-0003_Interim_Response_from_FDA_CDER_to_Pharmaceutical_S.pdf,7/28/07,Pharmaceutical Scientist Inc.,2007
FDA-2007-P-0055-0007_Denial_Letter_from_FDA_CDER_to_Therapeutic_Protein.pdf,11/20/16,Pharmaceutical Scientist Inc.,2007
FDA-2007-P-0056-0003_FDA_CDER_Interim_Response_to_Greenberg_Traurig__LL.pdf,9/7/07,Greenberg Traurig Llp,2007
FDA-2007-P-0065-0005_Interim_Response_Letter_from_FDA_CDER_to_Ropes___G.pdf,9/26/07,"Ortho-Mcneil, Inc.",2007
FDA-2007-P-0065-0015_FDA_CDER_Response_to_Purdue_Pharma_LP_Kleinfeld_Ka.pdf,2/18/09,"Ortho-Mcneil, Inc.",2007
FDA-2007-P-0108-0003_FDA_CDER_Interim_Response_letter_to_the_University.pdf,9/3/07,University Of Florida,2007
FDA-2007-P-0109-0005_FDA_Response_to_People_for_the_Ethical_Treatment_o.pdf,"November 14, 2007",People for the Ethical Treatment o,2007
FDA-2007-P-0109-0006_FDA_Response_to_The_Honorable_Peter_J__Visclosky__.pdf,"November 14, 2007",The Honorable Peter J  Visclosky,2007
FDA-2007-P-0109-0007_FDA_Response_to_The_Honorable_Peter_J__Visclosky__.pdf,"November 14, 2007",The Honorable Peter J  Visclosky,2007
FDA-2007-P-0109-0012_FDA_OC_Response_Letter_to_Meyer_Glitzenstein_and_C.pdf,5/19/10,Mandatory Alternatives Petition Coalition,2007
FDA-2007-P-0110-0003_FDA_CDER_Interim_Response_to_the_Physicians_Commit.pdf,6/12/08,Physicians Committee For Responsible Medicine (Pcrm),2007
FDA-2007-P-0111-0008_FDA_Response_to_Astellas_Pharma_US__Inc____Letter.pdf,3/13/08,"Astellas Pharma Us, Inc.",2007
FDA-2007-P-0117-0011_FDA_CDRH_Interim_Response_to_Health_Care_Without_H.pdf,5/4/09,Health Care Without Harm (Sanford Lewis),2007
FDA-2007-P-0122-0052_FDA_CFSAN_Interim_Response_to_Compassion_Over_Kill.pdf,"February 21, 2007",Compassion Over Kill,2007
FDA-2007-P-0122-0058_FDA_CFSAN_Response_to_Compassion_Over_Killing_and_.pdf,"June 18,2003",Compassion Over Killing and,2007
FDA-2007-P-0123-0009_FDA_Response_to_Mutual_Pharmaceutical_Company__Inc.pdf,4/17/08,"United Research Laboratories, Inc., Mutual Pharmaceutical Company, Inc.",2007
FDA-2007-P-0128-0003_FDA_CDER_Interrim_Response_to_King_Pharmaceuticals.pdf,3/24/08,"King Pharmaceuticals, Inc.",2007
FDA-2007-P-0130-0020_Denial_Letter_Response_to_National_Toxic_Encephalo.pdf,9/29/14,National Toxic Encephalopathy Foundation,2007
FDA-2007-P-0168-0013_FDA_CBER_Interim_Response_to_CareToLive___Letter.pdf,1/17/08,Caretolive,2007
FDA-2007-P-0168-0049_FDA_CBER_Response_to_Bellinger___Donahue__CareToLi.pdf,1/17/08,Bellinger   Donahue  CareToLi,2007
FDA-2007-P-0169-0006_FDA_to_Solvay_Pharmaceuticals__Inc____Response_Let.pdf,4/25/08,"Unimed Pharmaceuticals, Inc.",2007
FDA-2007-P-0170-0008_FDA_CDER_Interim_Response_to_Teva_Pharmaceuticals_.pdf,2/7/08,Teva Pharmaceuticals Usa,2007
FDA-2007-P-0170-0009_FDA_CDER_Response_to_Teva_Pharmaceuticals_USA___Pe.pdf,3/12/08,Teva Pharmaceuticals Usa,2007
FDA-2007-P-0171-0003_FDA_CDER_tp_Warner_Chilcott__Inc____Interim_Respon.pdf,10/9/07,Warner Chilcott Inc.,2007
FDA-2007-P-0178-0065_FDA_CFSAN_Interim_Response_to_John_Edwards_Erb___L.pdf,11/5/08,John Edward Erb,2007
FDA-2007-P-0180-0003_FDA_Response_to_the_Honorable_Steve_Israel___Answe.pdf,"February 13,2008",the Honorable Steve Israel   Answe,2007
FDA-2007-P-0180-0007_FDA_CDER_Interim_Response_to_Covington___Burling__.pdf,4/23/08,The Alliance Against Alveolar Soft Part Sarcoma And The Sarcoma Foundation Of America,2007
FDA-2007-P-0180-0008_FDA_Response_to_the_Honorable_Patrick_J__Kennedy__.pdf,"February 11,2008",the Honorable Patrick J  Kennedy,2007
FDA-2007-P-0180-0009_FDA_Response_to_the_Honorable_Edolphus__Ed__Towns_.pdf,"January 8,2008",the Honorable Edolphus  Ed  Towns,2007
FDA-2007-P-0180-0012_FDA_Response_to_the_Honorable_Orrin_G__Hatch__M_Or.pdf,"October 26, 2007",the Honorable Orrin G  Hatch  M Or,2007
FDA-2007-P-0180-0013_FDA_Response_to_the_Honorable_Tim_Ryan___Answer_.pdf,"October 26, 2007",the Honorable Tim Ryan   Answer,2007
FDA-2007-P-0180-0014_FDA_Response_to_the_Honorable_Richard_G__Lugar__S_.pdf,"October 26, 2007",the Honorable Richard G  Lugar  S,2007
FDA-2007-P-0180-0015_FDA_Response_to_the_Honorable_Mitch_McConnell__S_M.pdf,"October 26, 2007",the Honorable Mitch McConnell  S M,2007
FDA-2007-P-0180-0016_FDA_Response_to_the_Honorable_Richard_G__Lugar__E_.pdf,"October 26, 2007",the Honorable Richard G  Lugar  E,2007
FDA-2007-P-0180-0017_FDA_Response_to_the_Honorable_Richard_G__Lugar__M_.pdf,"October 26, 2007",the Honorable Richard G  Lugar  M,2007
FDA-2007-P-0180-0018_FDA_Response_to_the_Honorable_Olympia_J__Snowe__G_.pdf,"October 26, 2007",the Honorable Olympia J  Snowe  G,2007
FDA-2007-P-0180-0019_FDA_Response_to_Mr__Gerald_A__Cormier__Jr____Lette.pdf,"October 26, 2007",Mr  Gerald A  Cormier  Jr    Lette,2007
FDA-2007-P-0180-0020_FDA_Response_Letter_to_The_Honorable_Steve_Israel_.pdf,"March 25, 2009",The Honorable Steve Israel,2007
FDA-2007-P-0181-0004_FDA_CDER_Interim_Response_letter_to_Charles_E__Web.pdf,8/26/07,Charles E. Weber,2007
FDA-2007-P-0181-0014_FDA_CDER_Final_response_letter_to_Charles_E__Weber.pdf,2/6/12,Charles E. Weber,2007
FDA-2007-P-0184-0005_FDA_Response_to_Judy_Slome_Cohain___Citizen_Petiti.pdf,8/11/08,Judy Slome Cohain,2007
FDA-2007-P-0186-0005_FDA_CDER_Interim_Response_to_Kleinfeld_Kaplan_and_.pdf,9/7/07,Purdue Pharma L.P.,2007
FDA-2007-P-0186-0008_FDA_CDER_Response_to_Kleinfeld_Kaplan_and_Becker_L.pdf,2/18/09,Purdue Pharma L.P.,2007
FDA-2007-P-0188-0003_Interim_Response_Letter_from_FDA_CDER_to_Beckloff_.pdf,6/25/08,"Beckloff Associates, Inc.",2007
FDA-2007-P-0190-0003_FDA_CDER_Interim_Response_to_Public_Citizen_s_Heal.pdf,7/30/07,Public Citizen's Health Research Group,2007
FDA-2007-P-0232-0003_FDA_CBER_Interim_Response_to_the_Coalition_for_Mer.pdf,2/8/08,Coalition For Mercury-Free Drugs (Comed),2007
FDA-2007-P-0232-0004_FDA_OC_Response_to_the_Coalition_for_Mercury_Free_.pdf,11/21/08,Coalition For Mercury-Free Drugs (Comed),2007
FDA-2007-P-0234-0004_FDA_CDER_Interim_Response_to_Terence_J_Mix.pdf,5/28/08,"Terence J. Mix, Esq.",2007
FDA-2007-P-0234-0006_FDA_CDER_Response_Letter_to_Terence_J_Mix_Esq_Peti.pdf,9/8/09,"Terence J. Mix, Esq.",2007
FDA-2007-P-0234-0014_FDA_OC_to_Terence_J__Mix__Esq____Denial_of_Petitio.pdf,3/8/12,"Terence J. Mix, Esq.",2007
FDA-2007-P-0234-0017_FDA_CDER_Interim_Response_to_Terence_J__Mix.pdf,"NOVEMBER 26, 2007",Terence J  Mix,2007
FDA-2007-P-0236-0003_Interim_Response_letter_from_FDA_CDER_to_Foley___L.pdf,9/20/07,Three-Laboratory Consortium,2007
FDA-2007-P-0243-0006_Final_Response_Letter_to_Michael_J__Dochniak.pdf,7/14/20,Michael J. Dochniak,2007
FDA-2007-P-0245-0003_FDA_CDER_Interim_Response_to_Perdue_Pharma_L_P____.pdf,12/6/07,Purdue Pharma L.P.,2007
FDA-2007-P-0248-0004_Interim_Response_Letter_from_FDA_CDER_to_Cornersto.pdf,2/7/08,Cornerstone Regulatory,2007
FDA-2007-P-0248-0006_Final_Response_Letter_from_FDA_CDER_to_Cornerstone.pdf,9/9/15,Cornerstone Regulatory,2007
FDA-2007-P-0250-0003_FDA_Response_to_Kendle_International___Letter.pdf,3/13/08,"Sun Pharmaceuticals, Ltd.",2007
FDA-2007-P-0292-0003_FDA_CFSAN_Response_to_Prolacta_Bioscience___Petiti.pdf,3/19/09,Prolacta Bioscience,2007
FDA-2007-P-0294-0002_FDA_CDER_Interim_Response_to_Arnold___Porter__LLP_.pdf,3/13/08,Takeda Pharmaceuticals North America,2007
FDA-2007-P-0299-0002_Interim_Response_Letter_from_FDA_CDER_to_Clinical_.pdf,12/26/07,Clinical And Laboratory Standards Institute (CLSI),2007
FDA-2007-P-0300-0003_FDA_Response_to_AAIPharma___Letter.pdf,2/19/08,AAIPharma,2007
FDA-2007-P-0339-0003_Interim_Response_to_Anil_K__Mandal__M_D__.pdf,2/13/08,"Anil K. Mandal, M.D.",2007
FDA-2007-P-0339-0004_FDA_CDER_to_Anil_K__Mandal__M_D____Peititon_Denial.pdf,12/14/10,"Anil K. Mandal, M.D.",2007
FDA-2007-P-0345-0004_FDA_CDER_Interim_Response_to_HellerEhrman_LLP___Le.pdf,3/17/08,Hellerehrman Llp,2007
FDA-2007-P-0346-0011_FDA_CDER_Interim_Response_to_Palomar_College___Let.pdf,10/27/2010,"Richard Sauerheber, Palomar College",2007
FDA-2007-P-0346-0135_Agency_Response_Letter_to__Richard_Sauerheber__Ph_.pdf,10/27/2010,Richard Sauerheber  Ph,2007
FDA-2007-P-0349-0007_FDA_Response_to_Engel___Novitt__LLP___Letter.pdf,3/19/08,"Engel & Novitt, Llp",2007
FDA-2007-P-0352-0002_FDA_CDER_Interim_Response_to_Sheppard__Mullin__Ric.pdf,11/19/07,Sheppard Mullin Richter & Hampton Llp,2007
FDA-2007-P-0353-0001_Letter_from_FDA_CDER_Interim_Response_to_JRRapoza_.pdf,7/25/07,"Jrrapoza Associates, Inc.",2007
FDA-2007-P-0401-0003_FDA_CDER_Interim_Response_to_Public_Citizen_s_Heal.pdf,12/10/07,Public Citizen Health Research Group,2007
FDA-2007-P-0403-0003_FDA___Steven_D__Vaughn___Final_Response___Approval.pdf,11/27/07,Norbrook Inc.,2007
FDA-2007-P-0404-0005_FDA_CFSAN_Interim_Response_to_Ellen_M_Ashworth_Red.pdf,7/27/07,Ellen M. Ashworth,2007
FDA-2007-P-0404-0006_FDA_CFSAN_Response_to_Ellen_M_Ashworth_Redacted.pdf,5/29/20,Ellen M. Ashworth,2007
FDA-2007-P-0412-0005_Final_Response_Letter_from_FDA_CFSAN_to_Cary_Smith.pdf,9/13/17,C Smith,2007
FDA-2007-P-0413-0003_FDA_CDER_Response_Letter_to_the_Pharmacists_Planni.pdf,"March 30,2007",the Pharmacists Planni,2007
FDA-2007-P-0413-0004_FDA_CDER_Interim_Response_to_the_Pharmacists_Plann.pdf,8/17/07,"Pharmacists Planning Service, Inc.",2007
FDA-2007-P-0413-0007_FDA_CDER_Response_to_the_Pharmacists_Planning_Serv.pdf,6/12/13,"Pharmacists Planning Service, Inc.",2007
FDA-2007-P-0415-0003_FDA_CDER_Interim_Response_to_HARMD__Inc____Letter.pdf,12/12/07,Harmd (Helping America Reduce Methadone Deaths),2007
FDA-2007-P-0416-0004_Interim_Response_Letter_from_FDA_CDER_to_Sapna_Loh.pdf,5/15/08,Sapna Lohiya (Royal Medical Group),2007
FDA-2007-P-0416-0010_Interim_Response_Letter_from_FDA_CDER_to_Sapna_Loh.pdf,"November 20, 2007",FDA CDER to Sapna Loh,2007
FDA-2007-P-0483-0006_Denial_Response_Letter_from_FDA_CDER_to_Matrix_Lab.pdf,4/25/23,"Matrix Laboratories, Inc.",2007
FDA-2008-P-0278-0003_FDA_CDER_Interim_Response_to_Regulus_Pharmaceutica.pdf,5/2/08,Regulus Pharmaceutica,2008
FDA-2008-P-0279-0007_FDA_CDER_Interim_Response_to_Pedinol_Pharmacal__In.pdf,5/6/08,Pedinol Pharmacal  In,2008
FDA-2008-P-0284-0005_FDA_CDER_Interim_Response_to_Bedford_Laboratories_.pdf,5/9/08,Bedford Laboratories,2008
FDA-2008-P-0291-0003_FDA_CDER_Interim_Response_to_PRN_Publishing___Lett.pdf,5/13/08,PRN Publishing   Lett,2008
FDA-2008-P-0296-0018_FDA_CDER_Interim_Response_to_Public_Citizen___Lett.pdf,6/12/08,Public Citizen   Lett,2008
FDA-2008-P-0296-0023_FDA_CDER_response_to_Public_Citzen_Health_Research.pdf,6/12/08,Public Citzen Health Research,2008
FDA-2008-P-0300-0003_FDA_CDER_Interim_Response_to_Salix_Pharmaceuticals.pdf,"May 14, 2008",Salix Pharmaceuticals,2008
FDA-2008-P-0320-0003_FDA_CDER_Interim_Response_to_Lachman_Consultant_Se.pdf,6/2/08,Lachman Consultant Se,2008
FDA-2008-P-0320-0005_Final_Response_from_FDA_CDER_to_Lachman_Consultant.pdf,"May 28, 2008",FDA CDER to Lachman Consultant,2008
FDA-2008-P-0330-0003_FDA_CDER_Interim_Response_to_Rakoczy_Molino_Mazzoc.pdf,6/11/08,Rakoczy Molino Mazzoc,2008
FDA-2008-P-0330-0005_FDA_CDER_Response_to_Rakoczy_Molino_Mazzochi_Siwik.pdf,"May 30, 2008",Rakoczy Molino Mazzochi Siwik,2008
FDA-2008-P-0333-0003_Interim_Response_Letter_from_FDA_CDER_to_Michael_W.pdf,6/11/08,FDA CDER to Michael W,2008
FDA-2008-P-0333-0024_Response_Letter_from_FDA_CDER_to_Michael_Weber.pdf,MAY 10 2010,FDA CDER to Michael Weber,2008
FDA-2008-P-0336-0003_CFSAN_ONLDS_Interim_Response_to_Patton_Boggs_LLP__.pdf,6/12/08,Patton Boggs LLP,2008
FDA-2008-P-0346-0003_FDA_Office_of_Policy_Interim_Response_to_Jacob_S__.pdf,"June 4, 2008",Jacob S,2008
FDA-2008-P-0347-0005_Redacted_Response__Letter_from__JoAnne_Tobacman.pdf,"September 08, 2008",JoAnne Tobacman,2008
FDA-2008-P-0347-0008_Cornucopia_Institute_Response_to_FDA_CFSAN_Letter.pdf,"March 15, 2013",FDA CFSAN Letter,2008
FDA-2008-P-0349-0007_Interim_Response_Letter_from_FDA_CFSAN_to_the_Cent.pdf,"December 12, 2008",FDA CFSAN to the Cent,2008
FDA-2008-P-0358-0007_Interim_Response_Letter_from_FDA_CDER_to_James_P__.pdf,6/26/08,FDA CDER to James P,2008
FDA-2008-P-0363-0012_FDA_CBER_Interim_Response_to_Nordic_Cryobank_ApS__.pdf,"June 19,
2008",Nordic Cryobank ApS,2008
FDA-2008-P-0363-0013_FDA_CBER_Interim_Response_to_Nordic_Cryobank_ApS__.pdf,"January 8, 2009",Nordic Cryobank ApS,2008
FDA-2008-P-0368-0007_FDA_CDER_Interim_Response_to_ISTA_Pharmaceuticals_.pdf,7/1/08,ISTA Pharmaceuticals,2008
FDA-2008-P-0380-0004_FDA_CDER_Interim_Response_to_National_Association_.pdf,7/8/08,National Association,2008
FDA-2008-P-0384-0004_FDA_CVM_Interim_Response_to_Laurie_Rentas___Letter.pdf,7/3/08,Laurie Rentas   Letter,2008
