File Name,Date of Petition,Identity of Submitting Entity,Source_Year
FDA-2000-P-1218-0001_Citizens_Petition_from_Public_Citizen_Health_Group.pdf,"March 7, 2000",Public Citizen Health Group,2000
FDA-2000-P-1219-0001_Citizen_Petition_from_GensiaSicor_Pharmaceuticals.pdf,"August 23, 2000",GensiaSicor Pharmaceuticals,2000
FDA-2000-P-1373-0002_Citizen_Petition_from_American_College_of_Obstetri.pdf,"August 
23, 2000",American College of Obstetri,2000
FDA-2000-P-1381-0001_Citizen_Petition_from_Yamanouchi_Pharma_Technologi.pdf,"June 19,200",Yamanouchi Pharma Technologi,2000
FDA-2000-P-1400-0001_Citizen_Petition_from_Genelabs_Technologies_Inc.pdf,"April 19, 2000",Genelabs Technologies Inc,2000
FDA-2000-P-1558-0001_Suitability_Citizen_Petition_from_GensiaSicor_Phar.pdf,"June 19, 2000",GensiaSicor Phar,2000
FDA-2000-P-1558-0004_Supplement_Letter_to_Suitability_Petition_from_Gen.pdf,"June 19, 2000",Gen,2000
FDA-2001-P-0030-0004_Duramed_Pharmaceuticals__Inc____Citizen_Petition.pdf,5/1/01,"Duramed Pharmaceuticals, Inc.",2001
FDA-2001-P-0054-0002_Citizen_Petition_from_Ferndale_Laboratories__Inc_.pdf,11/8/01,"Ferndale Laboratories, Inc.",2001
FDA-2001-P-0122-0002_Citizen_Petition_from_Ruth_Armstrong_Redacted.pdf,1/19/01,Ruth Armstrong,2001
FDA-2001-P-0154-0003_Citizen_Petition_from_ASTA_Medical__Inc_.pdf,7/26/01,"Asta Medical, Inc.",2001
FDA-2001-P-0238-0004_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,9/18/01,"Lachman Consultant Services, Inc.",2001
FDA-2001-P-0239-0001_Citizen_Petition_from_Krislov___Associates__LTD_.pdf,4/20/01,"Krislov & Associates, Ltd.",2001
FDA-2001-P-0241-0005_Citizen_Petition_from_Ferndale_Laboratories__Inc_.pdf,8/10/01,"Ferndale Labortories, Inc.",2001
FDA-2001-P-0283-0001_Citizen_Petition_from_Public_Citizen_Health_Resear.pdf,8/27/01,Public Citizen Health Research Group,2001
FDA-2001-P-0294-0001_Citizen_Petition_from_Public_Citizen_Health_Resear.pdf,"August 15, 2001",Public Citizen Health Resear,2001
FDA-2001-P-0321-0001_Citizen_Petition_from_Washington_Legal_Foundation.pdf,"April 
17, 
2001",Washington Legal Foundation,2001
FDA-2001-P-0412-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"February 
9,200",Lachman Consultant Services,2001
FDA-2001-P-0445-0001_Apotex_Corp____Citizen_Petition.pdf,"March 26,200",Apotex Corp,2001
FDA-2001-P-0483-0009_Petition_from_Center_for_Food_Safety___Transgenic_.pdf,"June 21,2004",Center for Food Safety   Transgenic,2001
FDA-2001-P-0521-0002_Citizen_Petition_from_Bennett__Turner___Coleman__L.pdf,"May 8,200",Bennett  Turner   Coleman  L,2001
FDA-2001-P-0563-0003_Boehringer_Ingelheim_Pharm_Inc___Petition_for_Stay.pdf,"October 10,200",Boehringer Ingelheim Pharm Inc,2001
FDA-2001-P-0565-0001_Citizen_Petition_from_Bioniche_Pharma__Canada__Ltd.pdf,"March 26,200",Bioniche Pharma  Canada  Ltd,2001
FDA-2001-P-0565-0006_Citizen_Petition_Supplement_from_Bioniche_Pharma__.pdf,"March 29, 2001",Bioniche Pharma,2001
FDA-2002-P-0001-0002_Citizen_Petition_from_CorePharma_LLC.pdf,11/5/02,"Corepharma, Llc",2002
FDA-2002-P-0002-0002_Petition_for_Stay_of_Action_from_Bayer_Corporation.pdf,8/5/02,Bayer Corporation,2002
FDA-2002-P-0007-0009_Citizens_Petition_from_The_Weinberg_Group_Inc_.pdf,"September 13,2002",The Weinberg Group Inc,2002
FDA-2002-P-0007-0011_Petition_for_Reconsideration_from_The_Weinberg_Gro.pdf,"June 1,2004",The Weinberg Gro,2002
FDA-2002-P-0041-0024_Petition_for_Health_Claims__Phosphatidylserine_and.pdf,4/19/02,,2002
FDA-2002-P-0046-0003_Citizen_Petition_from_Arla_Foods_Ingredients_amba_.pdf,1/9/02,"Arla Foods Ingredients Amba (Hyman, Phelps & Mcnamara, Pc)",2002
FDA-2003-P-0118-0003_Suitability_Petition_from_Vetoquinol_N__A__Inc_.pdf,"July 14, 2003",Vetoquinol N  A  Inc,2003
FDA-2003-P-0122-0004_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,10/1/03,"Lachman Consultant Services, Inc.",2003
FDA-2003-P-0127-0003_Citizen_Petition_from_The_Weinberg_Group__Inc_.pdf,6/27/03,"The Weinberg Group, Inc.",2003
FDA-2003-P-0174-0024_American_Lung_Association___Citizen_Petition.pdf,1/29/03,American Lung Association,2003
FDA-2004-P-0006-0005_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,7/2/04,Lachman Consultant Services Inc,2004
FDA-2004-P-0023-0002_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,9/13/04,"Lachman Consultant Services, Inc.",2004
FDA-2004-P-0036-0004_Citizen_Petition_from_The_Industry_Coalition.pdf,9/17/04,Industry Coalition,2004
FDA-2004-P-0086-0004_Citizen_Petition_from_Ben_Venue_Laboratories.pdf,11/18/04,Ben Venue Laboratories,2004
FDA-2004-P-0095-0003_Citizen_Petition_from_Coalition_To_Preserve_DSHEA.pdf,April 82004,Coalition To Preserve DSHEA,2004
FDA-2004-P-0099-0003_Citizen_Petition_from_The_Weinberg_Group_Inc.pdf,"March 23,2004",The Weinberg Group Inc,2004
FDA-2004-P-0115-0005_Citizen_Petition_from_Barbara_E__Kennedy_Neslusan_.pdf,2/25/04,Barbara E. Kennedy-Neslusan,2004
FDA-2004-P-0151-0009_McNeil_Pediatrics___Amendment_Petition.pdf,"March 19, 2004",Mcneil Consumer & Specialty Pharmaceuticals,2004
FDA-2004-P-0155-0004_Citizen_Petition_from_Cancer_Action_NY.pdf,12/30/03,Cancer Action Ny,2004
FDA-2004-P-0155-0007_Closure_of_Citizen_Petition_from_Donald_Hassig.pdf,1/24/24,Cancer Action Ny,2004
FDA-2004-P-0157-0003_Citizen_Petition_from_Robert_Cohen.pdf,2/6/04,Robert Cohen,2004
FDA-2004-P-0158-0003_Change_in_Classification_of_Petition_from_Roche_Di.pdf,12/5/03,Roche Diagnostics Corporation,2004
FDA-2004-P-0164-0009_Billy_G__Pierson___Citizen_Petition.pdf,10/13/03,Billy G. Pierson,2004
FDA-2004-P-0164-0013_Billy_G__Pierson___Petition_for_Stay.pdf,3/15/04,Billy G. Pierson,2004
FDA-2004-P-0164-0016_Bill_Pierson___Petition_for_Stay.pdf,5/10/04,Billy G. Pierson,2004
FDA-2004-P-0176-0005_Citizen_Petition_from_Arent_Fox_PLLC.pdf,12/14/04,Arent Fox Pllc,2004
FDA-2004-P-0176-0005_Citizen_Petition_from_Arent_Fox__P_L_L_C_.pdf,12/14/04,Arent Fox Pllc,2004
FDA-2004-P-0210-0006_Citizen_Petition_from_Center_for_Science_in_the_Pu.pdf,10/28/04,Center For Science In The Public Interest (Cspi),2004
FDA-2004-P-0210-0007_Citizen_Petition_Supplement_from_Center_for_Scienc.pdf,"October 28,2004",Center for Scienc,2004
FDA-2004-P-0215-0008_Hill_Dermaceuticals__Inc____Citizen_Petition.pdf,"April 14, 
2004",Hill Dermaceuticals  Inc,2004
FDA-2004-P-0274-0004_Alza_Corporation___Citizen_Petition.pdf,11/12/04,Alza Corporation,2004
FDA-2004-P-0278-0005_Citizen_Petition_from_Center_for_Science_in_the_Pu.pdf,7/22/04,Center For Science In The Public Interest (Cspi),2004
FDA-2004-P-0278-0006_Citizen_Petition_Supplement_from_Center_for_Scienc.pdf,"July 22, 2004",Center for Scienc,2004
FDA-2004-P-0279-0003_Citizen_Petition_from_the_Center_for_Science_in_th.pdf,5/18/04,The Center For Science In The Public Interest (Cspi),2004
FDA-2004-P-0290-0004_Citizen_Petition_from_Celltech_Americas__Inc_.pdf,5/6/04,"Celltech Americas, Inc.",2004
FDA-2004-P-0295-0003_Citizen_Petition_from_University_of_Medicine_and_D.pdf,3/3/04,University Of Medicine And Dentistry Of New Jersey-Robert Wood Johnson Medical School,2004
FDA-2004-P-0341-0001_Citizen_Petition_from_STD_Prevention_and_Control_S.pdf,"July 12, 2004",STD Prevention and Control S,2004
FDA-2004-P-0419-0004_Citizen_Petition_from_Nico_Worldwide__LLC.pdf,7/2/04,"Nico Worldwide, Llc",2004
FDA-2005-P-0003-0004_Sandoz_Inc____Citizen_Petition.pdf,11/1/05,Sandoz Inc.,2005
FDA-2005-P-0006-0003_Citizens_Petition_from_Warner_Chilcott_Inc.pdf,1/21/05,Warner Chilcott Inc.,2005
FDA-2005-P-0009-0004_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,4/7/05,"Lachman Consultant Services, Inc.",2005
FDA-2005-P-0056-0004_Citizens_Petition_from_David_S__Lowe.pdf,8/10/05,David S. Lowe,2005
FDA-2005-P-0056-0005_Supplement_re_Citizens_Petition_from_David_S__Lowe.pdf,"August
25,
2005",David S  Lowe,2005
FDA-2005-P-0059-0009_Citizen_Petition___American_College_of_Gastroenter.pdf,6/27/05,American College Of Gastroenterology,2005
FDA-2005-P-0068-0002_Citizen_Petition_from_Ben_Venue_Laboratories.pdf,1/4/05,Ben Venue Laboratories,2005
FDA-2005-P-0068-0005_Amendment__Citizen_Petition__from_Ben_Venue_Labora.pdf,9/2/05,Ben Venue Laboratories,2005
FDA-2005-P-0082-0004_Citizens_Petition_from_Sun_Pharmaceutical_Industri.pdf,"March 22,200",Sun Pharmaceutical Industri,2005
FDA-2005-P-0120-0004_Shire_Pharmaceuticals_Group_Citizen_Petition.pdf,10/17/05,Shire Pharmaceuticals Group,2005
FDA-2005-P-0126-0004_Citizen_Petition_from_David_J_Getoff___Redacted_.pdf,5/14/05,David J. Getoff,2005
FDA-2005-P-0130-0009_New_York_Medical_College__et_al___Citizen_Petition.pdf,2/15/05,"New York Medical College, Et Al",2005
FDA-2005-P-0134-0003_Citizens_Petition_from_Lachman_Consultant_Services.pdf,4/25/05,"Lachman Consultant Services, Inc.",2005
FDA-2005-P-0150-0004_Citizens_Petition_from_Teva_Pharmaceuticals_USA.pdf,2/18/05,Teva Pharmaceuticals Usa,2005
FDA-2005-P-0190-0005_Citizen_Petition_from_Sterne__Kessler__Goldstein__.pdf,10/5/05,"Sterne, Kessler, Goldstein & Fox, P.L.L.C.",2005
FDA-2005-P-0190-0006_Supplement_to_Citizen_Petition_from_Sterne__Kessle.pdf,"October 7,2005","Sterne, Kessler, Goldstein & Fox, P.L.L.C.",2005
FDA-2005-P-0191-0004_Citizen_Petition_from_Pine_Grove_Behavioral_Health.pdf,11/1/05,Pine Grove Behavioral Health & Addiction Services,2005
FDA-2005-P-0194-0004_Citizen_Petition_from_Warren_Rucker__redacted_.pdf,12/29/05,Warren Rucker,2005
FDA-2005-P-0196-0007_Salt_and_Sodium__Petition_to_Revise_the_Regulatory.pdf,"June 11, 2008",Revise the Regulatory,2005
FDA-2005-P-0196-0030_Citizen_Petition_from_Center_for_Science_in_the_Pu.pdf,11/8/05,Center For Science In The Public Interest (Cspi),2005
FDA-2005-P-0196-0036_Salt_and_Sodium__Petition_to_Revise_the_Regulatory.pdf,"October 23, 2007",Revise the Regulatory,2005
FDA-2005-P-0199-0003_Natural_Solutions_Foundation___Citizen_Petition.pdf,10/20/05,Natural Solutions Foundation,2005
FDA-2005-P-0221-0004_Citizens_Petition_from_UCSF_National_Center_of_Exc.pdf,3/15/05,Ucsf National Center Of Excellence In Women'S Health,2005
FDA-2005-P-0256-0003_Citizen_Petition_from_Public_Citizen.pdf,7/29/05,Public Citizen,2005
FDA-2005-P-0259-0005_Citizen_Petition_from_BioStratum__Inc_.pdf,1/22/09,"Biostratum, Inc.",2005
FDA-2005-P-0260-0003_Citizen_Petition_from_Ed_Groves__Sr___redacted_.pdf,1/18/05,"Ed Groves, Sr.",2005
FDA-2005-P-0266-0003_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,9/27/05,"Lachman Consultant Services, Inc.",2005
FDA-2005-P-0266-0004_Supplement_to_Citizen_Petition_from_Lachman_Consul.pdf,"August 24, 2006",Lachman Consul,2005
FDA-2005-P-0266-0005_Amendment_to_Citizen_Petition_from_Lachman_Consult.pdf,"June 28, 2006",Lachman Consult,2005
FDA-2006-P-0282-0001_Citizen_Petition_from_The_States_of_Kansas__Minnes.pdf,"August 3, 2006",The States of Kansas  Minnes,2006
FDA-2006-P-0284-0004_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,3/31/06,"Lachman Consultant Services, Inc.",2006
FDA-2006-P-0285-0003_Citizen_Petition_from_Olsson__Frank_and_Weeda__P_C.pdf,"February 9, 2006",Olsson  Frank and Weeda  P C,2006
FDA-2006-P-0325-0005_Citizen_Petition_from_Vaccine_For_All_LLC.pdf,12/28/06,Vaccine For All Llc,2006
FDA-2006-P-0327-0006_Beckloff_Associates___Citizen_Petition.pdf,9/28/06,Beckloff Associates,2006
FDA-2006-P-0329-0007_Mylan_Laboratories_Inc____Citizen_Petition.pdf,3/17/06,Mylan Laboratories Inc.,2006
FDA-2006-P-0332-0004_Citizen_Petition_from_Sparhawk_Laboratories__Inc.pdf,6/21/06,"Sparhawk Laboratories, Inc",2006
FDA-2007-P-0001-0004_Unimed_Pharmaceuticals__Inc____Citizen_Petition.pdf,9/27/07,"Unimed Pharmaceuticals, Inc.",2007
FDA-2007-P-0003-0004_Purdue_Pharma_L_P____Citizen_Petition.pdf,7/12/07,Purdue Pharma L.P.,2007
FDA-2007-P-0003-0007_Endo_Pharmaceuticals___Citizen_Petition_to_supplem.pdf,7/12/07,supplem,2007
FDA-2007-P-0004-0003_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,3/27/07,"Lachman Consultant Services, Inc.",2007
FDA-2007-P-0006-0002_Matrix_Laboratories__Inc____Citizen_Petition.pdf,10/22/07,"Matrix Laboratories, Inc.",2007
FDA-2007-P-0007-0006_Sara_Lee_Corporation___Citizen_Petition.pdf,04/13/2007,Sara Lee Corporation,2007
FDA-2007-P-0010-0002_Axcan_Scandipharm__Inc____Citizen_Petition.pdf,6/30/07,"Axcan Scandipharm, Inc.",2007
FDA-2007-P-0011-0004_Lachman_Consultant_Services_Inc_Citizen_Petition.pdf,1/16/07,"Lachman Consultant Services, Inc",2007
FDA-2007-P-0012-0004_Medicis___Citizen_Petition.pdf,4/20/07,Medicis,2007
FDA-2007-P-0013-0002_Fuerst__Humphrey__Ittleman__PL___Citizen_Petition.pdf,10/16/07,"Fuerst, Humphrey, Ittleman, Pl",2007
FDA-2007-P-0014-0003_Citizen_Petition_from_JR_Rapoza_Associates__Inc_.pdf,3/14/07,"Jr Rapoza Associates, Inc.",2007
FDA-2007-P-0015-0003_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,1/28/07,"Lachman Consultant Services, Inc.",2007
FDA-2007-P-0017-0002_Mutual_Pharmaceutical_Company___Citizen_Petition.pdf,7/27/07,Mutual Pharmaceutical Company,2007
FDA-2007-P-0050-0006_Supplement_to_Petition_from_Baltimore_City_Health_.pdf,"May 2, 2007",Baltimore City Health,2007
FDA-2007-P-0050-0023_Citizen_Petition_from_Baltimore_City_Health_Depart.pdf,3/1/07,Baltimore City Health Department Et Al,2007
FDA-2007-P-0052-0002_King_Pharmaceuticals__Inc___Citizen_Petition.pdf,10/30/07,"King Pharmaceuticals, Inc",2007
FDA-2007-P-0053-0003_Citizen_Petition_from_West_Ward_Pharmaceutical_Cor.pdf,2/19/07,West-Ward Pharmaceutical Corp.,2007
FDA-2007-P-0054-0003_Citizen_Petition_from_Zydus_Pharmaceuticals_USA__I.pdf,4/4/07,"Zydus Pharmaceuticals Usa, Inc.",2007
FDA-2007-P-0055-0004_Citizen_Petition_from_Pharmaceutical_Scientist_Inc.pdf,1/3/07,Pharmaceutical Scientist Inc.,2007
FDA-2007-P-0056-0004_Citizen_Petition_from_Greenberg_Traurig_LLP.pdf,3/12/07,Greenberg Traurig Llp,2007
FDA-2007-P-0058-0003_Citizen_Petition_from_Keller_And_Heckman_LLP.pdf,3/20/07,Keller And Heckman Llp,2007
FDA-2007-P-0059-0003_Citizen_Petition_from_Olsson__Frank_And_Weeda__P__.pdf,3/28/07,"Olsson, Frank And Weeda, P. C.",2007
FDA-2007-P-0062-0003_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,1/12/07,"Lachman Consultant Services, Inc.",2007
FDA-2007-P-0063-0003_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,1/31/07,"Lachman Consultant Services, Inc.",2007
FDA-2007-P-0064-0003_Emil_A__Tanghetti__M_D____Citizen_Petition.pdf,5/20/07,"Emil A. Tanghetti, M.D.",2007
FDA-2007-P-0065-0006_Citizen_Petition_from_Ropes___Gray_LLP__Ortho_McNe.pdf,3/30/07,"Ortho-Mcneil, Inc.",2007
FDA-2007-P-0065-0014_Petition_for_Stay_of_Action_from_Purdue_Pharma_LP_.pdf,"May 2, 2007",Purdue Pharma LP,2007
FDA-2007-P-0066-0002_W__L__Driscoll___Citizen_Petition.pdf,12/5/07,W. L. Driscoll,2007
FDA-2007-P-0107-0006_Citizen_Petition_from_Vaccine_for_All_LLC.pdf,1/4/07,Vaccine For All Llc,2007
FDA-2007-P-0108-0005_Citizen_Petition_from_University_of_Florida.pdf,2/6/07,University Of Florida,2007
FDA-2007-P-0109-0002_Mandatory_Alternatives_Petition_Coalition_Citizen_.pdf,11/20/07,Mandatory Alternatives Petition Coalition,2007
FDA-2007-P-0111-0003_Astellas_Pharma_US__Inc____Citizen_Petition.pdf,9/21/07,"Astellas Pharma Us, Inc.",2007
FDA-2007-P-0111-0013_FDA_to_Astellas_Pharma_US__Inc____Petition_and_Sup.pdf,"September 21,2007","Astellas Pharma Us, Inc.",2007
FDA-2007-P-0112-0002_Thunder_Bay_Seafood_Co___Inc____PASA_Petition_for_.pdf,9/19/07,"Thunder Bay Seafood Co., Inc.",2007
FDA-2007-P-0113-0002_Celgene_Corporation___Citizen_Petition.pdf,9/20/07,Celgene Corporation,2007
FDA-2007-P-0114-0003_Citizen_Petition_from_B__Braun_Medical__Inc_.pdf,3/25/07,"B. Braun Medical, Inc.",2007
FDA-2007-P-0114-0005_Amendment_to_Citizen_Petition_from_B__Braun_Medica.pdf,3/25/07,B  Braun Medica,2007
FDA-2007-P-0116-0003_Citizen_Petition_from_Dean_Andrew_Kantis.pdf,1/4/07,Dean Andrew Kantis,2007
FDA-2007-P-0116-0004_Citizen_Petition_from_Dean_Andrew_Kantis.pdf,"January 4, 2007",Dean Andrew Kantis,2007
FDA-2007-P-0118-0012_Thomas_J__Quinn___Citizen_Petition_1.pdf,8/26/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0013_Dwight_G__Castle___Citizen_Petition_2.pdf,9/4/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0014_Dave_Wayne___Citizen_Petition_3.pdf,9/3/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0015_John_Gilbert___Citizen_Petition_4.pdf,9/12/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0016_Michael_E__Masterman___Citizen_Petition_5.pdf,9/16/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0017_John_W__Shaw___Citizen_Petition_6.pdf,9/16/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0018_Rebecca_Gilbert___Citizen_Petition_7.pdf,9/17/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0019_Jeffrey_P__Frontier___Citizen_Petition_8.pdf,9/25/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0020_Michael_F__Clark_Citizen_Petition_9.pdf,10/10/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0021_Shawn_Bryant___Citizen_Petition_11.pdf,11/8/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0022_James_Whalen___Citizen_Petition_12.pdf,11/8/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0118-0023_Robert_E__Parks___Citizen_Petition_10.pdf,10/17/07,"Dwight G. Castle. Rebecca Gilbert, James Whalen, Thomas J. Quinn, Michael E. Masterman, Jeffrey P. Frontier, John W. Shaw, Michael F. Clark, Dave Wayne, John Gilbert, Robert E. Parks, Shawn Bryant",2007
FDA-2007-P-0119-0003_Citizen_Petition_from_Cancer_Prevention_Coalition_.pdf,2/20/07,"Cancer Prevention Coalition, Et Al",2007
FDA-2007-P-0126-0003_Akorn_Strides__LLC___Citizen_Petition.pdf,4/27/07,"Akorn-Strides, Llc",2007
FDA-2007-P-0128-0002_King_Pharmaceuticals__Inc____Citizen_Petition.pdf,9/26/07,"King Pharmaceuticals, Inc.",2007
FDA-2007-P-0129-0003_Alcon_Research__Ltd____Citizen_Petition.pdf,4/19/07,"Alcon Research, Ltd.",2007
FDA-2007-P-0168-0011_CareToLive___Citizen_Petition.pdf,6/26/07,Caretolive,2007
FDA-2007-P-0168-0014_CareToLive___Supplement_Citizen_Petition_2_.pdf,6/26/07,Caretolive,2007
FDA-2007-P-0168-0015_CareToLive___Supplement_to_Citizen_Petition.pdf,6/26/07,Citizen Petition,2007
FDA-2007-P-0168-0017_CareToLive___Supplement_to_Citizen_Petition.pdf,6/26/07,Citizen Petition,2007
FDA-2007-P-0169-0002_Unimed_Pharmaceuticals__Inc____Citizen_Petition.pdf,10/28/07,"Unimed Pharmaceuticals, Inc.",2007
FDA-2007-P-0170-0002_Teva_Pharmaceuticals_USA___Citizen_Petition.pdf,8/5/07,Teva Pharmaceuticals Usa,2007
FDA-2007-P-0171-0004_Warner_Chilcott_Inc____Citizen_Petition.pdf,4/9/07,Warner Chilcott Inc.,2007
FDA-2007-P-0172-0002_Thunder_Bay_Seafood_Co___Inc___Petition_for_Stay.pdf,9/19/07,"Thunder Bay Seafood Co., Inc",2007
FDA-2007-P-0174-0002_Thunder_Bay_Seafood_Co___Inc____Petition_for_Stay.pdf,"September 27, 2007",Thunder Bay Seafood Co   Inc,2007
FDA-2007-P-0175-0002_VCU_School_of_Medicine___Citizen_Petition.pdf,10/17/07,Vcu School Of Medicine,2007
FDA-2007-P-0177-0003_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,2/28/07,"Lachman Consultant Services, Inc.",2007
